time,east_km,north_km,goal_distance_km,heading_deg,cas_mps,target_east_km,target_north_km,target_distance_km,clearance_km,residual_heading,residual_speed,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
0.0,-49.233123521999794,54.64698447620686,135.0052399901762,144.16532392874348,150.0,14.613042157354407,-53.02890640910716,125.18158950061944,3.0,0.0,0.0,-45.0,-1.0,True,False,False,False,True,False,True,5.705709122370639,77.9887476921073,5.1689547300338745,0.0,1.0,1.0,0.0
10.0,-48.16203374614942,53.603796132294185,133.53647243681104,126.62299855071777,146.56989707733354,14.613042157354457,-53.028906409107115,123.73860919686162,3.0,0.0,0.0,-45.0,-1.0,True,False,False,False,True,False,True,5.902940833298227,53.29157847265472,22.891519367694855,0.0,1.0,1.0,0.0
20.0,-46.85203443846127,52.94961663151895,132.2441830200989,108.65971568923003,143.13980504538085,14.61304215735447,-53.02890640910711,122.51286865795774,3.0,0.0,0.0,-45.0,1.0,True,False,False,False,True,False,True,6.429171140097836,35.83696852523518,41.227548122406006,0.0,1.0,1.0,0.0
30.0,-45.37575327130499,52.72043098315199,131.20606840628832,91.01785808987202,146.56897723744098,14.613042157354478,-53.02890640910709,121.57951281315204,3.0,0.0,0.0,-30.000000000000004,1.0,True,False,False,False,True,False,True,7.402654542995757,21.10159854268105,45.0,0.0,1.0,1.0,0.0
40.0,-43.86315654886367,52.944160865624035,130.52815806450278,73.77736155280203,149.99813854174232,14.613042157354492,-53.02890640910709,121.03617972632728,3.0,0.0,0.0,-15.000000000000002,1.0,True,False,False,False,True,False,True,8.895001431504259,8.076237226504054,45.0,0.0,1.0,1.0,0.0
50.0,-42.44838597732527,53.60660385310746,130.28255222682884,58.777361552802034,153.42728895831928,14.613042157354457,-53.02890640910712,120.9427080466288,3.0,0.0,0.0,45.0,1.0,False,False,False,False,False,False,False,10.87230050618693,0.0,45.0,0.0,1.0,1.0,0.0
60.0,-40.9662269088379,54.20233815223766,129.9630327342064,75.26780297690536,156.85642848720633,14.613042157354457,-53.02890640910711,120.77911640721312,3.0,0.0,0.0,45.0,1.0,False,False,False,False,False,False,False,12.808224206913602,0.0,45.0,0.0,1.0,1.0,0.0
70.0,-39.3396469098021,54.366252089671754,129.2218066919631,91.40729356721218,160.2855571284384,14.613042157354414,-53.028906409107144,120.1857426093258,3.0,0.0,0.0,45.0,1.0,False,False,False,False,False,False,False,14.346746118732348,0.0,45.0,0.0,1.0,1.0,0.0
80.0,-37.70086133392236,54.076111537625614,128.1060056093615,107.25878720458213,162.99999999999994,14.613042157354478,-53.0289064091071,119.19827753732251,3.0,0.0,0.0,45.0,1.0,False,False,False,False,False,False,False,15.460578546043488,0.0,45.0,0.0,1.0,1.0,0.0
90.0,-36.201543378264425,53.35399966120874,126.70689607966067,123.082038154339,162.99999999999994,14.61304215735447,-53.02890640910709,117.89590665974103,3.0,0.0,0.0,31.386142373085022,1.0,False,False,False,False,False,False,False,14.97285922618862,0.0,31.386142373085022,0.0,1.0,1.0,0.0
