episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716374744704
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163758670405
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41713769981423
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41714790127576
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,800.0,1.0,38.0,0.0,0.0,0.0,0.0,1.480451503561504
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1051.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.35120094192786
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1086.0,1.0,38.0,0.0,0.0,0.0,0.0,1.3845715485255425
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1291.0,1.0,63.0,0.0,0.0,0.0,0.0,-22.30291630159175
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17980985182976
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,0.0,3000.0,1.0,53.0,0.0,0.0,0.0,0.0,-51.21609969455947
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,649.0,4.0,210.0,0.0,0.0,0.0,0.0,-161.1881482685177
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,662.0,2.0,99.0,0.0,0.0,0.0,0.0,-56.21971477344637
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,665.0,3.0,94.0,0.0,0.0,0.0,0.0,-51.478429099991445
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,37.384687651115
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,770.0,2.0,113.0,0.0,0.0,0.0,0.0,-69.46737303877384
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,776.0,2.0,119.0,0.0,0.0,0.0,0.0,-75.12087465415505
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716378754537
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31491618969679
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,981.0,4.0,161.0,0.0,0.0,0.0,0.0,-114.84018228689234
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,1014.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.739620436776292
