episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,605.0,0,0.0,0,0.0,0,0.0,37.41716374744704
1,1,616.0,0,0.0,0,0.0,0,0.0,37.417163758670405
2,1,648.0,0,0.0,0,0.0,0,0.0,37.41713769981423
3,1,714.0,0,0.0,0,0.0,0,0.0,37.41714790127576
4,1,800.0,1,38.0,0,0.0,0,0.0,1.480451503561504
5,1,1051.0,2,116.0,0,0.0,0,0.0,-72.35120094192786
6,1,1086.0,1,38.0,0,0.0,0,0.0,1.3845715485255425
7,1,1291.0,1,63.0,0,0.0,0,0.0,-22.30291630159175
8,1,1391.0,0,0.0,0,0.0,0,0.0,37.17980985182976
9,0,3000.0,1,53.0,0,0.0,0,0.0,-51.21609969455947
10,1,649.0,4,210.0,0,0.0,0,0.0,-161.1881482685177
11,1,662.0,2,99.0,0,0.0,0,0.0,-56.21971477344637
12,1,665.0,3,94.0,0,0.0,0,0.0,-51.478429099991445
13,1,732.0,0,0.0,0,0.0,0,0.0,37.384687651115
14,1,770.0,2,113.0,0,0.0,0,0.0,-69.46737303877384
15,1,776.0,2,119.0,0,0.0,0,0.0,-75.12087465415505
16,1,819.0,0,0.0,0,0.0,0,0.0,37.41716378754537
17,1,845.0,0,0.0,0,0.0,0,0.0,37.31491618969679
18,1,981.0,4,161.0,0,0.0,0,0.0,-114.84018228689234
19,1,1014.0,1,54.0,0,0.0,0,0.0,-13.739620436776292
