rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,1707,853,2560,0,7,1,1,37.26458560000174,45.80756695708218,0.053951211474714336,5.395121147471434,1.0,0.017288079485297203,0.21228749305009842,0.0272970050573349,0.0927734375,1707,0.2453475806807849,0.1927178089464082,0.2269495121035877,
2,3644,1476,5120,1,13,41,11,55.751462100000936,65.36151452788427,-0.5822689061896807,-58.226890618968085,1.0,-0.01967903928598389,0.03869461137801409,0.020482342690229416,0.1454465640708804,1937,0.12905665526631419,0.14096870227185224,-0.07244052404212686,
3,4822,2858,7680,1,19,71,21,67.50204170000507,71.4348763172246,-0.9679454526778372,-96.79454526778372,1.0,-0.011220558841402332,0.019035032608856757,0.010718259029090405,0.06875084556328753,1178,0.10111484466471374,0.04505783725372081,0.5727112380905777,
4,6550,3690,10240,2,24,106,30,84.31386470000143,77.68591824494897,-0.9262939721503956,-92.62939721503955,1.0,-0.014286645106039941,0.016694351177041728,0.047559164464473724,0.11411313619464636,1728,0.07501963147047618,0.039158624586810735,0.49115824497691396,
5,6958,5842,12800,2,29,116,40,91.19444669999939,76.29850557555986,-0.7491936524322214,-74.91936524322215,1.0,-0.016460091387396493,0.008118882449343801,0.015842748805880547,0.09215686214156449,408,0.02357576123292938,0.019374898731321918,0.1793272206273956,
6,7943,7417,15360,3,30,136,50,105.12175869999919,75.5599991688501,-0.7425149959084058,-74.25149959084057,0.9666666666666667,-0.011395101406378672,0.023293060110881926,0.008698377758264542,0.10168121550232172,985,0.19422140485257652,0.04484102250566996,0.8067724606510016,
7,9553,8367,17920,3,37,176,60,123.8183652000007,77.1533365391255,-0.6179750188646358,-61.79750188646359,0.972972972972973,-0.024424345296574758,0.024178222904447468,0.01849817857146263,0.14355336800217627,1610,0.2412699642381043,0.07113546718236775,0.710089897093136,
8,9968,10512,20480,3,39,186,70,131.6974227000028,75.68864899282337,-0.743804862870842,-74.38048628708421,0.9743589743589743,-0.016248551827507562,0.0037857024697586896,0.010709305293858051,0.11542168632149696,415,0.004180908767451679,0.005724801548666451,-0.34833622774875983,
9,11890,11150,23040,5,50,226,80,156.1258891000034,76.156491844758,-0.7077837082303355,-70.77837082303354,0.96,-0.011006329278461634,0.013676316244527698,0.013601073995232582,0.04496286027133465,1922,0.16470942277547515,0.03727456722120626,0.77403424055225,
10,13694,11906,25600,5,56,266,90,171.02968710000277,80.06797084293899,-0.591879308333569,-59.1879308333569,0.9642857142857143,-0.024784441519295798,0.02610434256494045,0.014447899535298347,0.11535316592198797,1804,0.3241770446482267,0.125555529009673,0.6483369564005464,
11,14522,13638,28160,5,57,286,100,179.85072890001175,80.74473808818159,-0.5749795416548198,-57.49795416548197,0.9649122807017544,-0.011655014980351552,0.08428070116788149,0.010773144662380219,0.0836357791442424,828,0.4049694757467173,0.3313462857484284,0.5649184633865809,
12,16551,14169,30720,6,62,326,110,199.96118490000663,82.77106383559668,-1.237670293108295,-123.7670293108295,0.9193548387096774,-0.02328796333167702,0.04606572594493628,0.014735454693436623,0.13568860469385982,2029,0.3862342254111361,0.08028485282120403,0.806613138810256,
13,18301,14979,33280,6,65,366,120,220.87735120000434,82.85593747196131,-1.2799307367502084,-127.99307367502084,0.9230769230769231,-0.024253983149537816,0.021792512852698565,0.012759090401232243,0.13656724579632282,1750,0.17655293959688553,0.04983792503870834,0.7792923929189646,
14,19780,16060,35840,7,70,396,130,239.50861240000813,82.58575673665139,-1.3724181993048885,-137.24181993048887,0.9,-0.02556848810830464,0.026816386015464863,0.021582461893558502,0.12524711079895495,1479,0.16475654015371463,0.06417469250498498,0.6263004184408854,
15,21060,17340,38400,7,77,426,140,252.09576630000083,83.53968140400274,-1.358469860772839,-135.8469860772839,0.9090909090909091,-0.03357516027366122,0.043933796448012194,0.02219408191740513,0.15475260416666667,1280,0.31735330833792863,0.10589813183364712,0.6851937107870341,
16,21898,19062,40960,8,80,446,150,263.41689030001,83.1305842805296,-1.4189408116973914,-141.89408116973914,0.875,-0.018967735528713094,0.007095910969655961,0.017680443823337555,0.13100376212969422,838,0.03433525028147714,0.010400912414063641,0.7355815046370167,
17,24126,19394,43520,8,84,496,160,289.2879532000079,83.39787306428127,-1.4232656318311643,-142.32656318311643,0.8809523809523809,-0.026036269087344407,0.04099616292864084,0.012641330249607563,0.1362864588946104,2228,0.292303799515416,0.09915352889288298,0.6962256777618054,
18,25271,20809,46080,8,87,526,170,303.9931582999998,83.13016036716515,-1.4059821943546333,-140.59821943546334,0.8850574712643678,-0.017641636054031552,0.010144268798952302,0.008687175810337067,0.16765668044487636,1145,0.15151949596370387,0.020138751904410685,0.8674769460393179,
19,27218,21422,48640,9,92,566,180,323.153478600012,84.2262324326995,-1.4370218130100332,-143.7021813010033,0.8586956521739131,-0.015998599900922273,0.021251899586059154,0.011223765090107918,0.08310344857163728,1947,0.2528558374965949,0.04202241120630009,0.8440179576424778,
20,28581,22619,51200,9,97,579,185,337.3580382000073,84.72008004461826,-1.370765640404672,-137.0765640404672,0.865979381443299,-0.014050184449713145,0.006498404046786683,0.045046061277389526,0.106997175142169,1363,0.050529681317961025,0.010185987515193567,0.812325935483674,
21,29819,23941,53760,10,100,609,195,356.45650850000675,83.65396419742869,-1.3655155239304186,-136.55155239304187,0.85,-0.018176182980338733,0.014005063303435842,0.013563198037445545,0.0938248393125832,1238,0.03990904345147799,0.026454268224109623,0.46825903935188007,
22,31157,25163,56320,10,107,634,204,371.96491850000166,83.7632756488025,-1.3538304350808295,-135.38304350808295,0.85,-0.016848778495421775,0.010748080354040632,0.042129240930080414,0.10003952194864933,1338,0.06258388267310362,0.024715499629629264,0.6612929714178448,
23,31939,26941,58880,11,110,654,214,382.8962327000045,83.41424457164587,-1.2951943029728716,-129.51943029728713,0.82,-0.01404657630082511,0.00951105197891593,0.014294241555035114,0.12475911471992732,782,0.10492155185349805,0.015659013220012355,0.8623283531741405,
24,34117,27323,61440,11,117,704,224,423.4014385000046,80.57837526690318,-1.339072054897199,-133.9072054897199,0.82,-0.022537832615198566,0.027485213130712508,0.020328763872385025,0.12763341426849364,2178,0.1733518861496223,0.05817475672475232,0.684547959395861,
25,34649,29351,64000,11,118,724,234,434.5083322999999,79.74300473500956,-1.293086079605273,-129.3086079605273,0.82,-0.019731062371283768,0.007135717157507315,0.027008656412363052,0.181640625,532,0.02473207423648404,0.01291255700082029,0.5191407599274953,
26,36445,30115,66560,12,123,764,244,471.9870379000058,77.21610356537198,-1.288463088603217,-128.84630886032167,0.8,-0.019833157792163547,0.012270489695947618,0.014141499064862728,0.11529822815209627,1796,0.07109903449045568,0.024859986563411346,0.6543384428112957,
27,37742,31378,69120,12,126,794,254,496.74284730000363,75.97895008482334,-1.3052187946689393,-130.5218794668939,0.8,-0.020642876353425283,0.02893810346722603,0.013839404098689556,0.1462439917648832,1297,0.15538599575862502,0.07317256861480208,0.6033032999928587,
28,39140,32540,71680,13,130,824,264,532.2500303999986,73.53686757065162,-1.4008799396456433,-140.0879939645643,0.79,-0.025664701232744846,0.027016282236824434,0.018460506573319435,0.1279725103173405,1398,0.354122742636142,0.06330053556730697,0.8322087967070635,
29,40616,33624,74240,13,137,854,274,558.9048937000043,72.6706823608542,-1.4807853281646366,-148.07853281646362,0.79,-0.021201607636370075,0.022207840687284867,0.017036033794283867,0.100597460133334,1476,0.385174675383331,0.05326230090917448,0.8635781150570909,
30,41153,35647,76800,13,138,874,284,572.0402608000004,71.94074057383195,-1.4463913899876994,-144.63913899876997,0.79,-0.02173467759275809,0.0033813090878538786,0.02073463425040245,0.17349999882280825,537,0.020200264069201054,0.0048979862446292205,0.7680415054741776,
31,43399,35961,79360,14,144,914,293,613.151924100006,70.78017420185337,-1.4238223374258674,-142.3822337425867,0.78,-0.017177389071481985,0.023489812684313553,0.04574139043688774,0.09047217592142703,2246,0.17846974148651099,0.05562779958311374,0.689588765877079,
32,44092,37828,81920,14,149,934,303,626.5018578000017,70.37808340238873,-1.423493747707151,-142.34937477071503,0.78,-0.023839120776392518,0.004386878723744303,0.01807332970201969,0.14558442551642656,693,0.04232844297160064,0.008058609450878057,0.8097282211346011,
33,45768,38712,84480,15,152,974,313,650.74946430001,70.3312142549839,-1.453680215008865,-145.36802150088647,0.77,-0.021407382341567426,0.016233924473635853,0.020340463146567345,0.11088309220504015,1676,0.07202568061293428,0.03088027285292558,0.5713396853915748,
34,46758,40282,87040,15,157,994,323,664.0532728000107,70.41302545327842,-1.4852879432828803,-148.528794328288,0.77,-0.02372485034284182,0.004753933555912226,0.011775273829698563,0.13280677972361446,990,0.03994848653543657,0.007831361585770477,0.8054644313674322,
35,48044,41556,89600,16,160,1024,333,695.3508052000107,69.09318237746288,-1.071571978015568,-107.15719780155678,0.77,-0.025374987620549898,0.005876371070432166,0.01716284081339836,0.12745706101413817,1286,0.15036655745709715,0.013037369581400027,0.9218121927373464,
36,50048,42112,92160,16,165,1064,343,718.9100364000042,69.61649923628707,-1.0660702457464841,-106.60702457464842,0.77,-0.022679267192143016,0.06732228714972735,0.017168322578072548,0.13979492236394436,2004,0.434047095452358,0.20516041792056963,0.6508121652953792,
37,50912,43808,94720,16,167,1084,353,730.8697526000033,69.65947054025037,-1.2179619098703927,-121.79619098703927,0.77,-0.019822840113192797,0.0035683669499121605,0.01789521612226963,0.13409978724084795,864,0.034473286800713494,0.004614178106655702,0.8680625246662849,
38,52918,44362,97280,17,176,1124,363,753.8569074000116,70.19634559363486,-1.1805465160937405,-118.05465160937403,0.76,-0.028631167809362524,0.022004956495948136,0.024290814995765686,0.18781291507184505,2006,0.21113512274795665,0.04188647615514732,0.801615736382694,
39,53635,46205,99840,17,178,1144,373,765.2354724000033,70.08953705685504,-1.2139529782230536,-121.39529782230537,0.77,-0.02643672899575904,0.03105436135083437,0.022917117923498154,0.16632098024711012,717,0.12369303817070956,0.04618826325862815,0.6287231988577562,
40,55290,47110,102400,18,184,1184,383,783.8823326999991,70.53354527019316,-1.11612409508781,-111.61240950878098,0.77,-0.023275514420129186,0.01393290152773261,0.01484118215739727,0.13473321052733808,1655,0.06700094119668373,0.02745322220602548,0.6345724059621847,
41,56373,48587,104960,18,186,1214,393,791.3975769000099,71.23221203281814,-1.1084125757421013,-110.84125757421012,0.77,-0.02536679826832066,0.005795429126980404,0.018494509160518646,0.19624713007360697,1083,0.03729741463727216,0.01199085390054036,0.695033676068836,
42,57607,49913,107520,19,190,1244,403,801.0592765000038,71.91352961006467,-0.9973890665748125,-99.73890665748121,0.77,-0.020249162633748104,0.007344975718297064,0.013601746410131454,0.14010788798332213,1234,0.09068064091030918,0.014324805706142404,0.842318613766179,
43,58874,51206,110080,19,198,1274,413,814.033050500002,72.32384479209773,-1.0010197916126848,-100.10197916126845,0.77,-0.018771780390913286,0.015800600033253433,0.012027542106807232,0.09410820690294107,1267,0.11113338041143922,0.0280592149820262,0.8001172093252504,
44,59386,53254,112640,19,198,1284,423,820.884137400004,72.34394879171862,-1.0010197916126848,-100.10197916126845,0.77,-0.012900341814383865,0.0024391444167122245,0.01275539305061102,0.074609375,512,0.033740238654664606,0.0023799876558089463,0.9629300246897381,
45,61291,53909,115200,20,206,1324,433,838.0268161999993,73.13727772808238,-1.0141619188756064,-101.41619188756067,0.77,-0.028558662184514104,0.015820300730410963,0.01812145486474037,0.15283666229806842,1905,0.18875796436912678,0.036805657837898575,0.8076181814069348,
46,62165,55595,117760,20,207,1344,443,847.557499100003,73.34605624516476,-1.0296431703644664,-102.96431703644664,0.77,-0.022097788037353894,0.02970627648755908,0.020634420216083527,0.19081329934997485,874,0.11532000941012528,0.04717400167905068,0.6165217239921406,
47,63898,56422,120320,21,213,1384,453,866.3050270000094,73.75923953861496,-1.062822186576263,-106.28221865762629,0.77,-0.027171085512964054,0.019887595530599357,0.018202271312475204,0.159173986222595,1733,0.10223181708661161,0.04026180030316227,0.6223777176394896,
48,64514,58366,122880,21,219,1404,463,875.053239300003,73.72579987431146,-0.9643113625453579,-96.4311362545358,0.78,-0.02640986789847375,0.012771181482821702,0.022591251879930496,0.1492938704788685,616,0.11092276710608112,0.024824386169261265,0.779856178309474,
49,65292,60148,125440,22,220,1424,473,887.432879,73.57401505517129,-0.9594250478547981,-95.94250478547983,0.78,-0.017869722825707868,0.011108934786170721,0.014916264452040195,0.09226606655865907,778,0.05358277550247775,0.02170134382713238,0.6372796239304089,
50,67434,60566,128000,22,224,1474,483,917.3557525000069,73.50910463713421,-1.0491062516580931,-104.91062516580932,0.78,-0.020140772280283274,0.04997865058481693,0.012347918935120106,0.10657247314229608,2142,0.23679595595370323,0.20108279185380515,0.33411185908122853,
51,68365,62195,130560,22,227,1494,493,931.0121668000065,73.43083413719306,-1.140207469289996,-114.02074692899959,0.78,-0.01888943670783192,0.004308406414929777,0.013819498009979725,0.16100555527955293,931,0.05038694299444203,0.008204581102614301,0.8407077045969894,
52,70454,62666,133120,23,234,1544,503,957.1610383000079,73.60725852896368,-1.0700203843410199,-107.00203843410199,0.77,-0.02803533346275799,0.05182727314531803,0.02013629488646984,0.16792111247777938,2089,0.47636898540353767,0.1476974211640061,0.7443509479207167,
53,71565,64115,135680,23,237,1574,513,975.5650884000061,73.35748362763937,-1.1259635953221305,-112.59635953221306,0.77,-0.012705294601619243,0.18095884720484415,0.010788065381348133,0.07645174786448479,1111,1.8124622328757316,0.7789113147811078,0.7603291863724588,
54,73294,64946,138240,24,241,1614,523,993.5226469000045,73.77184629730625,-1.9206040977049417,-192.06040977049415,0.76,-0.013651885776198469,0.12976441606879235,0.014125102199614048,0.10446106914896518,1729,2.238483789439451,0.48084252986540776,0.8245542403483352,
55,75052,65748,140800,24,244,1654,533,1012.678485700002,74.11236740960403,-1.923514773950838,-192.35147739508386,0.76,-0.024038260063389317,0.019131839158944786,0.01307753100991249,0.13647944824770092,1758,0.19176256175409345,0.04021085730513357,0.7909821663418469,
56,76538,66822,143360,25,250,1684,543,1024.1580684000073,74.73260462574065,-2.01928191792965,-201.92819179296492,0.73,-0.025873067734452585,0.0236880489004155,0.018938129767775536,0.13733117945181827,1486,0.11453761048137277,0.041932328313355784,0.6698602340060937,
57,78560,67360,145920,25,254,1724,553,1036.882817100006,75.76555296742177,-2.021765622211266,-202.17656222112663,0.73,-0.022872631257632746,0.019856563466601074,0.011986257508397102,0.1209860468748957,2022,0.08154084477476092,0.03783771541001734,0.5464324958080023,
58,79579,68901,148480,25,257,1744,563,1044.5205712000025,76.18710650052137,-2.0194646701343917,-201.9464670134392,0.73,-0.020499230355926556,0.00865186844021082,0.02322368696331978,0.15992761477828027,1019,0.0927641150982805,0.01402687622270848,0.8552927732549113,
59,81764,69276,151040,26,263,1794,573,1060.3762066000054,77.10848233964852,-1.9861294105960206,-198.6129410596021,0.73,-0.02476686951704323,0.0068152609281241896,0.015252036973834038,0.14035042241215706,2185,0.060149998994659754,0.013704736548680915,0.7754774055703043,
60,83391,70209,153600,26,265,1834,583,1076.7424083000078,77.44749287962024,-1.9470957065873598,-194.70957065873594,0.73,-0.01950974692008458,0.001933345898578409,0.011262520216405392,0.13385291548911482,1627,0.07814291001952152,0.0030361166763967617,0.9631024314034305,
61,85202,70958,156160,27,270,1874,593,3906.9223392999993,21.807958439037105,-1.6376284764712594,-163.76284764712594,0.72,-0.0253868828935083,0.012189955380745233,0.014666197821497917,0.15466317457612605,1811,0.0709968332971354,0.021914231763977034,0.6913359496499037,
