waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,597.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.1407620417326285
1.0,608.0,1.0,24.0,0.0,0.0,0.0,0.0,14.71944312223188
1.0,616.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.488401129831637
1.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,37.416975856655434
1.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41679948456753
1.0,672.0,2.0,75.0,0.0,0.0,0.0,0.0,-33.51466016039437
1.0,930.0,1.0,36.0,0.0,0.0,0.0,0.0,3.3564529008038377
1.0,1325.0,2.0,453.0,0.0,0.0,0.0,0.0,-391.2236955971225
1.0,1355.0,5.0,576.0,0.0,0.0,0.0,0.0,-507.4982547446304
1.0,1545.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.230925569369496
1.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40321371797376
1.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417072340759574
1.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163773503994
1.0,1245.0,0.0,0.0,1.0,11.0,0.0,0.0,31.725167893819727
1.0,1510.0,1.0,520.0,1.0,7.0,0.0,0.0,-458.0511916381204
1.0,1818.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.319630121017838
1.0,1981.0,1.0,18.0,0.0,0.0,0.0,0.0,20.031244111907885
1.0,1997.0,3.0,651.0,0.0,0.0,0.0,0.0,-578.6700226753932
1.0,2136.0,2.0,133.0,0.0,0.0,0.0,0.0,-88.86234961250167
1.0,2728.0,6.0,330.0,0.0,0.0,0.0,0.0,-275.3666059946056
1.0,768.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.55758556350897
1.0,775.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.721293779271207
1.0,772.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.710450034700536
1.0,811.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.653237700972248
1.0,854.0,2.0,72.0,0.0,0.0,0.0,0.0,-30.721909124750077
1.0,868.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.027283823088425
1.0,867.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716380931851
1.0,1125.0,1.0,24.0,0.0,0.0,0.0,0.0,14.56807445787867
1.0,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,37.20789578814834
0.0,3000.0,1.0,57.0,0.0,0.0,0.0,0.0,-54.88339567177492
1.0,691.0,1.0,166.0,0.0,0.0,0.0,0.0,-119.5730513560587
1.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41236442921573
1.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163779419056
1.0,917.0,1.0,98.0,0.0,0.0,0.0,0.0,-55.26720077845153
1.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3285378991704
1.0,1218.0,1.0,75.0,0.0,0.0,0.0,0.0,-33.57934171792052
1.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29894567069016
1.0,1696.0,2.0,364.0,0.0,0.0,0.0,0.0,-306.93148408821827
1.0,2465.0,2.0,364.0,0.0,0.0,0.0,0.0,-307.3999113089128
0.0,3000.0,3.0,339.0,0.0,0.0,0.0,0.0,-321.73830247483585
1.0,607.0,1.0,42.0,0.0,0.0,0.0,0.0,-2.3022887338504034
1.0,721.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.650938687546244
1.0,770.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.596362631664
1.0,801.0,1.0,104.0,0.0,0.0,0.0,0.0,-60.937025024137874
1.0,892.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.650661493803234
1.0,898.0,2.0,96.0,0.0,0.0,0.0,0.0,-53.369972532148864
1.0,908.0,2.0,158.0,0.0,0.0,0.0,0.0,-112.01046253602189
1.0,934.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.541912712806138
1.0,967.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.596451079744128
1.0,1151.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.685198048835204
1.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163791104244
1.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41701777660153
1.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41701905854756
1.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39881468782117
1.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163809675955
1.0,1277.0,0.0,0.0,0.0,0.0,0.0,0.0,37.327235359939955
1.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,37.140739235514
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8059276681881925
0.0,3000.0,2.0,2246.0,0.0,0.0,0.0,0.0,-2124.8005578704433
0.0,3000.0,2.0,2246.0,0.0,0.0,0.0,0.0,-2124.980331770297
1.0,768.0,1.0,30.0,0.0,0.0,0.0,0.0,8.996774785835509
1.0,883.0,3.0,203.0,0.0,0.0,0.0,0.0,-154.58238731586295
1.0,1158.0,3.0,118.0,0.0,0.0,0.0,0.0,-74.26957587801522
1.0,1948.0,6.0,487.0,0.0,0.0,0.0,0.0,-423.4040012371566
1.0,2029.0,3.0,196.0,0.0,0.0,0.0,0.0,-148.32039448975394
1.0,2449.0,2.0,113.0,0.0,0.0,0.0,0.0,-69.82550207323533
1.0,2483.0,2.0,202.0,0.0,0.0,0.0,0.0,-153.85217161784928
1.0,2609.0,3.0,298.0,0.0,0.0,0.0,0.0,-244.73451671692976
0.0,3000.0,2.0,171.0,4.0,210.0,0.0,0.0,-267.68441114565235
0.0,3000.0,7.0,582.0,0.0,0.0,0.0,0.0,-551.2810047041991
1.0,684.0,2.0,276.0,0.0,0.0,0.0,0.0,-223.61988602247874
1.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35397580567582
1.0,826.0,2.0,442.0,0.0,0.0,0.0,0.0,-380.5885860991203
1.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716376424028
1.0,863.0,2.0,461.0,0.0,0.0,0.0,0.0,-398.57447775042067
1.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38190209747907
1.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,37.33937538798562
0.0,3000.0,2.0,229.0,0.0,0.0,0.0,0.0,-217.02885368371804
0.0,3000.0,1.0,255.0,1.0,70.0,0.0,0.0,-277.0542031590917
0.0,3000.0,3.0,419.0,0.0,0.0,0.0,0.0,-397.2255087854606
1.0,709.0,3.0,392.0,0.0,0.0,0.0,0.0,-333.3072650591404
1.0,716.0,2.0,161.0,0.0,0.0,0.0,0.0,-114.84041698711272
1.0,922.0,1.0,242.0,0.0,0.0,0.0,0.0,-191.47363090214213
1.0,1301.0,0.0,0.0,1.0,3.0,0.0,0.0,35.71649914574655
1.0,1471.0,1.0,106.0,0.0,0.0,0.0,0.0,-63.01407944779963
1.0,2192.0,2.0,106.0,0.0,0.0,0.0,0.0,-63.29015567983952
1.0,2204.0,2.0,198.0,0.0,0.0,0.0,0.0,-150.30954837589184
0.0,3000.0,1.0,108.0,0.0,0.0,0.0,0.0,-103.0062249702427
0.0,3000.0,3.0,601.0,0.0,0.0,0.0,0.0,-569.3951239409654
0.0,3000.0,1.0,412.0,0.0,0.0,0.0,0.0,-390.8750137233487
1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,37.346022785544235
1.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37475104201745
1.0,977.0,1.0,59.0,1.0,42.0,0.0,0.0,-39.42706194188043
1.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27937619974452
1.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,37.132742907035514
1.0,1538.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1500583189493
1.0,2094.0,1.0,175.0,1.0,39.0,0.0,0.0,-147.9611477168624
1.0,2199.0,1.0,77.0,0.0,0.0,0.0,0.0,-35.8764981542904
0.0,3000.0,1.0,175.0,1.0,54.0,0.0,0.0,-193.28592475302838
0.0,3000.0,2.0,136.0,0.0,0.0,0.0,0.0,-129.56610447155174
1.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41653653170323
1.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39054103746852
1.0,726.0,2.0,50.0,0.0,0.0,0.0,0.0,-9.869502140111592
1.0,767.0,1.0,4.0,0.0,0.0,0.0,0.0,33.633989408014365
1.0,805.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.084934773155531
1.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40466701057901
1.0,1472.0,0.0,0.0,1.0,25.0,0.0,0.0,24.72543945369519
0.0,3000.0,2.0,124.0,0.0,0.0,0.0,0.0,-118.25330877952067
0.0,3000.0,2.0,102.0,0.0,0.0,0.0,0.0,-97.39280747378321
0.0,3000.0,2.0,110.0,0.0,0.0,0.0,0.0,-104.94543857823953
1.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3575942654139
1.0,921.0,2.0,275.0,0.0,0.0,0.0,0.0,-222.7226821122476
1.0,999.0,2.0,114.0,0.0,0.0,0.0,0.0,-70.45829950776357
1.0,1029.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.487889848428665
1.0,1034.0,1.0,205.0,0.0,0.0,0.0,0.0,-156.5642053389518
1.0,1053.0,2.0,144.0,0.0,0.0,0.0,0.0,-98.81535406916016
1.0,1210.0,3.0,264.0,0.0,0.0,0.0,0.0,-212.46364255330957
1.0,1388.0,3.0,165.0,0.0,0.0,0.0,0.0,-118.81026975613307
0.0,3000.0,5.0,391.0,0.0,0.0,0.0,0.0,-370.60406963445683
0.0,3000.0,1.0,60.0,1.0,9.0,0.0,0.0,-61.942259535582984
1.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41701642248022
1.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40301408149004
1.0,829.0,1.0,98.0,0.0,0.0,0.0,0.0,-55.262076297955055
1.0,906.0,1.0,98.0,0.0,0.0,0.0,0.0,-55.26926730121268
1.0,942.0,1.0,66.0,0.0,0.0,0.0,0.0,-25.02807430800491
1.0,2057.0,3.0,187.0,0.0,0.0,0.0,0.0,-139.6621496968145
1.0,2606.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.800476219405944
1.0,2799.0,1.0,63.0,0.0,0.0,0.0,0.0,-22.843373116105916
0.0,3000.0,2.0,465.0,0.0,0.0,0.0,0.0,-440.6919517302401
0.0,3000.0,2.0,465.0,0.0,0.0,0.0,0.0,-440.9659103177202
1.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41703055878262
1.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,37.411606874572
1.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716380506631
1.0,929.0,1.0,592.0,0.0,0.0,0.0,0.0,-522.4480481167061
1.0,929.0,1.0,592.0,0.0,0.0,0.0,0.0,-522.5052735982988
1.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,37.315214125013235
1.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,37.375839087703376
1.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,37.00789768114877
0.0,3000.0,2.0,255.0,0.0,0.0,0.0,0.0,-242.1436492918897
0.0,3000.0,2.0,255.0,0.0,0.0,0.0,0.0,-242.27833903019342
1.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,37.341416134979596
1.0,917.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.976944362274466
1.0,941.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.609863516041244
1.0,1023.0,1.0,63.0,0.0,0.0,0.0,0.0,-22.26692317720476
1.0,1278.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.965471160100044
1.0,1321.0,1.0,82.0,0.0,0.0,0.0,0.0,-40.30069839841893
1.0,1428.0,2.0,150.0,0.0,0.0,0.0,0.0,-104.6886539705886
1.0,2053.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.985609767636156
1.0,2344.0,1.0,76.0,0.0,0.0,0.0,0.0,-34.94312987061176
0.0,3000.0,3.0,219.0,0.0,0.0,0.0,0.0,-207.81208241137972
1.0,667.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.3016765853426
1.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39806949844711
1.0,812.0,1.0,48.0,0.0,0.0,0.0,0.0,-7.997145212151629
1.0,999.0,1.0,37.0,0.0,0.0,0.0,0.0,2.402173946585073
1.0,1010.0,2.0,66.0,0.0,0.0,0.0,0.0,-25.151070826669624
1.0,1142.0,1.0,53.0,0.0,0.0,0.0,0.0,-12.89732555228754
1.0,1189.0,3.0,130.0,0.0,0.0,0.0,0.0,-85.73294294413077
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8858263524561502
0.0,3000.0,1.0,55.0,0.0,0.0,0.0,0.0,-53.219393246421625
0.0,3000.0,1.0,61.0,1.0,1.0,0.0,0.0,-59.32194503692698
1.0,594.0,1.0,41.0,0.0,0.0,0.0,0.0,-1.3568541233482136
1.0,1138.0,3.0,219.0,0.0,0.0,0.0,0.0,-169.76352644131825
1.0,1170.0,5.0,271.0,0.0,0.0,0.0,0.0,-219.00804568306256
1.0,1225.0,5.0,400.0,0.0,0.0,0.0,0.0,-341.05929019731724
1.0,1337.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.374544999070004
1.0,1781.0,6.0,968.0,0.0,0.0,0.0,0.0,-878.3822128145368
1.0,1993.0,5.0,953.0,0.0,0.0,0.0,0.0,-864.2121021156325
0.0,3000.0,4.0,253.0,0.0,0.0,0.0,0.0,-240.38209910204452
0.0,3000.0,5.0,581.0,0.0,0.0,0.0,0.0,-550.176300110198
0.0,3000.0,7.0,669.0,0.0,0.0,0.0,0.0,-633.7073789284848
1.0,607.0,2.0,66.0,0.0,0.0,0.0,0.0,-25.001131377759627
1.0,770.0,1.0,129.0,0.0,0.0,0.0,0.0,-84.58210240248314
1.0,825.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.085451818553274
1.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35338425162411
1.0,934.0,1.0,40.0,0.0,0.0,0.0,0.0,-0.49012362236778273
1.0,965.0,2.0,121.0,0.0,0.0,0.0,0.0,-77.10469989461579
1.0,1702.0,4.0,514.0,0.0,0.0,0.0,0.0,-448.84008527089503
1.0,1738.0,2.0,108.0,0.0,0.0,0.0,0.0,-64.91401431796939
0.0,3000.0,2.0,122.0,0.0,0.0,0.0,0.0,-116.55006603603626
0.0,3000.0,3.0,336.0,0.0,0.0,0.0,0.0,-318.81785978738236
1.0,623.0,1.0,15.0,0.0,0.0,0.0,0.0,23.22775294070582
1.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41517597834344
1.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41228436157847
1.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41701814802814
1.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38475947763853
1.0,921.0,2.0,131.0,0.0,0.0,0.0,0.0,-86.57380114819014
1.0,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,37.21416291326566
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7267097277841786
0.0,3000.0,1.0,59.0,0.0,0.0,0.0,0.0,-56.77847520146546
0.0,3000.0,2.0,87.0,0.0,0.0,0.0,0.0,-83.05979732157756
1.0,655.0,1.0,103.0,0.0,0.0,0.0,0.0,-59.99141272788729
1.0,676.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.434100193104065
1.0,761.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.435368619895
1.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,37.413004631827285
1.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41269917011144
1.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41498364741467
1.0,911.0,2.0,118.0,0.0,0.0,0.0,0.0,-74.177995651978
1.0,979.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.49081719495451
0.0,3000.0,1.0,103.0,0.0,0.0,0.0,0.0,-98.5447476435544
0.0,3000.0,1.0,61.0,0.0,0.0,0.0,0.0,-58.67770905717574
1.0,594.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.815069976548351
1.0,683.0,1.0,255.0,0.0,0.0,0.0,0.0,-203.77966265759227
1.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,37.353718174712974
1.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716380491614
1.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38585387938912
1.0,977.0,1.0,108.0,0.0,0.0,0.0,0.0,-64.72155130344731
1.0,1697.0,3.0,177.0,0.0,0.0,0.0,0.0,-130.08707543490434
0.0,3000.0,1.0,255.0,0.0,0.0,0.0,0.0,-242.22261919037066
0.0,3000.0,4.0,408.0,0.0,0.0,0.0,0.0,-386.5563600480099
0.0,3000.0,3.0,366.0,0.0,0.0,0.0,0.0,-347.22237912295367
1.0,596.0,1.0,41.0,0.0,0.0,0.0,0.0,-1.3589349741104542
1.0,641.0,1.0,6.0,0.0,0.0,0.0,0.0,31.73846853811959
