episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,605.0,1,36.0,0,0.0,0,0.0,3.372043199626688
1,1,616.0,0,0.0,0,0.0,0,0.0,37.41716376835974
2,1,648.0,0,0.0,0,0.0,0,0.0,37.417163794500894
3,1,714.0,0,0.0,0,0.0,0,0.0,37.41716378726569
4,1,800.0,1,38.0,0,0.0,0,0.0,1.4806476003625946
5,1,856.0,2,100.0,0,0.0,0,0.0,-57.24136306956782
6,1,868.0,0,0.0,0,0.0,0,0.0,37.29280492834697
7,1,1032.0,2,114.0,0,0.0,0,0.0,-70.45606267528943
8,1,1088.0,3,135.0,0,0.0,0,0.0,-90.34930403155994
9,1,1162.0,3,147.0,0,0.0,0,0.0,-101.69235488092329
10,1,643.0,3,130.0,0,0.0,0,0.0,-85.52354946969407
11,1,646.0,2,111.0,0,0.0,0,0.0,-67.5552913817578
12,1,649.0,4,188.0,0,0.0,0,0.0,-140.38146826548459
13,1,649.0,4,174.0,0,0.0,0,0.0,-127.13425241242314
14,1,743.0,4,172.0,0,0.0,0,0.0,-125.24285683280502
15,1,776.0,3,163.0,0,0.0,0,0.0,-116.73157666548806
16,1,781.0,5,397.0,0,0.0,0,0.0,-338.0248604854477
17,1,819.0,2,264.0,0,0.0,0,0.0,-212.24705383374138
18,1,841.0,0,0.0,0,0.0,0,0.0,37.31608519732198
19,1,981.0,5,183.0,0,0.0,0,0.0,-135.64553254578726
