waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,666.0,1.0,38.0,0.0,0.0,0.0,0.0,1.4770829966454855
1.0,688.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.57239699846323
1.0,697.0,3.0,143.0,0.0,0.0,0.0,0.0,-97.85793771861408
1.0,762.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.526003338818484
1.0,809.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.58428291818963
1.0,972.0,2.0,673.0,0.0,0.0,0.0,0.0,-599.0911348518706
1.0,1084.0,3.0,152.0,0.0,0.0,0.0,0.0,-106.42764904385737
1.0,1093.0,3.0,750.0,0.0,0.0,0.0,0.0,-671.9383675795389
1.0,1115.0,0.0,0.0,1.0,2.0,0.0,0.0,36.325459032702696
1.0,1384.0,0.0,0.0,0.0,0.0,0.0,0.0,37.238910361778835
1.0,667.0,1.0,49.0,0.0,0.0,0.0,0.0,-8.923200072482835
1.0,729.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.8769613094765
1.0,736.0,3.0,183.0,0.0,0.0,0.0,0.0,-135.64757470037475
1.0,758.0,1.0,32.0,0.0,0.0,0.0,0.0,7.152941932352956
1.0,768.0,2.0,81.0,0.0,0.0,0.0,0.0,-39.18689828547977
1.0,840.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.5980859566466
1.0,889.0,2.0,147.0,0.0,0.0,0.0,0.0,-101.60220293399337
1.0,997.0,2.0,113.0,0.0,0.0,0.0,0.0,-69.55791950398725
1.0,1028.0,4.0,210.0,0.0,0.0,0.0,0.0,-161.23648342720958
1.0,1169.0,2.0,112.0,0.0,0.0,0.0,0.0,-68.66503483410767
