completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,1.4770829966454855,1.4770829966454855,0.014770829966454855,0.0
1,-67.57239699846323,-67.57239699846323,-0.6757239699846324,0.0
2,-97.85793771861408,-97.85793771861408,-0.9785793771861409,0.0
3,-16.526003338818484,-16.526003338818484,-0.16526003338818485,0.0
4,-15.58428291818963,-15.58428291818963,-0.1558428291818963,0.0
5,-599.0911348518706,-599.0911348518706,-5.990911348518706,0.0
6,-106.42764904385737,-106.42764904385737,-1.0642764904385738,0.0
7,-671.9383675795389,-671.9383675795389,-6.719383675795389,0.0
8,36.325459032702696,36.325459032702696,0.36325459032702695,0.0
9,37.238910361778835,37.238910361778835,0.3723891036177884,0.0
10,-8.923200072482835,-8.923200072482835,-0.08923200072482836,0.0
11,-9.8769613094765,-9.8769613094765,-0.098769613094765,0.0
12,-135.64757470037475,-135.64757470037475,-1.3564757470037474,0.0
13,7.152941932352956,7.152941932352956,0.07152941932352956,0.0
14,-39.18689828547977,-39.18689828547977,-0.3918689828547977,0.0
15,-67.5980859566466,-67.5980859566466,-0.675980859566466,0.0
16,-101.60220293399337,-101.60220293399338,-1.0160220293399338,-1.4210854715202004e-14
17,-69.55791950398725,-69.55791950398725,-0.6955791950398725,0.0
18,-161.23648342720958,-161.23648342720958,-1.6123648342720958,0.0
19,-68.66503483410767,-68.66503483410767,-0.6866503483410767,0.0
