time,east_km,north_km,goal_distance_km,heading_deg,cas_mps,target_east_km,target_north_km,target_distance_km,clearance_km,residual_heading,residual_speed,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
0.0,-49.233123521999794,54.64698447620686,135.0052399901762,144.16532392874348,150.0,14.613042157354407,-53.02890640910716,125.18158950061944,3.0,-0.18626844882965088,0.5919668674468994,-45.0,-1.0,True,False,False,False,True,False,True,5.705709122370639,77.9887476921073,5.1689547300338745,-2.7940267883241177,1.0,1.0,0.0
10.0,-48.16203374614942,53.603796132294185,133.53647243681104,126.62299855071777,146.56989707733354,14.613042157354457,-53.028906409107115,123.73860919686162,3.0,-0.01994764804840088,0.5264778137207031,-45.0,-1.0,True,False,False,False,True,False,True,5.902940833298227,53.29157847265472,22.891519367694855,-0.29921382665634155,1.0,1.0,0.0
20.0,-46.85203443846127,52.94961663151895,132.2441830200989,108.65971568923003,143.13980504538085,14.61304215735447,-53.02890640910711,122.51286865795774,3.0,0.15654611587524414,0.44671809673309326,-45.0,1.0,True,False,False,False,True,False,True,6.429171140097836,35.83696852523518,41.227548122406006,2.3481908440589905,1.0,1.0,0.0
30.0,-45.37575327130499,52.72043098315199,131.20606840628832,91.01785808987202,146.56897723744098,14.613042157354478,-53.02890640910709,121.57951281315204,3.0,0.194832444190979,0.39386940002441406,-30.000000000000004,1.0,True,False,False,False,True,False,True,7.402654542995757,21.10159854268105,45.0,0.0,1.0,1.0,0.0
40.0,-43.86315654886367,52.944160865624035,130.52815806450278,73.77736155280203,149.99813854174232,14.613042157354492,-53.02890640910709,121.03617972632728,3.0,0.17007875442504883,0.34702348709106445,-15.000000000000002,1.0,True,False,False,False,True,False,True,8.895001431504259,8.076237226504054,45.0,0.0,1.0,1.0,0.0
50.0,-42.44838597732527,53.60660385310746,130.28255222682884,58.777361552802034,153.42728895831928,14.613042157354457,-53.02890640910712,120.9427080466288,3.0,0.05232131481170654,0.4284963607788086,45.0,1.0,False,False,False,False,False,False,False,10.87230050618693,0.0,45.0,0.0,1.0,1.0,0.0
60.0,-40.9662269088379,54.20233815223766,129.9630327342064,75.26780297690536,156.85642848720633,14.613042157354457,-53.02890640910711,120.77911640721312,3.0,0.11366927623748779,0.4662303924560547,45.0,1.0,False,False,False,False,False,False,False,12.808224206913602,0.0,45.0,0.0,1.0,1.0,0.0
70.0,-39.3396469098021,54.366252089671754,129.2218066919631,91.40729356721218,160.2855571284384,14.613042157354414,-53.028906409107144,120.1857426093258,3.0,0.1346120834350586,0.4176342487335205,45.0,1.0,False,False,False,False,False,False,False,14.346746118732348,0.0,45.0,0.0,1.0,1.0,0.0
80.0,-37.70086133392236,54.076111537625614,128.1060056093615,107.25878720458213,162.99999999999994,14.613042157354478,-53.0289064091071,119.19827753732251,3.0,0.0892951488494873,0.4714691638946533,45.0,1.0,False,False,False,False,False,False,False,15.460578546043488,0.0,45.0,0.0,1.0,1.0,0.0
90.0,-36.201543378264425,53.35399966120874,126.70689607966067,123.082038154339,162.99999999999994,14.61304215735447,-53.02890640910709,117.89590665974103,3.0,-0.024173319339752197,0.5284633636474609,31.02354258298874,1.0,False,False,False,False,False,False,False,15.01261277286277,0.0,31.386142373085022,-0.36259979009628296,1.0,1.0,0.0
100.0,-34.9583281889284,52.25486011325208,125.12453516637089,138.90528910409589,162.99999999999994,14.613042157354485,-53.028906409107094,116.37006595831667,3.0,-0.19457733631134033,0.5864064693450928,12.963313311338425,1.0,False,False,False,False,False,False,False,15.082046810984485,0.0,15.881973803043365,-2.918660491704941,1.0,1.0,0.0
110.0,-34.05461554315211,50.867405676654016,123.47301858192174,151.86860241543434,162.99999999999994,14.613042157354464,-53.02890640910712,114.73005086321348,3.0,-0.43414855003356934,0.6610432863235474,-3.4804092720150948,1.0,False,False,False,False,False,False,False,15.468590668113338,0.0,3.0318188667297363,-6.512228138744831,1.0,1.0,0.0
120.0,-33.18396908922034,49.45493408910884,121.81716475850486,148.38819314341924,162.99999999999994,14.613042157354421,-53.028906409107115,113.08179273149575,3.0,-0.5519474744796753,0.6507012844085693,-1.6710839420557022,1.0,False,False,False,False,False,False,False,15.684670599800219,0.0,6.608128175139427,-8.27921211719513,1.0,1.0,0.0
130.0,-32.26710935142237,48.071486018546395,120.16202435025376,146.71710920136354,162.99999999999994,14.61304215735445,-53.02890640910711,111.4407374101204,3.0,-0.5371789336204529,0.6397109031677246,0.34809886710718274,1.0,False,False,False,False,False,False,False,15.570485925370441,0.0,8.405782878398895,-8.057684011291713,1.0,1.0,0.0
140.0,-31.358794670163746,46.68268705256127,118.50663578926039,147.06520806847072,162.99999999999994,14.613042157354485,-53.0289064091071,109.79896015883295,3.0,-0.5383589267730713,0.6423254013061523,0.10743566206656396,1.0,False,False,False,False,False,False,False,15.482820570227961,0.0,8.182819560170174,-8.07538389810361,1.0,1.0,0.0
150.0,-30.453367660793905,45.292203587905604,116.85119446035375,147.1726437305373,162.99999999999994,14.613042157354474,-53.028906409107094,108.15739440714154,3.0,-0.5373297333717346,0.6430728435516357,0.1426092500332743,1.0,False,False,False,False,False,False,False,15.388069789298354,0.0,8.202555254101753,-8.059946004068479,1.0,1.0,0.0
160.0,-29.551692743058155,43.89949168589888,115.19567952670374,147.31525298057056,162.99999999999994,14.613042157354478,-53.02890640910711,106.51590569528894,3.0,-0.5083085298538208,0.63429856300354,0.5640743812546134,1.0,False,False,False,False,False,False,False,15.214939880517194,0.0,8.188702315092087,-7.624627933837473,1.0,1.0,0.0
170.0,-28.664149629836327,42.49805014697009,113.53989227976555,147.87932736182518,162.99999999999994,14.613042157354467,-53.02890640910711,104.87285043256884,3.0,-0.5089271664619446,0.6374762058258057,0.11450685560703278,1.0,False,False,False,False,False,False,False,15.109053905683185,0.0,7.7484143525362015,-7.633907496929169,1.0,1.0,0.0
180.0,-27.779686512566713,41.09485305384223,111.88407465162258,147.9938342174322,162.99999999999994,14.613042157354478,-53.02890640910711,103.22996434912056,3.0,-0.5066078305244446,0.6383407115936279,0.16055681160651147,1.0,False,False,False,False,False,False,False,14.995221374871706,0.0,7.7596742659807205,-7.599117454374209,1.0,1.0,0.0
190.0,-26.899444228457995,39.68920383482717,110.22821831328245,148.15439102903872,162.99999999999994,14.613042157354478,-53.02890640910711,101.58707837682219,3.0,-0.4888685941696167,0.6686625480651855,0.39318548049777746,1.0,False,False,False,False,False,False,False,14.837342753146238,0.0,7.726214379072189,-7.333028898574412,1.0,1.0,0.0
200.0,-26.029197439524346,38.27759628874589,108.57230401600007,148.5475765095365,162.99999999999994,14.613042157354464,-53.02890640910713,99.94332931398245,3.0,-0.4874446392059326,0.6703732013702393,0.1460094004869461,1.0,False,False,False,False,False,False,False,14.714278374125753,0.0,7.457678988575935,-7.311669588088989,1.0,1.0,0.0
210.0,-25.162828342098585,36.86379302981379,106.91638803203756,148.69358591002344,162.99999999999994,14.613042157354457,-53.02890640910711,98.29963014378757,3.0,-0.48457396030426025,0.6717164516448975,0.16929365694522858,1.0,False,False,False,False,False,False,False,14.585814074192562,0.0,7.437903061509132,-7.268609404563904,1.0,1.0,0.0
220.0,-24.300920432265915,35.447455400886106,105.2604815058347,148.86287956696867,162.99999999999994,14.61304215735446,-53.02890640910713,96.65590040736883,3.0,-0.48166435956954956,0.6732631921768188,0.17114483169279993,1.0,False,False,False,False,False,False,False,14.453921112023028,0.0,7.396110221743584,-7.224965390050784,1.0,1.0,0.0
230.0,-23.44352523070371,34.02856825826466,103.60459814410186,149.03402439866147,162.99999999999994,14.613042157354474,-53.02890640910709,95.01213720794775,3.0,-0.4787520170211792,0.6747913360595703,0.17248727730475366,1.0,False,False,False,False,False,False,False,14.318801379824391,0.0,7.353767529129982,-7.181280251825228,1.0,1.0,0.0
240.0,-22.590681713456576,32.60712441307407,101.94875268458608,149.20651167596623,162.99999999999994,14.613042157354478,-53.0289064091071,93.36833962769778,3.0,-0.5080268979072571,0.6488409042358398,-0.3089732746593654,1.0,False,False,False,False,False,False,False,14.263264368596097,0.0,7.31143020093441,-7.6204034755937755,1.0,1.0,0.0
250.0,-21.730381713496,31.190269456551594,100.29285484392717,148.89753840130686,162.99999999999994,14.61304215735445,-53.02890640910712,91.72629962092144,3.0,-0.5036022067070007,0.6482844352722168,0.20659670932218432,1.0,False,False,False,False,False,False,False,14.12763606520492,0.0,7.760629802942276,-7.554033093620092,1.0,1.0,0.0
260.0,-20.87547545408923,29.770341541401976,98.63698860553484,149.10413511062904,162.99999999999994,14.61304215735446,-53.02890640910711,90.0841292538682,3.0,-0.5015402436256409,0.6486095190048218,0.1723437791224569,1.0,False,False,False,False,False,False,False,13.991719308559464,0.0,7.69544743001461,-7.523103650892153,1.0,1.0,0.0
