controller,metric,mean,median,p95,p99,maximum,positive_aircraft,positive_rate,mean_if_positive
ma_classical,flight_time,1006.47,910.5,1756.6999999999994,2597.02,3000.0,2000,1.0,1006.47
ma_classical,intrusion_time,2.506,0.0,0.0,63.0,214.0,89,0.0445,56.31460674157304
ma_classical,time_in_restricted_area,0.6295,0.0,0.0,10.009999999999991,283.0,29,0.0145,43.41379310344828
ma_classical,time_outside_sector,0.0,0.0,0.0,0.0,0.0,0,0.0,
ma_learned,flight_time,1000.7025,913.5,1732.1,2588.3399999999997,3000.0,2000,1.0,1000.7025
ma_learned,intrusion_time,2.648,0.0,0.0,65.11999999999989,264.0,83,0.0415,63.80722891566265
ma_learned,time_in_restricted_area,0.641,0.0,0.0,17.00999999999999,181.0,33,0.0165,38.84848484848485
ma_learned,time_outside_sector,0.0505,0.0,0.0,0.0,101.0,1,0.0005,101.0
sa_classical,flight_time,1104.82,986.0,1892.0499999999993,2704.18,2723.0,200,1.0,1104.82
sa_classical,intrusion_time,21.7,0.0,120.09999999999997,201.15999999999985,437.0,63,0.315,68.88888888888889
sa_classical,time_in_restricted_area,2.565,0.0,0.14999999999994884,92.22999999999979,129.0,10,0.05,51.3
sa_classical,time_outside_sector,0.0,0.0,0.0,0.0,0.0,0,0.0,
sa_learned,flight_time,1109.24,993.0,1886.7499999999998,2714.0699999999997,3000.0,200,1.0,1109.24
sa_learned,intrusion_time,21.49,0.0,99.0,160.40999999999963,437.0,67,0.335,64.14925373134328
sa_learned,time_in_restricted_area,2.43,0.0,2.049999999999983,94.20999999999981,129.0,11,0.055,44.18181818181818
sa_learned,time_outside_sector,0.0,0.0,0.0,0.0,0.0,0,0.0,
sa_reach250,flight_time,1150.585,1047.5,1927.1499999999996,2739.669999999999,2809.0,200,1.0,1150.585
sa_reach250,intrusion_time,20.695,0.0,94.24999999999991,177.23999999999978,437.0,66,0.33,62.71212121212121
sa_reach250,time_in_restricted_area,2.66,0.0,0.0,115.13999999999987,177.0,8,0.04,66.5
sa_reach250,time_outside_sector,0.0,0.0,0.0,0.0,0.0,0,0.0,
