case,episode,decision,agent,sim_time,latent_heading,latent_speed,latent_heading_unclipped,requested_turn_degrees,applied_turn_degrees,heading_before,reference_heading_before,heading_after,actual_turn_degrees,drift_after_degrees,static_override,mapped_turn_saturated
zero,0,0,KL001,5.0,-0.0,-0.0,-0.0,-15.078386664390564,-15.078386664390564,31.907010835112267,16.828628540039062,23.311096554873934,-8.595914280238333,6.548921585083008,0,0
zero,0,0,KL002,5.0,-0.0,-0.0,-0.0,0.01770427159499377,0.01770427159499377,165.7966996677218,165.81439208984375,165.81440393931678,0.01770427159496535,-1.476326087868074e-05,0,0
zero,0,0,KL003,5.0,0.0,0.0,0.0,45.0,45.0,15.011358954955597,82.50039672851562,23.60727323519393,8.595914280238333,-60.016117095947266,0,1
zero,0,0,KL004,5.0,0.0,0.0,0.0,-45.0,-45.0,81.11587001671928,30.834274291992188,72.51995573648095,-8.595914280238333,42.294288635253906,0,1
zero,0,0,KL005,5.0,-0.0,0.0,-0.0,0.19979663891717792,0.19979663891717792,135.66293625992802,135.86273193359375,135.8627328988452,0.19979663891717792,-1.908827107399702e-05,0,0
zero,0,0,KL006,5.0,-0.0,0.0,-0.0,25.39880007505417,25.39880007505417,264.9663409890795,-69.63485717773438,273.56225526931786,8.595914280238333,-17.089859008789062,0,0
zero,0,0,KL007,5.0,-0.0,0.0,-0.0,-0.04001785651780665,-0.04001785651780665,202.07369051584718,-157.96633911132812,202.03367265932934,-0.04001785651783507,1.622297895664815e-05,0,0
zero,0,0,KL008,5.0,-0.0,0.0,-0.0,16.710532307624817,16.710532307624817,274.45970279034464,-68.82974243164062,283.05561707058297,8.595914280238333,-8.206073760986328,0,0
zero,0,0,KL009,5.0,0.0,-0.0,0.0,0.07414604304358363,0.07414604304358363,169.05796228743102,169.13211059570312,169.13210833047458,0.07414604304355521,-1.0739786375779659e-05,0,0
zero,0,0,KL0010,5.0,-0.0,0.0,-0.0,0.1277962897438556,0.1277962897438556,337.941723718671,-21.93048095703125,338.0695200084149,0.1277962897438556,-2.038046659436077e-05,0,0
zero,0,1,KL001,10.0,0.0,-0.0,0.0,-6.548921763896942,-6.548921763896942,23.311096554873934,16.762176513671875,16.762174790976985,-6.548921763896942,0.011929864063858986,0,0
zero,0,1,KL002,10.0,-0.0,0.0,-0.0,1.476326133342809e-05,1.476326133342809e-05,165.81440393931678,165.81442260742188,165.8144187025781,1.476326133342809e-05,-1.4650861885456834e-05,0,0
zero,0,1,KL003,10.0,0.0,-0.0,0.0,45.0,45.0,23.60727323519393,83.62338256835938,32.20321475777359,8.595941522579665,-52.47032928466797,0,1
zero,0,1,KL004,10.0,0.0,-0.0,0.0,-42.29428946971893,-42.29428946971893,72.51995573648095,30.225677490234375,63.924014213901266,-8.595941522579693,34.22342300415039,0,0
zero,0,1,KL005,10.0,0.0,-0.0,0.0,1.9088271443479243e-05,1.9088271443479243e-05,135.8627328988452,135.86273193359375,135.86275198711667,1.9088271471900953e-05,-1.8952936443383805e-05,0,0
zero,0,1,KL006,10.0,0.0,-0.0,0.0,17.089859694242477,17.089859694242477,273.56225526931786,-69.347900390625,282.1581967918974,8.595941522579551,-8.669089317321777,0,0
zero,0,1,KL007,10.0,-0.0,-0.0,-0.0,-1.6222978160840285e-05,-1.6222978160840285e-05,202.03367265932934,-157.96633911132812,202.03365643635118,-1.6222978160840285e-05,1.606754449312575e-05,0,0
zero,0,1,KL008,10.0,0.0,0.0,0.0,8.206074312329292,8.206074312329292,283.05561707058297,-68.73831176757812,291.26169138291226,8.206074312329292,-0.025895679369568825,0,0
zero,0,1,KL009,10.0,-0.0,0.0,-0.0,1.0739786659996753e-05,1.0739786659996753e-05,169.13210833047458,169.13214111328125,169.13211907026124,1.0739786659996753e-05,-1.0643109817465302e-05,0,0
zero,0,1,KL0010,10.0,-0.0,-0.0,-0.0,2.0380467873337693e-05,2.0380467873337693e-05,338.0695200084149,-21.930419921875,338.06954038888273,2.0380467844915984e-05,-2.0269870219635777e-05,0,0
zero,0,2,KL001,15.0,0.0,0.0,0.0,-0.011929864558624104,-0.011929864558624104,16.762174790976985,16.750244140625,16.75024492641836,-0.011929864558624104,-0.0008838457870297134,0,0
zero,0,2,KL002,15.0,0.0,0.0,0.0,1.4650862283360766e-05,1.4650862283360766e-05,165.8144187025781,165.814453125,165.8144333534404,1.4650862283360766e-05,-1.4539136827806942e-05,0,0
zero,0,2,KL003,15.0,0.0,-0.0,0.0,45.0,45.0,32.20321475777359,84.67355346679688,40.79918352278122,8.595968765007626,-44.83268737792969,0,1
zero,0,2,KL004,15.0,0.0,-0.0,0.0,-34.223423302173615,-34.223423302173615,63.924014213901266,29.700592041015625,55.32804544889363,-8.595968765007626,26.056049346923828,0,0
zero,0,2,KL005,15.0,-0.0,0.0,-0.0,1.8952936500227224e-05,1.8952936500227224e-05,135.86275198711667,135.86276245117188,135.86277094005317,1.8952936500227224e-05,-1.8822745914803818e-05,0,0
zero,0,2,KL006,15.0,-0.0,0.0,-0.0,8.669089302420616,8.669089302420616,282.1581967918974,-69.17269897460938,290.75416555690515,8.59596876500774,-0.12785620987415314,0,0
zero,0,2,KL007,15.0,-0.0,0.0,-0.0,-1.6067545374198744e-05,-1.6067545374198744e-05,202.03365643635118,-157.96636962890625,202.03364036880578,-1.6067545402620453e-05,1.5914542018435895e-05,0,0
zero,0,2,KL008,15.0,-0.0,0.0,-0.0,0.0258956803008914,0.0258956803008914,291.26169138291226,-68.71240234375,291.28758706321315,0.0258956803008914,-0.0010934778256341815,0,0
zero,0,2,KL009,15.0,0.0,0.0,0.0,1.0643110073260686e-05,1.0643110073260686e-05,169.13211907026124,169.13214111328125,169.13212971337134,1.0643110101682396e-05,-1.0551661944191437e-05,0,0
zero,0,2,KL0010,15.0,0.0,0.0,0.0,2.0269870901756804e-05,2.0269870901756804e-05,338.06954038888273,-21.930419921875,338.06956065875363,2.0269870901756804e-05,-2.015847530856263e-05,0,0
zero,0,3,KL001,20.0,-0.0,-0.0,-0.0,0.0008838458234095015,0.0008838458234095015,16.75024492641836,16.751129150390625,16.75112877224177,0.0008838458234095015,-0.0008741420460864902,0,0
zero,0,3,KL002,20.0,-0.0,-0.0,-0.0,1.4539137254132584e-05,1.4539137254132584e-05,165.8144333534404,165.814453125,165.81444789257762,1.4539137225710874e-05,-1.4427366295421962e-05,0,0
zero,0,3,KL003,20.0,-0.0,0.0,-0.0,44.832686483860016,44.832686483860016,40.79918352278122,85.63186645507812,49.39517953030341,8.595996007522189,-37.083587646484375,0,0
zero,0,3,KL004,20.0,0.0,0.0,0.0,-26.056048572063446,-26.056048572063446,55.32804544889363,29.272003173828125,46.732049441371444,-8.595996007522189,17.77983856201172,0,0
zero,0,3,KL005,20.0,0.0,0.0,0.0,1.8822745602165014e-05,1.8822745602165014e-05,135.86277094005317,135.86279296875,135.8627897627988,1.8822745630586724e-05,-1.86924880836159e-05,0,0
zero,0,3,KL006,20.0,-0.0,0.0,-0.0,0.1278562203515321,0.1278562203515321,290.75416555690515,-69.11798095703125,290.8820217772567,0.1278562203515321,-0.002980342134833336,0,0
zero,0,3,KL007,20.0,0.0,-0.0,0.0,-1.591454136473658e-05,-1.591454136473658e-05,202.03364036880578,-157.96636962890625,202.03362445426444,-1.591454133631487e-05,1.5761384929646738e-05,0,0
