episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,847.0,0,0.0,0,0.0,0,0.0,37.395375323633324
0,KL004,1,945.0,0,0.0,0,0.0,0,0.0,37.37823134366551
0,KL006,1,957.0,0,0.0,0,0.0,0,0.0,37.41716376478482
0,KL0010,1,1013.0,0,0.0,0,0.0,0,0.0,37.41716377502798
0,KL003,1,1057.0,0,0.0,0,0.0,0,0.0,37.405886337810394
0,KL007,1,1164.0,0,0.0,0,0.0,0,0.0,37.35242737192917
0,KL009,1,1636.0,0,0.0,0,0.0,0,0.0,37.258100147617405
0,KL005,1,2083.0,0,0.0,0,0.0,0,0.0,37.2309762892341
0,KL008,1,2143.0,0,0.0,0,0.0,0,0.0,37.20183367616562
0,KL002,0,3000.0,0,0.0,1,58.0,0,0.0,-29.358648315790475
1,KL006,1,680.0,0,0.0,0,0.0,0,0.0,37.41716377077908
1,KL004,1,742.0,0,0.0,0,0.0,0,0.0,37.41716380446519
1,KL005,1,955.0,0,0.0,0,0.0,0,0.0,37.405237721030225
1,KL009,1,1023.0,0,0.0,0,0.0,0,0.0,37.346461225254046
1,KL001,1,1161.0,0,0.0,0,0.0,0,0.0,37.37153534664286
1,KL007,1,1316.0,0,0.0,0,0.0,0,0.0,37.336678078963686
1,KL002,1,2029.0,0,0.0,0,0.0,0,0.0,37.19664081209408
1,KL003,0,3000.0,1,98.0,1,53.0,0,0.0,-119.51780396217092
1,KL008,0,3000.0,1,98.0,1,58.0,0,0.0,-121.96973372126554
1,KL0010,0,3000.0,0,0.0,1,76.0,0,0.0,-38.293989265427435
2,KL004,1,643.0,0,0.0,0,0.0,0,0.0,37.41650774109349
2,KL006,1,652.0,0,0.0,0,0.0,0,0.0,37.406140358641174
2,KL003,1,766.0,0,0.0,0,0.0,0,0.0,37.404247125998594
2,KL007,1,775.0,0,0.0,0,0.0,0,0.0,37.41716379127128
2,KL008,1,852.0,0,0.0,0,0.0,0,0.0,37.378495185790236
2,KL0010,1,868.0,0,0.0,0,0.0,0,0.0,37.41610462774195
2,KL009,1,978.0,0,0.0,0,0.0,0,0.0,37.37646954175789
2,KL001,1,1061.0,0,0.0,0,0.0,0,0.0,37.41716379079708
2,KL005,1,1548.0,0,0.0,0,0.0,0,0.0,37.272992797166
2,KL002,1,1751.0,0,0.0,0,0.0,0,0.0,37.2565533643111
3,KL003,1,688.0,0,0.0,0,0.0,0,0.0,37.415071131302284
3,KL005,1,845.0,0,0.0,0,0.0,0,0.0,37.417163758089615
3,KL002,1,862.0,0,0.0,0,0.0,0,0.0,37.401915950865636
3,KL006,1,865.0,0,0.0,0,0.0,0,0.0,37.41716377007366
3,KL008,1,930.0,0,0.0,0,0.0,0,0.0,37.406481923052446
3,KL004,1,1055.0,0,0.0,0,0.0,0,0.0,37.41520018040787
3,KL001,1,1126.0,0,0.0,1,96.0,0,0.0,-10.611469116069657
3,KL0010,1,1524.0,0,0.0,0,0.0,0,0.0,37.346004600440956
3,KL007,1,1679.0,0,0.0,1,86.0,0,0.0,-5.721687750566794
3,KL009,1,2712.0,0,0.0,1,22.0,0,0.0,26.12978683108625
4,KL003,1,697.0,0,0.0,0,0.0,0,0.0,37.417163809359366
4,KL007,1,718.0,0,0.0,0,0.0,0,0.0,37.41716380003808
4,KL005,1,748.0,0,0.0,0,0.0,0,0.0,37.40987882012241
4,KL008,1,751.0,0,0.0,0,0.0,0,0.0,37.41716379105884
4,KL009,1,914.0,0,0.0,0,0.0,0,0.0,37.37052893711465
4,KL002,1,961.0,0,0.0,0,0.0,0,0.0,37.37809201985808
4,KL0010,1,1104.0,0,0.0,1,17.0,0,0.0,28.881792333513786
4,KL006,1,1138.0,0,0.0,0,0.0,0,0.0,37.38529194846799
4,KL001,1,2606.0,1,169.0,1,62.0,0,0.0,-153.62047149440463
4,KL004,1,2759.0,1,169.0,1,86.0,0,0.0,-165.7421040027217
5,KL0010,1,684.0,0,0.0,0,0.0,0,0.0,37.4159314550094
5,KL005,1,793.0,0,0.0,0,0.0,0,0.0,37.41084319551587
5,KL007,1,796.0,0,0.0,0,0.0,0,0.0,37.4171637967275
5,KL003,1,798.0,0,0.0,0,0.0,0,0.0,37.417163771628736
5,KL006,1,803.0,0,0.0,0,0.0,0,0.0,37.40919979004193
5,KL009,1,885.0,0,0.0,0,0.0,0,0.0,37.41404504202629
5,KL008,1,894.0,0,0.0,0,0.0,0,0.0,37.41716379076062
5,KL004,1,1003.0,0,0.0,0,0.0,0,0.0,37.41716375237456
5,KL002,1,1005.0,0,0.0,0,0.0,0,0.0,37.41426982180542
5,KL001,1,1055.0,0,0.0,0,0.0,0,0.0,37.408046937474126
6,KL004,1,713.0,0,0.0,0,0.0,0,0.0,37.39691778771376
6,KL0010,1,812.0,0,0.0,0,0.0,0,0.0,37.41560104728045
6,KL006,1,871.0,0,0.0,0,0.0,0,0.0,37.40769269431941
6,KL001,1,920.0,0,0.0,0,0.0,0,0.0,37.41395201401044
6,KL009,1,983.0,0,0.0,0,0.0,0,0.0,37.41698043993701
6,KL007,1,989.0,0,0.0,0,0.0,0,0.0,37.41018526726576
6,KL008,1,1026.0,0,0.0,0,0.0,0,0.0,37.362352148459784
6,KL002,1,1055.0,0,0.0,0,0.0,0,0.0,37.41716372931032
6,KL005,1,1326.0,0,0.0,0,0.0,0,0.0,37.34007384644833
6,KL003,1,1378.0,0,0.0,0,0.0,0,0.0,37.32063873166585
7,KL001,1,640.0,0,0.0,0,0.0,0,0.0,37.41716379746363
7,KL003,1,767.0,0,0.0,0,0.0,0,0.0,37.41697601926559
7,KL006,1,768.0,0,0.0,0,0.0,0,0.0,37.41716376149336
7,KL008,1,1046.0,0,0.0,0,0.0,0,0.0,37.39190904084551
7,KL009,1,1049.0,0,0.0,0,0.0,0,0.0,37.41688273113806
7,KL004,1,1095.0,0,0.0,0,0.0,0,0.0,37.41058914866695
7,KL007,1,1161.0,0,0.0,0,0.0,0,0.0,37.33616622573837
7,KL002,1,1344.0,0,0.0,0,0.0,0,0.0,37.354442160205146
7,KL0010,1,1426.0,0,0.0,0,0.0,0,0.0,37.28506519599495
7,KL005,1,2313.0,0,0.0,0,0.0,0,0.0,37.227427401149946
8,KL005,1,631.0,0,0.0,0,0.0,0,0.0,37.41716380598364
8,KL006,1,908.0,0,0.0,1,111.0,0,0.0,-18.09484913893663
8,KL007,1,931.0,0,0.0,0,0.0,0,0.0,37.39526929333221
8,KL001,1,989.0,0,0.0,0,0.0,0,0.0,37.41677890271118
8,KL003,1,1039.0,0,0.0,0,0.0,0,0.0,37.403249564438326
8,KL0010,1,1056.0,0,0.0,0,0.0,0,0.0,37.417163807553564
8,KL009,1,1351.0,0,0.0,2,43.0,0,0.0,15.82671777013984
8,KL008,1,1624.0,0,0.0,0,0.0,0,0.0,37.283740751569916
8,KL002,1,1790.0,0,0.0,1,57.0,0,0.0,8.79306080673366
8,KL004,1,2516.0,0,0.0,1,62.0,0,0.0,6.206288210949555
9,KL002,1,698.0,0,0.0,0,0.0,0,0.0,37.41716380596016
9,KL001,1,707.0,0,0.0,0,0.0,0,0.0,37.39800146859444
9,KL007,1,732.0,0,0.0,0,0.0,0,0.0,37.417163776138075
9,KL005,1,783.0,0,0.0,0,0.0,0,0.0,37.40948603835429
9,KL004,1,813.0,0,0.0,0,0.0,0,0.0,37.40830838824291
9,KL006,1,844.0,0,0.0,0,0.0,0,0.0,37.41592638027468
9,KL003,1,890.0,0,0.0,0,0.0,0,0.0,37.417163804979126
9,KL0010,1,925.0,0,0.0,0,0.0,0,0.0,37.413577517694534
9,KL008,1,1134.0,0,0.0,0,0.0,0,0.0,37.395682553952696
9,KL009,1,1596.0,0,0.0,0,0.0,0,0.0,37.30872068395608
10,KL0010,1,842.0,0,0.0,0,0.0,0,0.0,37.41698051717879
10,KL006,1,862.0,0,0.0,0,0.0,0,0.0,37.398176823820606
10,KL003,1,896.0,2,80.0,1,84.0,0,0.0,-80.27079902902045
10,KL009,1,912.0,0,0.0,0,0.0,0,0.0,37.413850329070534
10,KL001,1,1050.0,0,0.0,0,0.0,0,0.0,37.401647349288346
10,KL008,1,1077.0,0,0.0,0,0.0,0,0.0,37.35936515924634
10,KL004,1,2396.0,2,80.0,0,0.0,0,0.0,-38.35104042513425
10,KL007,1,2445.0,0,0.0,1,82.0,0,0.0,-3.835761613933748
10,KL005,1,2733.0,0,0.0,1,45.0,0,0.0,14.703680266518028
10,KL002,0,3000.0,0,0.0,0,0.0,0,0.0,-0.5184982727287497
11,KL009,1,674.0,0,0.0,0,0.0,0,0.0,37.41716376542513
11,KL006,1,696.0,0,0.0,0,0.0,0,0.0,37.40913395560128
11,KL007,1,745.0,0,0.0,0,0.0,0,0.0,37.41716378225535
11,KL008,1,946.0,0,0.0,0,0.0,0,0.0,37.41313796154203
11,KL001,1,965.0,0,0.0,0,0.0,0,0.0,37.41085269062763
11,KL005,1,1242.0,0,0.0,0,0.0,0,0.0,37.36632573901412
11,KL0010,1,1249.0,0,0.0,1,6.0,0,0.0,34.31719942029247
11,KL002,1,1506.0,0,0.0,0,0.0,0,0.0,37.3290433746892
11,KL003,1,1766.0,0,0.0,0,0.0,0,0.0,37.28809795232142
11,KL004,1,1772.0,0,0.0,0,0.0,0,0.0,37.27228414242638
12,KL006,1,631.0,0,0.0,0,0.0,0,0.0,37.417163794292044
12,KL004,1,723.0,0,0.0,0,0.0,0,0.0,37.4171637818396
12,KL001,1,805.0,0,0.0,0,0.0,0,0.0,37.39056664167616
12,KL003,1,876.0,0,0.0,1,8.0,0,0.0,33.37431717303058
12,KL009,1,986.0,0,0.0,0,0.0,0,0.0,37.36181011212476
12,KL008,1,1009.0,0,0.0,0,0.0,0,0.0,37.40353426012248
12,KL002,1,1074.0,0,0.0,0,0.0,0,0.0,37.36608202911084
12,KL0010,1,1076.0,0,0.0,0,0.0,0,0.0,37.4171637792867
12,KL007,1,1341.0,0,0.0,0,0.0,0,0.0,37.30686643884904
12,KL005,1,1566.0,0,0.0,0,0.0,0,0.0,37.276101233365424
13,KL004,1,676.0,0,0.0,0,0.0,0,0.0,37.41716379570388
13,KL005,1,686.0,0,0.0,0,0.0,0,0.0,37.416885134638676
13,KL009,1,709.0,0,0.0,0,0.0,0,0.0,37.41119526770619
13,KL001,1,713.0,0,0.0,0,0.0,0,0.0,37.41172079592355
13,KL007,1,777.0,0,0.0,0,0.0,0,0.0,37.41716380021638
