rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,4343,777,5120,2,20,1,1,25.213042999967,172.2521157008174,-1.1933689630781614,-119.33689630781615,1.0,0.02386149112135172,0.16844097524881363,0.02356037124991417,0.23388671875
2,8715,1525,10240,4,40,51,11,38.25448389997473,227.81643121332914,-1.0417371166574818,-104.17371166574817,1.0,-0.00888225678820163,0.07135609962046147,0.012011537328362465,0.14865347594022751
3,12872,2488,15360,6,69,101,21,51.56338459998369,249.6345051795547,-1.0018566964064999,-100.18566964065,1.0,-0.009065388415474445,0.03669612869620323,0.014390061609447002,0.16488505333662032
4,16691,3789,20480,10,100,141,31,64.53126879996853,258.6498035818589,-0.8981690529533987,-89.8169052953399,1.0,-0.009502403523947578,0.028170852223411202,0.009132995270192623,0.11350986622273922
5,21065,4535,25600,12,120,191,41,77.92653629998676,270.31870015251246,-0.7924142421062551,-79.2414242106255,1.0,-0.011267277402803302,0.029165874160826208,0.008682960644364357,0.12428479045629501
6,25386,5334,30720,14,144,241,51,91.76408110000193,276.64419123137134,-0.7180559977002561,-71.8055997700256,1.0,-0.005791380065493286,0.04343722835183143,0.008579050190746784,0.1210910589993
7,29639,6201,35840,17,176,291,61,105.69106789998477,280.43050930327735,-0.7286717198319462,-72.86717198319464,1.0,-0.010033603673800826,0.02486624153330922,0.01676591858267784,0.14976811349391939
8,33804,7156,40960,20,200,341,71,118.80076459998963,284.5436232150559,-0.6875849794732737,-68.75849794732737,1.0,-0.009988482771441341,0.01607182000763714,0.01288236491382122,0.14460512906312942
9,38404,7676,46080,22,220,391,81,132.81666000001132,289.1504725385861,-0.701680972534253,-70.1680972534253,1.0,-0.009053666238469305,0.02870975889265537,0.010041539557278156,0.13849547408521176
10,42580,8620,51200,24,244,441,91,146.2773268999881,291.0909086348874,-0.7465293129158742,-74.65293129158744,1.0,-0.010665361340506933,0.02152459716424346,0.014043614268302917,0.16630078107118607
11,46682,9638,56320,27,276,491,101,160.68529260001378,290.5181877236473,-0.5943260705744869,-59.432607057448706,1.0,-0.007171863305848092,0.015144217472989113,0.019794870167970657,0.21067057371139528
12,51061,10379,61440,30,300,541,111,180.90532209997764,282.2526137278651,-1.007578265285894,-100.75782652858938,1.0,-0.008115757151463185,0.04075443226844072,0.012537719681859016,0.1275965516269207
13,55267,11293,66560,32,320,591,121,198.76201880001463,278.0561413778311,-1.0326865145568644,-103.26865145568647,1.0,-0.01056483345106244,0.03480225306004286,0.012735657393932343,0.12613210253417492
14,59298,12382,71680,34,347,631,131,218.4041607999825,271.5058164771225,-1.0518244575898814,-105.18244575898817,1.0,-0.01261714887805283,0.02196197775192559,0.014009357430040836,0.1613299325108528
15,63489,13311,76800,37,370,681,141,237.642313999997,267.1620172828346,-1.1258997896365142,-112.5899789636514,1.0,-0.009049753025174141,0.018819484263658523,0.015333257615566254,0.18172676876187324
16,67510,14410,81920,39,396,721,151,257.38854680000804,262.28828298430676,-0.7809288714582807,-78.09288714582807,1.0,-0.010553511786565651,0.026001085666939615,0.012409180402755737,0.14914792627096177
17,71590,15450,87040,41,418,761,161,277.1518422999652,258.3060585342138,-0.7338961699081874,-73.38961699081872,1.0,-0.010873105094651692,0.02479886740911752,0.011507641524076462,0.13309074230492116
18,75623,16537,92160,44,444,801,171,296.545569400012,255.01308332815353,-0.6200720112760526,-62.00720112760527,1.0,-0.01115368380851578,0.019091156381182372,0.012649193406105042,0.16220441404730082
19,79668,17612,97280,46,464,841,181,312.93169509997824,254.5859088340251,-0.7078688507643507,-70.78688507643507,1.0,-0.009698087762808427,0.029135439777746797,0.015033233910799026,0.14641677867621183
20,83832,18568,102400,49,490,891,191,328.99291879998054,254.81399510293946,-0.8023006866826365,-80.23006866826363,1.0,-0.007681272402405739,0.020312168337404728,0.019557297229766846,0.21077550612390042
21,88257,19263,107520,51,514,941,201,346.02715529996203,255.0580168296106,-0.8790945859811843,-87.90945859811843,1.0,-0.008534348194953054,0.017571719251573085,0.012671513482928276,0.14822206288576126
22,92327,20313,112640,54,540,981,211,364.99905290000606,252.951341288257,-0.900316426600483,-90.0316426600483,1.0,-0.013727521826513111,0.026383100543171167,0.012687220238149166,0.13420552033931016
23,96473,21287,117760,56,565,998,215,382.29661329998635,252.35117613845586,-0.9284950218451071,-92.84950218451071,1.0,0.005540100379019148,0.03386223160972198,0.043044816702604294,0.18061631959345606
24,100699,22181,122880,59,590,1048,225,403.0455476999632,249.84521122898684,-0.920565140249417,-92.05651402494169,1.0,-0.012815905366442166,0.017820398770272732,0.013858539052307606,0.13882331803441048
25,104985,23015,128000,61,615,1098,235,422.75012529996457,248.33818777819957,-0.813657977426902,-81.3657977426902,1.0,-0.012567873122170567,0.01783351821824908,0.018451282754540443,0.16405324816703795
26,109163,23957,133120,63,638,1148,245,436.6695948999841,249.98992665152923,-0.814071909322778,-81.40719093227781,1.0,-0.009990961238509044,0.012376849194988609,0.014120042324066162,0.15813929125666618
27,113110,25130,138240,66,662,1188,255,451.0484492999967,250.77128671108554,-0.553234559663398,-55.32345596633981,1.0,-0.01370792897243973,0.01273641367442906,0.013122407719492912,0.15748189156875014
28,117110,26250,143360,68,688,1228,265,466.02178130001994,251.29726699320477,-0.525616986759805,-52.56169867598049,1.0,-0.012454187928233296,0.02064185163471848,0.013176901265978813,0.15969490818679333
29,121351,27129,148480,71,710,1278,275,483.4729426999693,250.9985343177876,-0.4075731724879833,-40.75731724879834,1.0,-0.011067663255525986,0.01239842688664794,0.02030615136027336,0.1536736264079809
30,125791,27809,153600,73,730,1328,285,504.3573189000017,249.4084952992234,-0.4308889764379568,-43.08889764379567,1.0,-0.01222511920146644,0.018510346915572882,0.012972533702850342,0.17846111923456193
31,129812,28908,158720,75,759,1368,295,523.8152008000179,247.82022324235604,-0.7020186527548836,-70.20186527548834,1.0,-0.014566788356751204,0.022801256692036986,0.012776589021086693,0.1403735530562699
32,134125,29715,163840,78,781,1418,305,547.1142662999919,245.1498859773052,-0.8498748744652467,-84.98748744652465,1.0,-0.013540072996111121,0.014173369314521551,0.01480566430836916,0.166229028403759
33,138436,30524,168960,80,801,1464,315,565.217298100004,244.92527115740626,-0.7769492724188214,-77.69492724188213,1.0,-0.006676839818147586,0.015500898334257145,0.0393044650554657,0.21291729823706
34,142260,31820,174080,82,834,1504,325,579.4965933999629,245.48893232546328,-0.8739944860145177,-87.39944860145177,1.0,-0.011743663263041526,0.023839667509309947,0.01160240639001131,0.15552848614752293
35,146144,33056,179200,85,855,1544,335,595.2050126999966,245.53556653875413,-0.9560394098177497,-95.60394098177494,1.0,-0.014179694134509192,0.035689641768112776,0.015318847261369228,0.16570377424359323
36,150193,34127,184320,88,880,1584,345,610.69738279999,245.93686534463146,-0.8867936689154549,-88.67936689154547,1.0,-0.01244272937765345,0.022607310302555562,0.010225447826087475,0.15171740520745516
37,154426,35014,189440,90,900,1634,355,627.0091949999915,246.28984906673037,-0.9642406114372281,-96.42406114372281,1.0,-0.012328179492615164,0.021192692667245865,0.023463290184736252,0.19087220579385758
38,158730,35830,194560,92,920,1684,365,646.7911071999697,245.4115374083601,-1.0693253788924602,-106.93253788924603,1.0,-0.008422268303111196,0.02481057431548834,0.015676215291023254,0.1803951321542263
39,162820,36860,199680,94,946,1724,375,664.7030741000199,244.9514773501709,-0.9238482810820726,-92.38482810820726,1.0,-0.012473943631630392,0.0167327283648774,0.01202220655977726,0.13910312633961439
40,166616,38184,204800,96,977,1764,385,681.9489420999889,244.32327658860183,-0.8347737359726404,-83.47737359726402,1.0,-0.0166685173753649,0.016374676092527806,0.015080424956977367,0.16004416141659022
41,170485,39435,209920,100,1000,1804,395,698.6954599000164,244.00473422912532,-0.9185699383042447,-91.85699383042449,1.0,-0.01159007713140454,0.032163216220214966,0.014079481363296509,0.14580038320273161
42,174616,40424,215040,102,1020,1854,405,716.158460000006,243.8231337796366,-0.8566615603470873,-85.66615603470876,1.0,-0.01075813330244273,0.032160871215164664,0.026652690023183823,0.20291406329721212
43,178575,41585,220160,104,1040,1894,415,734.7233085000189,243.05068035009182,-0.7511230553345976,-75.11230553345978,1.0,-0.009253222082043067,0.015497644152492284,0.0119499322026968,0.15625751428306103
44,182981,42299,225280,106,1066,1944,425,751.4283249999862,243.51091636052362,-0.8652553675370096,-86.52553675370096,1.0,-0.011079149423167109,0.022028211653232575,0.014480672776699066,0.18355342775583267
45,186996,43404,230400,109,1091,1984,435,767.2985857999884,243.70695249625317,-0.9457528729698865,-94.57528729698866,1.0,-0.009777281610877254,0.02880066926591098,0.011115551926195621,0.14441285524517297
46,191026,44494,235520,111,1117,2024,445,785.6808738000109,243.13433910652154,-0.8851192613277918,-88.51192613277917,1.0,-0.006647797458572313,0.014727953402325512,0.012214282527565956,0.16607566643506289
47,195044,45596,240640,114,1140,2064,455,805.5928125999635,242.11238847888504,-0.9431672197818907,-94.31672197818907,1.0,-0.01075937196437735,0.029744909098371863,0.01404520682990551,0.1414281867444515
48,199306,46454,245760,116,1162,2114,465,822.9425151000032,242.18702563420302,-0.8714808591717759,-87.14808591717755,1.0,-0.013074532191967591,0.02591694800183177,0.019823405891656876,0.17118316978216172
49,203251,47629,250880,118,1187,2154,475,838.6667736999807,242.35012805301588,-0.8225305781521355,-82.25305781521354,1.0,-0.012175025389296934,0.012884128512814641,0.014896122738718987,0.16174822598695754
50,207114,48886,256000,121,1213,2194,485,855.9949602999841,241.9570319986659,-0.6543428815108462,-65.43428815108462,1.0,-0.011927124694921076,0.016687833867035807,0.013036005198955536,0.1490496102720499
51,211042,50078,261120,123,1234,2234,495,874.5428563000169,241.31693316079281,-0.6713057994137211,-67.13057994137212,1.0,-0.013268193708790932,0.022920132940635086,0.010662296786904335,0.12190489005297422
52,215138,51102,266240,125,1259,2274,505,894.0203500000061,240.64105475898677,-0.8977063778921719,-89.7706377892172,1.0,-0.012576327816350385,0.0397304302547127,0.013600021600723267,0.1735595703125
53,219554,51806,271360,128,1280,2324,515,909.6259779999964,241.3673370265167,-0.9031585840717541,-90.31585840717544,1.0,-0.011151917293900623,0.02576488994061947,0.017203984782099724,0.15303906232118605
54,223625,52855,276480,130,1306,2364,525,928.0913422000012,240.951498879309,-1.2898404878886862,-128.98404878886862,1.0,-0.012901257190969772,0.05461259731091559,0.01218294259160757,0.15104772746562958
