time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate
22,5120,226,159.65,1,-1.1933689630781614,,,,,,,,,,,
21,10240,239,164.625,1,-1.0417371166574818,0.023560371,0.16844097524881363,3.1532881259918213,0.03945285081863403,0.05001496523618698,0.2,0.23388671875,1,0.02386149112135172,0.15860497951507568,0.0003
25,15360,198,162.94202898550725,1,-1.0018566964064999,0.012011537,0.07135609962046147,3.1481795787811278,0.09838616847991943,0.050239428877830505,0.2,0.14865347594022751,11,-0.00888225678820163,0.06042499095201492,0.0003
25,20480,197,164.61,1,-0.8981690529533987,0.014390062,0.03669612869620323,3.1423269939422607,0.2874954342842102,0.050303615629673004,0.2,0.16488505333662032,21,-0.009065388415474445,0.003199906088411808,0.0003
17,25600,287,164.82,1,-0.7924142421062551,0.009132995,0.028170852223411202,3.145229625701904,0.5260125398635864,0.05007182061672211,0.2,0.11350986622273922,31,-0.009502403523947578,0.027910886332392693,0.0003
25,30720,204,162.32,1,-0.7180559977002561,0.008682961,0.029165874160826208,3.154165859222412,0.6827950477600098,0.04996597766876221,0.2,0.12428479045629501,41,-0.011267277402803302,0.024560946971178055,0.0003
19,35840,258,164.77,1,-0.7286717198319462,0.00857905,0.04343722835183143,3.1543201541900636,0.7185156941413879,0.04999106004834175,0.2,0.1210910589993,51,-0.005791380065493286,0.03844017535448074,0.0003
11,40960,427,164.43,1,-0.6875849794732737,0.016765919,0.02486624153330922,3.151986918449402,0.7418244481086731,0.0500955805182457,0.2,0.14976811349391939,61,-0.010033603673800826,0.030303489416837692,0.0003
12,46080,396,167.99,1,-0.701680972534253,0.012882365,0.01607182000763714,3.1485456323623655,0.7790042757987976,0.05014441907405853,0.2,0.14460512906312942,71,-0.009988482771441341,0.01742785982787609,0.0003
16,51200,314,169.04,1,-0.7465293129158742,0.01004154,0.02870975889265537,3.1434418821334837,0.7680589556694031,0.05042865872383118,0.2,0.13849547408521176,81,-0.009053666238469305,0.020994793623685837,0.0003
13,56320,366,168.45,1,-0.5943260705744869,0.014043614,0.02152459716424346,3.1380175161361694,0.7990615367889404,0.05029860883951187,0.2,0.16630078107118607,91,-0.010665361340506933,0.019171318039298058,0.0003
19,61440,259,172.57,1,-1.007578265285894,0.01979487,0.015144217472989113,3.1469570207595825,0.8746629953384399,0.050078995525836945,0.2,0.21067057371139528,101,-0.007171863305848092,0.042952146381139755,0.0003
12,66560,423,170.93,1,-1.0326865145568644,0.01253772,0.04075443226844072,3.1483893394470215,0.6614981889724731,0.05021918565034866,0.2,0.1275965516269207,111,-0.008115757151463185,0.028517726808786392,0.0003
12,71680,415,171.81,1,-1.0518244575898814,0.012735657,0.03480225306004286,3.142627353668213,0.652469277381897,0.050325118005275726,0.2,0.12613210253417492,121,-0.01056483345106244,0.023519307374954224,0.0003
12,76800,409,172.63,1,-1.1258997896365142,0.014009357,0.02196197775192559,3.141964501142502,0.828519880771637,0.05024052411317825,0.2,0.1613299325108528,131,-0.01261714887805283,0.01568727008998394,0.0003
12,81920,408,168.62,1,-0.7809288714582807,0.015333258,0.018819484263658523,3.144559483528137,0.8698769807815552,0.05028066039085388,0.2,0.18172676876187324,141,-0.009049753025174141,0.016563890501856804,0.0003
12,87040,400,169.87,1,-0.7338961699081874,0.01240918,0.026001085666939615,3.1403570890426638,0.8493182063102722,0.05041296035051346,0.2,0.14914792627096177,151,-0.010553511786565651,0.022496124729514122,0.0003
13,92160,376,170.06,1,-0.6200720112760526,0.0115076415,0.02479886740911752,3.133383870124817,0.8948886394500732,0.05057137832045555,0.2,0.13309074230492116,161,-0.010873105094651692,0.02006327360868454,0.0003
13,97280,383,170.62,1,-0.7078688507643507,0.012649193,0.019091156381182372,3.1268361449241637,0.8289771676063538,0.050816670060157776,0.2,0.16220441404730082,171,-0.01115368380851578,0.014846975915133953,0.0003
13,102400,389,170.69,1,-0.8023006866826365,0.015033234,0.029135439777746797,3.1183412253856657,0.8135388493537903,0.0509708896279335,0.2,0.14641677867621183,181,-0.009698087762808427,0.025059755891561508,0.0003
14,107520,354,170.92,1,-0.8790945859811843,0.019557297,0.020312168337404728,3.112035846710205,0.835126519203186,0.051137521862983704,0.2,0.21077550612390042,191,-0.007681272402405739,0.0210458692163229,0.0003
14,112640,352,172.83,1,-0.900316426600483,0.0126715135,0.017571719251573085,3.109241681098938,0.8515998125076294,0.051098696887493134,0.2,0.14822206288576126,201,-0.008534348194953054,0.019366655498743057,0.0003
10,117760,495,170.22,1,-0.9284950218451071,0.01268722,0.026383100543171167,3.1082379639148714,0.7928255796432495,0.05124752223491669,0.2,0.13420552033931016,211,-0.013727521826513111,0.01785241812467575,0.0003
9,122880,527,172.07,1,-0.920565140249417,0.043044817,0.03386223160972198,3.1029981639650135,0.7764440774917603,0.05132772773504257,0.2,0.18061631959345606,215,0.005540100379019148,0.06896093487739563,0.0003
9,128000,517,169.66,1,-0.813657977426902,0.013858539,0.017820398770272732,3.096345205307007,0.8671423196792603,0.051528528332710266,0.2,0.13882331803441048,225,-0.012815905366442166,0.00046452414244413376,0.0003
10,133120,490,169.65,1,-0.814071909322778,0.018451283,0.01783351821824908,3.0915839195251467,0.84425950050354,0.05162421613931656,0.2,0.16405324816703795,235,-0.012567873122170567,0.012230617925524712,0.0003
12,138240,401,170.56,1,-0.553234559663398,0.014120042,0.012376849194988609,3.088780951499939,0.8873636722564697,0.05169570818543434,0.2,0.15813929125666618,245,-0.009990961238509044,0.02754288539290428,0.0003
10,143360,497,167.53,1,-0.525616986759805,0.013122408,0.01273641367442906,3.0921108722686768,0.8883923292160034,0.0513785220682621,0.2,0.15748189156875014,255,-0.01370792897243973,0.01630685105919838,0.0003
11,148480,465,169.51,1,-0.4075731724879833,0.013176901,0.02064185163471848,3.097952675819397,0.8416932225227356,0.05152163654565811,0.2,0.15969490818679333,265,-0.012454187928233296,0.016205132007598877,0.0003
17,153600,299,171.6,1,-0.4308889764379568,0.020306151,0.01239842688664794,3.0862285327911376,0.9057993292808533,0.051928870379924774,0.2,0.1536736264079809,275,-0.011067663255525986,0.022288979962468147,0.0003
12,158720,404,173.19,1,-0.7020186527548836,0.012972534,0.018510346915572882,3.0672642612457275,0.8246010541915894,0.05246950685977936,0.2,0.17846111923456193,285,-0.01222511920146644,0.018570316955447197,0.0003
15,163840,324,175.86,1,-0.8498748744652467,0.012776589,0.022801256692036986,3.051589012145996,0.857633650302887,0.052734553813934326,0.2,0.1403735530562699,295,-0.014566788356751204,0.018626227974891663,0.0003
24,168960,209,175.64,1,-0.7769492724188214,0.014805664,0.014173369314521551,3.047380723953247,0.8630363941192627,0.05270921066403389,0.2,0.166229028403759,305,-0.013540072996111121,0.007969992235302925,0.0003
11,174080,432,171.81,1,-0.8739944860145177,0.039304465,0.015500898334257145,3.047831210684269,0.8812136650085449,0.05274318903684616,0.2,0.21291729823706,315,-0.006676839818147586,0.04046571999788284,0.0003
12,179200,424,169.85,1,-0.9560394098177497,0.011602406,0.023839667509309947,3.0442859649658205,0.8420490026473999,0.05292365327477455,0.2,0.15552848614752293,325,-0.011743663263041526,0.006137044634670019,0.0003
9,184320,518,169.56,1,-0.8867936689154549,0.015318847,0.035689641768112776,3.0348853945732115,0.7292184829711914,0.053220488131046295,0.2,0.16570377424359323,335,-0.014179694134509192,0.021732784807682037,0.0003
10,189440,496,169.34,1,-0.9642406114372281,0.010225448,0.022607310302555562,3.023524659872055,0.830642819404602,0.053488824516534805,0.2,0.15171740520745516,345,-0.01244272937765345,0.01991468295454979,0.0003
11,194560,447,171.36,1,-1.0693253788924602,0.02346329,0.021192692667245865,3.015113844871521,0.8821058869361877,0.05364483967423439,0.2,0.19087220579385758,355,-0.012328179492615164,-0.005098985508084297,0.0003
17,199680,292,172.31,1,-0.9238482810820726,0.015676215,0.02481057431548834,3.014055724143982,0.8078863024711609,0.053572990000247955,0.2,0.1803951321542263,365,-0.008422268303111196,0.04629598185420036,0.0003
21,204800,234,173.27,1,-0.8347737359726404,0.012022207,0.0167327283648774,3.010050880908966,0.8757245540618896,0.053932711482048035,0.2,0.13910312633961439,375,-0.012473943631630392,0.023407578468322754,0.0003
27,209920,188,174.59,1,-0.9185699383042447,0.015080425,0.016374676092527806,3.0007609724998474,0.8548115491867065,0.05391059070825577,0.2,0.16004416141659022,385,-0.0166685173753649,0.016377858817577362,0.0003
19,215040,269,173.06,1,-0.8566615603470873,0.014079481,0.032163216220214966,3.000267767906189,0.8235048651695251,0.05411780625581741,0.2,0.14580038320273161,395,-0.01159007713140454,0.02091268263757229,0.0003
20,220160,255,172.13,1,-0.7511230553345976,0.02665269,0.032160871215164664,2.9939635944366456,0.838595449924469,0.05411296337842941,0.2,0.20291406329721212,405,-0.01075813330244273,0.006396847777068615,0.0003
22,225280,230,171.46,1,-0.8652553675370096,0.011949932,0.015497644152492284,2.9974014937877653,0.919975996017456,0.05401821434497833,0.2,0.15625751428306103,415,-0.009253222082043067,0.015825899317860603,0.0003
19,230400,264,173.0,1,-0.9457528729698865,0.014480673,0.022028211653232575,3.0011969327926638,0.8586267232894897,0.05395102873444557,0.2,0.18355342775583267,425,-0.011079149423167109,0.02058245800435543,0.0003
19,235520,258,169.47,1,-0.8851192613277918,0.011115552,0.02880066926591098,3.0012897193431853,0.8725440502166748,0.05393998324871063,0.2,0.14441285524517297,435,-0.009777281610877254,0.016963403671979904,0.0003
20,240640,244,169.59,1,-0.9431672197818907,0.0122142825,0.014727953402325512,3.001862132549286,0.889938473701477,0.053984135389328,0.2,0.16607566643506289,445,-0.006647797458572313,0.020307406783103943,0.0003
18,245760,283,171.03,1,-0.8714808591717759,0.014045207,0.029744909098371863,2.9987920999526976,0.7563413381576538,0.05402664840221405,0.2,0.1414281867444515,455,-0.01075937196437735,0.008736745454370975,0.0003
19,250880,259,171.23,1,-0.8225305781521355,0.019823406,0.02591694800183177,2.995134630203247,0.765745997428894,0.054236091673374176,0.2,0.17118316978216172,465,-0.013074532191967591,0.011755446903407574,0.0003
24,256000,208,168.79,1,-0.6543428815108462,0.014896123,0.012884128512814641,2.989127206802368,0.8835896253585815,0.05430319160223007,0.2,0.16174822598695754,475,-0.012175025389296934,0.017062809318304062,0.0003
23,261120,219,170.77,1,-0.6713057994137211,0.013036005,0.016687833867035807,2.990773159265518,0.7870033979415894,0.054181139916181564,0.2,0.1490496102720499,485,-0.011927124694921076,0.021330831572413445,0.0003
25,266240,198,170.34,1,-0.8977063778921719,0.010662297,0.022920132940635086,2.9901410937309265,0.7867080569267273,0.05441133677959442,0.2,0.12190489005297422,495,-0.013268193708790932,0.008157389238476753,0.0003
29,271360,174,171.94,1,-0.9031585840717541,0.013600022,0.0397304302547127,2.9781391441822054,0.7480823993682861,0.054763540625572205,0.2,0.1735595703125,505,-0.012576327816350385,0.017260655760765076,0.0003
