waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,632.0,3.0,248.0,0.0,0.0,0.0,0.0,-197.12334362666488
1.0,646.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.092702205180366
1.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41016712727195
1.0,683.0,0.0,0.0,1.0,329.0,0.0,0.0,-127.09108209207517
1.0,690.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.38820542610174
1.0,706.0,6.0,350.0,0.0,0.0,0.0,0.0,-293.58559911998697
1.0,719.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.388245164692954
1.0,744.0,2.0,151.0,0.0,0.0,0.0,0.0,-105.39222297133043
1.0,769.0,3.0,271.0,0.0,0.0,0.0,0.0,-218.8750334794964
1.0,782.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.094475230961315
1.0,783.0,0.0,0.0,1.0,180.0,0.0,0.0,-52.591835175743874
1.0,804.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.388188661654148
1.0,847.0,0.0,0.0,1.0,276.0,0.0,0.0,-100.59305619155803
1.0,857.0,0.0,0.0,1.0,30.0,0.0,0.0,22.406934752611757
1.0,886.0,3.0,606.0,0.0,0.0,0.0,0.0,-535.6861511553578
1.0,891.0,4.0,552.0,0.0,0.0,0.0,0.0,-484.61867489943984
1.0,899.0,2.0,207.0,0.0,0.0,0.0,0.0,-158.3526556276611
1.0,899.0,2.0,230.0,0.0,0.0,0.0,0.0,-180.10326298675045
1.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40533035307515
1.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40437562537391
1.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40993309514903
1.0,704.0,0.0,0.0,1.0,181.0,0.0,0.0,-53.091498987692894
1.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40867013311713
1.0,735.0,1.0,45.0,2.0,298.0,0.0,0.0,-154.1483661148451
1.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,37.407938522927054
1.0,633.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.55056548503213
1.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40858749604416
1.0,729.0,1.0,56.0,1.0,33.0,0.0,0.0,-32.050642603094694
1.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40555952076203
1.0,761.0,0.0,0.0,1.0,206.0,0.0,0.0,-65.59273601801124
1.0,970.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.335142782164105
1.0,787.0,0.0,0.0,1.0,341.0,0.0,0.0,-133.0927510350308
1.0,804.0,0.0,0.0,1.0,273.0,0.0,0.0,-99.09232155937778
1.0,1000.0,2.0,111.0,1.0,19.0,0.0,0.0,-77.06715863650776
1.0,1004.0,1.0,45.0,1.0,162.0,0.0,0.0,-86.15126307981515
1.0,1037.0,1.0,51.0,2.0,478.0,0.0,0.0,-249.82595135602534
1.0,1009.0,1.0,41.0,3.0,538.0,0.0,0.0,-270.36886979685005
1.0,1022.0,0.0,0.0,3.0,628.0,0.0,0.0,-276.5946759085174
1.0,1044.0,1.0,41.0,4.0,464.0,0.0,0.0,-233.36916625802706
1.0,1052.0,0.0,0.0,2.0,557.0,0.0,0.0,-241.0949906494739
1.0,666.0,1.0,31.0,1.0,35.0,0.0,0.0,-9.407339397141236
1.0,703.0,2.0,76.0,1.0,22.0,0.0,0.0,-45.46454822229173
1.0,800.0,5.0,440.0,1.0,19.0,0.0,0.0,-388.19978122318184
1.0,813.0,1.0,35.0,1.0,33.0,0.0,0.0,-12.19289124196257
1.0,833.0,1.0,57.0,1.0,22.0,0.0,0.0,-27.497876170913464
1.0,646.0,0.0,0.0,1.0,45.0,0.0,0.0,14.909749566951014
1.0,664.0,3.0,370.0,1.0,131.0,0.0,0.0,-377.9984580366583
1.0,880.0,1.0,103.0,2.0,461.0,0.0,0.0,-290.50080521405
1.0,895.0,2.0,280.0,1.0,17.0,0.0,0.0,-235.8881285319423
1.0,919.0,1.0,35.0,1.0,18.0,0.0,0.0,-4.694009917660495
1.0,930.0,2.0,156.0,0.0,0.0,0.0,0.0,-110.12161762114803
1.0,806.0,3.0,359.0,1.0,150.0,0.0,0.0,-377.0976823621339
1.0,1034.0,2.0,117.0,1.0,18.0,0.0,0.0,-82.24158168507637
1.0,841.0,0.0,0.0,1.0,11.0,0.0,0.0,31.907878617112218
1.0,854.0,2.0,111.0,1.0,153.0,0.0,0.0,-144.0645800199684
1.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40608899803727
1.0,907.0,2.0,99.0,2.0,181.0,0.0,0.0,-146.71865581352634
1.0,991.0,1.0,61.0,1.0,100.0,0.0,0.0,-70.28264057203145
1.0,996.0,3.0,162.0,1.0,166.0,0.0,0.0,-198.79690355762847
