completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-197.12334362666488,-197.12334362666488,-197.12334362666488,0.0
1,-6.092702205180366,-6.092702205180366,-6.092702205180366,0.0
2,37.41016712727195,37.41016712727195,37.41016712727195,0.0
3,-127.09108209207517,-127.09108209207517,-127.09108209207517,0.0
4,-18.38820542610174,-18.38820542610174,-18.38820542610174,0.0
5,-293.58559911998697,-293.58559911998697,-293.58559911998697,0.0
6,-18.388245164692954,-18.388245164692954,-18.388245164692954,0.0
7,-105.39222297133043,-105.39222297133043,-105.39222297133043,0.0
8,-218.8750334794964,-218.8750334794964,-218.8750334794964,0.0
9,-6.094475230961315,-6.094475230961315,-6.094475230961315,0.0
10,-52.591835175743874,-52.591835175743874,-52.591835175743874,0.0
11,-18.388188661654148,-18.388188661654148,-18.388188661654148,0.0
12,-100.59305619155803,-100.59305619155803,-100.59305619155803,0.0
13,22.406934752611757,22.406934752611757,22.406934752611757,0.0
14,-535.6861511553578,-535.6861511553578,-535.6861511553578,0.0
15,-484.61867489943984,-484.61867489943984,-484.61867489943984,0.0
16,-158.3526556276611,-158.3526556276611,-158.3526556276611,0.0
17,-180.10326298675045,-180.10326298675045,-180.10326298675045,0.0
18,37.40533035307515,37.40533035307515,37.40533035307515,0.0
19,37.40437562537391,37.40437562537391,37.40437562537391,0.0
20,37.40993309514903,37.40993309514903,37.40993309514903,0.0
21,-53.091498987692894,-53.091498987692894,-53.091498987692894,0.0
22,37.40867013311713,37.40867013311713,37.40867013311713,0.0
23,-154.1483661148451,-154.1483661148451,-154.1483661148451,0.0
24,37.407938522927054,37.407938522927054,37.407938522927054,0.0
25,-15.55056548503213,-15.55056548503213,-15.55056548503213,0.0
26,37.40858749604416,37.40858749604416,37.40858749604416,0.0
27,-32.050642603094694,-32.050642603094694,-32.050642603094694,0.0
28,37.40555952076203,37.40555952076203,37.40555952076203,0.0
29,-65.59273601801124,-65.59273601801124,-65.59273601801124,0.0
30,-19.335142782164105,-19.335142782164105,-19.335142782164105,0.0
31,-133.0927510350308,-133.0927510350308,-133.0927510350308,0.0
32,-99.09232155937778,-99.09232155937778,-99.09232155937778,0.0
33,-77.06715863650776,-77.06715863650776,-77.06715863650776,0.0
34,-86.15126307981515,-86.15126307981515,-86.15126307981515,0.0
35,-249.82595135602534,-249.82595135602534,-249.82595135602534,0.0
36,-270.36886979685005,-270.36886979685005,-270.36886979685005,0.0
37,-276.5946759085174,-276.5946759085174,-276.5946759085174,0.0
38,-233.36916625802706,-233.36916625802706,-233.36916625802706,0.0
39,-241.0949906494739,-241.0949906494739,-241.0949906494739,0.0
40,-9.407339397141236,-9.407339397141236,-9.407339397141236,0.0
41,-45.46454822229173,-45.46454822229173,-45.46454822229173,0.0
42,-388.19978122318184,-388.19978122318184,-388.19978122318184,0.0
43,-12.19289124196257,-12.19289124196257,-12.19289124196257,0.0
44,-27.497876170913464,-27.497876170913464,-27.497876170913464,0.0
45,14.909749566951014,14.909749566951014,14.909749566951014,0.0
46,-377.9984580366583,-377.9984580366583,-377.9984580366583,0.0
47,-290.50080521405,-290.50080521405,-290.50080521405,0.0
48,-235.8881285319423,-235.8881285319423,-235.8881285319423,0.0
49,-4.694009917660495,-4.694009917660495,-4.694009917660495,0.0
50,-110.12161762114803,-110.12161762114803,-110.12161762114803,0.0
51,-377.0976823621339,-377.0976823621339,-377.0976823621339,0.0
52,-82.24158168507637,-82.24158168507637,-82.24158168507637,0.0
53,31.907878617112218,31.907878617112218,31.907878617112218,0.0
54,-144.0645800199684,-144.0645800199684,-144.0645800199684,0.0
55,37.40608899803727,37.40608899803727,37.40608899803727,0.0
56,-146.71865581352634,-146.71865581352634,-146.71865581352634,0.0
57,-70.28264057203145,-70.28264057203145,-70.28264057203145,0.0
58,-198.79690355762847,-198.79690355762847,-198.79690355762847,0.0
59,-239.09559045835073,-239.09559045835073,-239.09559045835073,0.0
60,-75.90932991795569,-75.90932991795569,-75.90932991795569,0.0
61,-12.713085885092603,-12.713085885092603,-12.713085885092603,0.0
62,29.40838291561626,29.40838291561626,29.40838291561626,0.0
63,-76.49827639054692,-76.49827639054692,-76.49827639054692,0.0
64,9.98287810108559,9.98287810108559,9.98287810108559,0.0
65,37.40713804234685,37.40713804234685,37.40713804234685,0.0
66,-8.932127817603792,-8.932127817603792,-8.932127817603792,0.0
67,-127.43158161005125,-127.43158161005125,-127.43158161005125,0.0
68,-11.767069326554555,-11.767069326554555,-11.767069326554555,0.0
69,37.40835504331655,37.40835504331655,37.40835504331655,0.0
70,-77.96958630099444,-77.96958630099444,-77.96958630099444,0.0
71,-62.836170871844146,-62.836170871844146,-62.836170871844146,0.0
72,-112.66069427774038,-112.66069427774038,-112.66069427774038,0.0
73,37.407972384997635,37.407972384997635,37.407972384997635,0.0
74,-235.70561804076974,-235.70561804076974,-235.70561804076974,0.0
75,30.907259391229168,30.907259391229168,30.907259391229168,0.0
76,-319.18048062835896,-319.18048062835896,-319.18048062835896,0.0
77,37.40558795540681,37.40558795540681,37.40558795540681,0.0
78,-364.5684174654135,-364.5684174654135,-364.5684174654135,0.0
79,37.405262242720134,37.405262242720134,37.405262242720134,0.0
80,28.909715173027102,28.909715173027102,28.909715173027102,0.0
