episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,724.0,1,234.0,0,0.0,0,0.0,-183.88432171448034
0,KL001,1,847.0,0,0.0,0,0.0,0,0.0,37.395375323467356
0,KL004,1,945.0,0,0.0,0,0.0,0,0.0,37.3782313433796
0,KL006,1,957.0,0,0.0,0,0.0,0,0.0,37.41716376478482
0,KL0010,1,1013.0,0,0.0,0,0.0,0,0.0,37.41716377502798
0,KL003,1,1057.0,1,234.0,0,0.0,0,0.0,-183.8874307576146
0,KL007,1,1164.0,0,0.0,0,0.0,0,0.0,37.352427371342046
0,KL005,1,2083.0,1,61.0,0,0.0,0,0.0,-20.45658915102767
0,KL008,1,2205.0,1,61.0,0,0.0,0,0.0,-20.491407526875534
0,KL002,1,2904.0,2,122.0,1,31.0,0,0.0,-93.79855249451056
1,KL006,1,680.0,0,0.0,0,0.0,0,0.0,37.41716377077908
1,KL004,1,742.0,0,0.0,0,0.0,0,0.0,37.41716380446519
1,KL005,1,955.0,0,0.0,0,0.0,0,0.0,37.4052377208517
1,KL009,1,1023.0,0,0.0,0,0.0,0,0.0,37.34646122495483
1,KL0010,1,1081.0,0,0.0,2,132.0,0,0.0,-28.61587524587484
1,KL001,1,1161.0,0,0.0,0,0.0,0,0.0,37.37153534606069
1,KL007,1,1316.0,0,0.0,0,0.0,0,0.0,37.33667807859487
1,KL003,1,1724.0,1,31.0,2,132.0,0,0.0,-58.068582922659175
1,KL002,1,1880.0,0,0.0,0,0.0,0,0.0,37.21905937317706
1,KL008,1,2533.0,1,31.0,0,0.0,0,0.0,7.835305940109276
2,KL006,1,626.0,1,55.0,0,0.0,0,0.0,-14.596214897126629
2,KL004,1,633.0,0,0.0,0,0.0,0,0.0,37.417163809410106
2,KL003,1,766.0,0,0.0,0,0.0,0,0.0,37.404247125897285
2,KL007,1,775.0,1,55.0,0,0.0,0,0.0,-14.596214883925278
2,KL009,1,807.0,1,307.0,0,0.0,0,0.0,-252.91205902898457
2,KL008,1,852.0,0,0.0,0,0.0,0,0.0,37.378495185530326
2,KL0010,1,858.0,2,315.0,0,0.0,0,0.0,-260.4776413897073
2,KL001,1,1047.0,1,8.0,0,0.0,0,0.0,29.851581438199226
2,KL005,1,1614.0,0,0.0,0,0.0,0,0.0,37.26654846484085
2,KL002,1,1635.0,0,0.0,0,0.0,0,0.0,37.271074568887535
3,KL003,1,686.0,1,32.0,0,0.0,0,0.0,7.154834371869452
3,KL002,1,833.0,1,59.0,0,0.0,0,0.0,-18.379006084737036
3,KL005,1,845.0,0,0.0,0,0.0,0,0.0,37.417163758089615
3,KL006,1,865.0,1,32.0,0,0.0,0,0.0,7.154834359050195
3,KL007,1,873.0,1,105.0,0,0.0,0,0.0,-61.88110457766336
3,KL008,1,930.0,2,139.0,0,0.0,0,0.0,-94.04553971879994
3,KL004,1,1052.0,2,93.0,0,0.0,0,0.0,-50.53273107349282
3,KL001,1,1082.0,0,0.0,1,89.0,0,0.0,-7.108615877042929
3,KL009,1,2097.0,2,398.0,0,0.0,0,0.0,-339.1968474022309
3,KL0010,0,3000.0,2,398.0,1,10.0,0,0.0,-381.7355250682544
4,KL003,1,697.0,0,0.0,0,0.0,0,0.0,37.417163809359366
4,KL007,1,718.0,0,0.0,0,0.0,0,0.0,37.41716380003808
4,KL005,1,748.0,0,0.0,0,0.0,0,0.0,37.40987882007642
4,KL008,1,751.0,0,0.0,0,0.0,0,0.0,37.41716379105884
4,KL009,1,914.0,0,0.0,0,0.0,0,0.0,37.37052893660918
4,KL002,1,961.0,0,0.0,0,0.0,0,0.0,37.37809201924301
4,KL006,1,983.0,1,85.0,0,0.0,0,0.0,-42.967148695728376
4,KL0010,1,1117.0,1,85.0,1,17.0,0,0.0,-51.50219749629563
4,KL001,1,1755.0,1,34.0,1,142.0,0,0.0,-65.87371047269612
4,KL004,1,2451.0,1,34.0,1,143.0,0,0.0,-66.51964261474106
