episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,724.0,1,234.0,0,0.0,0,0.0,-233.0793037334096
0,KL001,1,847.0,0,0.0,0,0.0,0,0.0,0.7893233086783393
0,KL004,1,945.0,0,0.0,0,0.0,0,0.0,0.6235551614237712
0,KL006,1,957.0,0,0.0,0,0.0,0,0.0,0.9999995653159975
0,KL0010,1,1013.0,0,0.0,0,0.0,0,0.0,0.9999996643589902
0,KL003,1,1057.0,1,234.0,0,0.0,0,0.0,-233.109365616208
0,KL007,1,1164.0,0,0.0,0,0.0,0,0.0,0.3740520346948759
0,KL005,1,2083.0,1,61.0,0,0.0,0,0.0,-61.800279762392954
0,KL008,1,2205.0,1,61.0,0,0.0,0,0.0,-62.13694473897186
0,KL002,1,2904.0,2,122.0,1,31.0,0,0.0,-155.29318014541764
1,KL006,1,680.0,0,0.0,0,0.0,0,0.0,0.9999996232756139
1,KL004,1,742.0,0,0.0,0,0.0,0,0.0,0.9999999489925372
1,KL005,1,955.0,0,0.0,0,0.0,0,0.0,0.8846845569720269
1,KL009,1,1023.0,0,0.0,0,0.0,0,0.0,0.3163643199520715
1,KL0010,1,1081.0,0,0.0,2,132.0,0,0.0,-131.3194604174973
1,KL001,1,1161.0,0,0.0,0,0.0,0,0.0,0.5588103901456656
1,KL007,1,1316.0,0,0.0,0,0.0,0,0.0,0.22176936369872702
1,KL003,1,1724.0,1,31.0,2,132.0,0,0.0,-163.63520368203908
1,KL002,1,1880.0,0,0.0,0,0.0,0,0.0,-0.9155065068859352
1,KL008,1,2533.0,1,31.0,0,0.0,0,0.0,-32.56451910750354
2,KL006,1,626.0,1,55.0,0,0.0,0,0.0,-54.00000030622781
2,KL004,1,633.0,0,0.0,0,0.0,0,0.0,0.9999999968058034
2,KL003,1,766.0,0,0.0,0,0.0,0,0.0,0.8751063207963025
2,KL007,1,775.0,1,55.0,0,0.0,0,0.0,-54.000000178581686
2,KL009,1,807.0,1,307.0,0,0.0,0,0.0,-306.0000005000773
2,KL008,1,852.0,0,0.0,0,0.0,0,0.0,0.6261062974068095
2,KL0010,1,858.0,2,315.0,0,0.0,0,0.0,-314.00000057710923
2,KL001,1,1047.0,1,8.0,0,0.0,0,0.0,-7.000000181639028
2,KL005,1,1614.0,0,0.0,0,0.0,0,0.0,-0.4563261590547355
2,KL002,1,1635.0,0,0.0,0,0.0,0,0.0,-0.41256246601143953
3,KL003,1,686.0,1,32.0,0,0.0,0,0.0,-31.00000025959353
3,KL002,1,833.0,1,59.0,0,0.0,0,0.0,-58.00000041483644
3,KL005,1,845.0,0,0.0,0,0.0,0,0.0,0.9999995005789322
3,KL006,1,865.0,1,32.0,0,0.0,0,0.0,-31.000000383545274
3,KL007,1,873.0,1,105.0,0,0.0,0,0.0,-104.00000007235528
3,KL008,1,930.0,2,139.0,0,0.0,0,0.0,-138.103558311138
3,KL004,1,1052.0,2,93.0,0,0.0,0,0.0,-92.00000031372905
3,KL001,1,1082.0,0,0.0,1,89.0,0,0.0,-88.24926830835132
3,KL009,1,2097.0,2,398.0,0,0.0,0,0.0,-399.1880295589099
3,KL0010,0,3000.0,2,398.0,1,10.0,0,0.0,-411.3629683256761
4,KL003,1,697.0,0,0.0,0,0.0,0,0.0,0.9999999963151464
4,KL007,1,718.0,0,0.0,0,0.0,0,0.0,0.9999999061859897
4,KL005,1,748.0,0,0.0,0,0.0,0,0.0,0.9295601585399476
4,KL008,1,751.0,0,0.0,0,0.0,0,0.0,0.9999998193641152
4,KL009,1,914.0,0,0.0,0,0.0,0,0.0,0.5490792408267589
4,KL002,1,961.0,0,0.0,0,0.0,0,0.0,0.6222080119361626
4,KL006,1,983.0,1,85.0,0,0.0,0,0.0,-84.00000007191716
4,KL0010,1,1117.0,1,85.0,1,17.0,0,0.0,-101.3388930654802
4,KL001,1,1755.0,1,34.0,1,142.0,0,0.0,-176.3261204493351
4,KL004,1,2451.0,1,34.0,1,143.0,0,0.0,-178.7371638994459
5,KL0010,1,689.0,2,103.0,0,0.0,0,0.0,-102.00000008885536
5,KL005,1,777.0,1,61.0,0,0.0,0,0.0,-60.000000062633845
5,KL006,1,782.0,3,182.0,0,0.0,0,0.0,-181.00000050642345
5,KL007,1,796.0,0,0.0,0,0.0,0,0.0,0.999999874175426
5,KL003,1,798.0,0,0.0,0,0.0,0,0.0,0.9999996314911015
5,KL009,1,885.0,0,0.0,0,0.0,0,0.0,0.9698440875989044
