episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,846.0,0,0.0,0,0.0,0,0.0,37.3469811424492
1,KL001,1,1157.0,2,81.0,0,0.0,0,0.0,-39.37576371831836
2,KL001,1,722.0,0,0.0,0,0.0,0,0.0,37.417163802762445
3,KL001,1,752.0,0,0.0,0,0.0,0,0.0,37.37818233943353
4,KL001,1,1220.0,1,41.0,0,0.0,0,0.0,-1.5299885086310638
5,KL001,1,1380.0,1,47.0,0,0.0,0,0.0,-7.297317272473634
6,KL001,1,825.0,0,0.0,0,0.0,0,0.0,37.39294273230068
7,KL001,1,1153.0,0,0.0,0,0.0,0,0.0,37.28331656026134
8,KL001,1,983.0,1,51.0,0,0.0,0,0.0,-10.858261178587078
9,KL001,1,894.0,0,0.0,0,0.0,0,0.0,37.360481339724565
10,KL001,1,1631.0,0,0.0,0,0.0,0,0.0,37.13619822363816
11,KL001,1,734.0,0,0.0,0,0.0,0,0.0,37.417163795250275
12,KL001,1,1132.0,0,0.0,0,0.0,0,0.0,37.312482181096684
13,KL001,1,646.0,0,0.0,0,0.0,0,0.0,37.40822904086038
14,KL001,1,838.0,0,0.0,0,0.0,0,0.0,37.36044826154796
15,KL001,1,685.0,0,0.0,0,0.0,0,0.0,37.39301581841535
16,KL001,1,796.0,1,30.0,0,0.0,0,0.0,8.997837914057985
17,KL001,1,940.0,0,0.0,0,0.0,0,0.0,37.32621421533992
18,KL001,1,1913.0,0,0.0,0,0.0,0,0.0,37.025286718137785
19,KL001,1,595.0,0,0.0,0,0.0,0,0.0,37.404560990472326
