episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,854.0,0,0.0,0,0.0,0,0.0,37.381637366217255
1,KL001,1,1160.0,2,86.0,0,0.0,0,0.0,-44.005801725531114
2,KL001,1,722.0,0,0.0,0,0.0,0,0.0,37.41716380266665
3,KL001,1,751.0,0,0.0,0,0.0,0,0.0,37.397520314083295
4,KL001,1,1217.0,1,41.0,0,0.0,0,0.0,-1.4434844170767605
5,KL001,1,1439.0,1,51.0,0,0.0,0,0.0,-10.961428951705912
6,KL001,1,825.0,0,0.0,0,0.0,0,0.0,37.4049190387576
7,KL001,1,1155.0,0,0.0,0,0.0,0,0.0,37.349741352692654
8,KL001,1,984.0,1,51.0,0,0.0,0,0.0,-10.835918439890754
9,KL001,1,894.0,0,0.0,0,0.0,0,0.0,37.38865276455638
10,KL001,1,1635.0,0,0.0,0,0.0,0,0.0,37.27579239114908
11,KL001,1,734.0,0,0.0,0,0.0,0,0.0,37.41716379506265
12,KL001,1,1163.0,0,0.0,0,0.0,0,0.0,37.359474568646455
13,KL001,1,646.0,0,0.0,0,0.0,0,0.0,37.41286977826589
14,KL001,1,844.0,0,0.0,0,0.0,0,0.0,37.38748984474501
15,KL001,1,686.0,0,0.0,0,0.0,0,0.0,37.40497681467803
16,KL001,1,816.0,1,30.0,0,0.0,0,0.0,9.018915421304627
17,KL001,1,944.0,0,0.0,0,0.0,0,0.0,37.37079700904837
18,KL001,1,1916.0,0,0.0,0,0.0,0,0.0,37.22085488604739
19,KL001,1,597.0,0,0.0,0,0.0,0,0.0,37.41028157888673
