episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,2583.0,0,0.0,0,0.0,0,0.0,37.13708523435436
1,KL001,1,1098.0,2,78.0,0,0.0,0,0.0,-36.43350025464617
2,KL001,1,723.0,0,0.0,0,0.0,0,0.0,37.41716380266115
3,KL001,1,752.0,0,0.0,0,0.0,0,0.0,37.39761685921508
4,KL001,1,1890.0,1,41.0,0,0.0,0,0.0,-1.5442068800250226
5,KL001,1,1659.0,0,0.0,0,0.0,0,0.0,37.24022575891
6,KL001,1,826.0,0,0.0,0,0.0,0,0.0,37.40509111612047
7,KL001,1,1155.0,0,0.0,0,0.0,0,0.0,37.34972032398181
8,KL001,1,983.0,1,52.0,0,0.0,0,0.0,-11.781583332610275
9,KL001,1,894.0,0,0.0,0,0.0,0,0.0,37.38870211205626
10,KL001,1,1628.0,0,0.0,0,0.0,0,0.0,37.27746015348149
11,KL001,1,735.0,0,0.0,0,0.0,0,0.0,37.41716379504759
12,KL001,1,2100.0,0,0.0,0,0.0,0,0.0,37.204400164794244
13,KL001,1,647.0,0,0.0,0,0.0,0,0.0,37.41264115320722
14,KL001,1,1009.0,0,0.0,0,0.0,0,0.0,37.36645531639652
15,KL001,1,689.0,0,0.0,0,0.0,0,0.0,37.404248163286745
16,KL001,1,827.0,1,30.0,0,0.0,0,0.0,9.017000748204197
17,KL001,1,1057.0,0,0.0,0,0.0,0,0.0,37.351410664053795
18,KL001,1,1863.0,0,0.0,0,0.0,0,0.0,37.22881576119427
19,KL001,1,596.0,0,0.0,0,0.0,0,0.0,37.41069910901879
