episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,650.0,1,25.0,0,0.0,0,0.0,13.76717435651124
1,1,659.0,0,0.0,0,0.0,0,0.0,37.41276386954438
2,1,700.0,1,89.0,0,0.0,0,0.0,-46.758726585497804
3,1,768.0,0,0.0,0,0.0,0,0.0,37.40735969448575
4,1,865.0,2,146.0,0,0.0,0,0.0,-100.6641649059838
5,1,918.0,0,0.0,0,0.0,0,0.0,37.284347633285364
6,1,920.0,2,115.0,0,0.0,0,0.0,-71.43349439025468
7,1,1086.0,2,114.0,0,0.0,0,0.0,-70.46273707422856
8,1,1136.0,3,139.0,0,0.0,0,0.0,-94.13774580901615
9,1,1230.0,3,106.0,0,0.0,0,0.0,-62.91120980630063
10,1,684.0,4,222.0,0,0.0,0,0.0,-172.53077631526583
11,1,687.0,2,99.0,0,0.0,0,0.0,-56.20968067317668
12,1,690.0,5,153.0,0,0.0,0,0.0,-107.28578135823159
13,1,698.0,4,181.0,0,0.0,0,0.0,-133.75874525992643
14,1,801.0,3,134.0,0,0.0,0,0.0,-89.31134095639797
15,1,825.0,3,181.0,0,0.0,0,0.0,-133.7573060230586
16,1,837.0,5,421.0,0,0.0,0,0.0,-360.7342774397014
17,1,873.0,3,315.0,0,0.0,0,0.0,-260.4901285974936
18,1,892.0,0,0.0,0,0.0,0,0.0,37.30831149802008
19,1,1034.0,3,154.0,0,0.0,0,0.0,-108.23388757176141
