episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,787.0,0,0.0,0,0.0,0,0.0,37.406040152546446
1,1,791.0,1,57.0,0,0.0,0,0.0,-16.502379403312958
2,1,848.0,0,0.0,0,0.0,0,0.0,37.40071061371798
3,1,961.0,0,0.0,0,0.0,0,0.0,37.39883094944823
4,1,1091.0,0,0.0,0,0.0,0,0.0,37.39682444149653
5,1,1133.0,0,0.0,0,0.0,0,0.0,37.27170433535348
6,1,1144.0,2,132.0,0,0.0,0,0.0,-87.53676964133888
7,1,1612.0,2,173.0,0,0.0,0,0.0,-126.27444361694002
8,1,1639.0,2,126.0,0,0.0,0,0.0,-81.87183603201004
9,1,1743.0,3,224.0,0,0.0,0,0.0,-174.5389441301746
10,1,799.0,4,315.0,0,0.0,0,0.0,-260.4886277155601
11,1,800.0,1,118.0,0,0.0,0,0.0,-74.18691237236604
12,1,828.0,2,141.0,0,0.0,0,0.0,-95.9418778031781
13,1,830.0,4,272.0,0,0.0,0,0.0,-219.82879417157497
14,1,967.0,3,214.0,0,0.0,0,0.0,-164.97990192492878
15,1,1000.0,2,119.0,0,0.0,0,0.0,-75.13517160030976
16,1,1060.0,0,0.0,0,0.0,0,0.0,37.313455028207
17,1,1081.0,3,477.0,0,0.0,0,0.0,-413.69693791865745
18,1,1159.0,1,336.0,0,0.0,0,0.0,-280.35167202747243
19,1,1414.0,4,258.0,0,0.0,0,0.0,-206.58727316894985
