episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL008,1,649.0,0,0.0,0,0.0,0,0.0,37.414152157243336
0,KL006,1,654.0,0,0.0,0,0.0,0,0.0,37.39594989512112
0,KL004,1,712.0,0,0.0,0,0.0,0,0.0,37.41118525426391
0,KL009,1,771.0,0,0.0,0,0.0,0,0.0,37.33922228355065
0,KL005,1,784.0,0,0.0,0,0.0,0,0.0,37.41716377556122
0,KL0010,1,895.0,0,0.0,0,0.0,0,0.0,37.34047724395586
0,KL002,1,1001.0,0,0.0,0,0.0,0,0.0,37.3988259025048
0,KL003,1,1011.0,0,0.0,0,0.0,0,0.0,37.33629677986947
0,KL007,1,1051.0,0,0.0,0,0.0,0,0.0,37.34509824464326
0,KL001,1,1518.0,0,0.0,0,0.0,0,0.0,37.1524653017674
1,KL008,1,580.0,0,0.0,0,0.0,0,0.0,37.417163765901726
1,KL006,1,740.0,0,0.0,0,0.0,0,0.0,37.35783909306795
1,KL0010,1,831.0,0,0.0,0,0.0,0,0.0,37.4171637413938
1,KL003,1,870.0,0,0.0,0,0.0,0,0.0,37.4002140995064
1,KL002,1,911.0,0,0.0,0,0.0,0,0.0,37.40956827312749
1,KL004,1,1062.0,0,0.0,0,0.0,0,0.0,37.29247419627878
1,KL001,1,1162.0,0,0.0,0,0.0,0,0.0,37.250413204822856
1,KL005,1,1442.0,0,0.0,0,0.0,0,0.0,37.25738059944056
1,KL009,1,1488.0,0,0.0,0,0.0,0,0.0,37.16248251459257
1,KL007,1,1594.0,0,0.0,0,0.0,0,0.0,37.15738536455105
2,KL001,1,696.0,0,0.0,0,0.0,0,0.0,37.41716380707817
2,KL003,1,724.0,0,0.0,0,0.0,0,0.0,37.40089580683278
2,KL0010,1,807.0,0,0.0,0,0.0,0,0.0,37.417163808801384
2,KL008,1,838.0,0,0.0,0,0.0,0,0.0,37.39285148073611
2,KL006,1,884.0,0,0.0,0,0.0,0,0.0,37.41415652356548
2,KL007,1,890.0,0,0.0,0,0.0,0,0.0,37.389398825681624
2,KL005,1,969.0,0,0.0,0,0.0,0,0.0,37.31449224676056
2,KL004,1,979.0,0,0.0,0,0.0,0,0.0,37.41716379342461
2,KL002,1,1004.0,0,0.0,0,0.0,0,0.0,37.380229400158385
2,KL009,1,1433.0,0,0.0,0,0.0,0,0.0,37.18233549191231
3,KL008,1,621.0,0,0.0,0,0.0,0,0.0,37.40864071026034
3,KL007,1,835.0,1,54.0,0,0.0,0,0.0,-13.727648646711522
3,KL004,1,1012.0,0,0.0,0,0.0,0,0.0,37.30727769671849
3,KL009,1,1012.0,1,54.0,0,0.0,0,0.0,-13.806380659826026
3,KL005,1,1361.0,0,0.0,0,0.0,0,0.0,37.23690390668191
3,KL002,1,1445.0,0,0.0,0,0.0,0,0.0,37.21744176417319
3,KL003,1,1883.0,0,0.0,0,0.0,0,0.0,37.002739007435416
3,KL006,1,2110.0,0,0.0,0,0.0,0,0.0,37.017776288721954
3,KL0010,1,2152.0,0,0.0,0,0.0,0,0.0,37.00001545538041
3,KL001,1,2730.0,0,0.0,0,0.0,0,0.0,36.79492450879937
4,KL009,1,594.0,0,0.0,0,0.0,0,0.0,37.41716380698588
4,KL007,1,632.0,0,0.0,0,0.0,0,0.0,37.409854253432684
4,KL005,1,636.0,0,0.0,0,0.0,0,0.0,37.391134023751064
4,KL001,1,669.0,0,0.0,0,0.0,0,0.0,37.36593363349061
4,KL003,1,775.0,0,0.0,0,0.0,0,0.0,37.41716380152635
4,KL006,1,823.0,0,0.0,0,0.0,0,0.0,37.40301948344546
4,KL008,1,858.0,0,0.0,0,0.0,0,0.0,37.376628902874145
4,KL002,1,879.0,0,0.0,0,0.0,0,0.0,37.34386631507081
4,KL0010,1,1002.0,0,0.0,0,0.0,0,0.0,37.333359304001554
4,KL004,1,1025.0,0,0.0,0,0.0,0,0.0,37.37915174822598
5,KL005,1,685.0,0,0.0,0,0.0,0,0.0,37.40812232829478
5,KL007,1,752.0,0,0.0,0,0.0,0,0.0,37.415323399167704
5,KL002,1,829.0,0,0.0,0,0.0,0,0.0,37.40802976173726
5,KL0010,1,831.0,0,0.0,0,0.0,0,0.0,37.389785147151066
5,KL006,1,865.0,0,0.0,0,0.0,0,0.0,37.41716380405237
5,KL009,1,867.0,0,0.0,0,0.0,0,0.0,37.414893454478786
5,KL008,1,915.0,0,0.0,0,0.0,0,0.0,37.39508249836136
5,KL001,1,949.0,0,0.0,0,0.0,0,0.0,37.38818042023162
5,KL003,1,1186.0,0,0.0,0,0.0,0,0.0,37.29222459549332
5,KL004,1,2046.0,0,0.0,0,0.0,0,0.0,37.01041377683877
6,KL003,1,682.0,0,0.0,0,0.0,0,0.0,37.40024149034177
6,KL007,1,702.0,0,0.0,0,0.0,0,0.0,37.376363447733844
6,KL009,1,703.0,0,0.0,0,0.0,0,0.0,37.35925281790813
6,KL005,1,799.0,0,0.0,0,0.0,0,0.0,37.40426698138442
6,KL0010,1,888.0,0,0.0,0,0.0,0,0.0,37.330016995172606
6,KL002,1,911.0,0,0.0,0,0.0,0,0.0,37.36927622917089
6,KL004,1,941.0,0,0.0,0,0.0,0,0.0,37.31025302269875
6,KL001,1,955.0,0,0.0,0,0.0,0,0.0,37.32669583487432
6,KL006,1,993.0,0,0.0,0,0.0,0,0.0,37.3804279014582
6,KL008,1,995.0,0,0.0,0,0.0,0,0.0,37.38955109711647
7,KL008,1,630.0,0,0.0,0,0.0,0,0.0,37.41716380907154
7,KL007,1,679.0,0,0.0,0,0.0,0,0.0,37.41716378112445
7,KL006,1,721.0,0,0.0,0,0.0,0,0.0,37.4061843923237
7,KL003,1,752.0,0,0.0,0,0.0,0,0.0,37.36856837661774
7,KL009,1,784.0,0,0.0,0,0.0,0,0.0,37.40720543744608
7,KL0010,1,896.0,0,0.0,0,0.0,0,0.0,37.35660466177538
7,KL005,1,936.0,0,0.0,0,0.0,0,0.0,37.337869086432875
7,KL004,1,1266.0,0,0.0,0,0.0,0,0.0,37.19988944057089
7,KL001,1,1343.0,0,0.0,0,0.0,0,0.0,37.160889327252626
7,KL002,1,1672.0,0,0.0,0,0.0,0,0.0,37.12996883472521
8,KL004,1,578.0,0,0.0,0,0.0,0,0.0,37.4171638019837
8,KL008,1,592.0,0,0.0,0,0.0,0,0.0,37.40897528158077
8,KL0010,1,672.0,0,0.0,0,0.0,0,0.0,37.41716377546325
8,KL009,1,724.0,0,0.0,0,0.0,0,0.0,37.41716378099618
8,KL002,1,821.0,0,0.0,0,0.0,0,0.0,37.40125382503078
8,KL005,1,1139.0,0,0.0,0,0.0,0,0.0,37.28143680471246
8,KL003,1,1877.0,0,0.0,0,0.0,0,0.0,37.08378341500671
8,KL001,1,2301.0,0,0.0,1,3.0,0,0.0,35.420127038300386
8,KL006,1,2766.0,0,0.0,0,0.0,0,0.0,36.81146456210526
8,KL007,0,3000.0,0,0.0,1,10.0,0,0.0,-5.9083981712700675
9,KL004,1,590.0,0,0.0,0,0.0,0,0.0,37.41716377883565
9,KL008,1,610.0,0,0.0,0,0.0,0,0.0,37.41716377005576
9,KL001,1,673.0,0,0.0,0,0.0,0,0.0,37.41716380627699
9,KL007,1,694.0,0,0.0,0,0.0,0,0.0,37.3798407604327
9,KL0010,1,720.0,0,0.0,0,0.0,0,0.0,37.3916378666573
9,KL002,1,737.0,0,0.0,0,0.0,0,0.0,37.4164494037653
9,KL005,1,824.0,0,0.0,0,0.0,0,0.0,37.41716376607593
9,KL006,1,865.0,0,0.0,0,0.0,0,0.0,37.41716380955861
9,KL009,1,887.0,0,0.0,0,0.0,0,0.0,37.41716376691557
9,KL003,1,1608.0,0,0.0,0,0.0,0,0.0,37.09631849588939
10,KL002,1,585.0,0,0.0,0,0.0,0,0.0,37.41090210920063
10,KL006,1,605.0,0,0.0,0,0.0,0,0.0,37.417163802560076
10,KL007,1,605.0,0,0.0,0,0.0,0,0.0,37.41716378405543
10,KL005,1,757.0,0,0.0,0,0.0,0,0.0,37.38948106440567
10,KL0010,1,819.0,0,0.0,0,0.0,0,0.0,37.41716377289142
