episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,773.0,0,0.0,0,0.0,0,0.0,37.40032808511901
1,KL001,1,1568.0,0,0.0,0,0.0,0,0.0,37.280765575200064
2,KL001,1,1098.0,0,0.0,0,0.0,0,0.0,37.34757123802563
3,KL001,1,851.0,1,42.0,0,0.0,0,0.0,-2.326144054298453
4,KL001,1,1007.0,0,0.0,0,0.0,0,0.0,37.3533097231406
5,KL001,1,642.0,0,0.0,0,0.0,0,0.0,37.41438523251235
6,KL001,0,3000.0,0,0.0,1,56.0,0,0.0,-28.466471858155078
7,KL001,0,3000.0,1,202.0,1,23.0,0,0.0,-203.05896492392833
8,KL001,1,2011.0,0,0.0,0,0.0,0,0.0,37.205309161696846
9,KL001,1,2512.0,1,27.0,0,0.0,0,0.0,11.618380110601077
10,KL001,1,944.0,0,0.0,0,0.0,0,0.0,37.38646994749903
11,KL001,1,1144.0,0,0.0,0,0.0,0,0.0,37.34367782924693
12,KL001,1,1294.0,1,75.0,0,0.0,0,0.0,-33.58429908885282
13,KL001,1,979.0,0,0.0,0,0.0,0,0.0,37.37514390915261
14,KL001,1,989.0,2,56.0,0,0.0,0,0.0,-15.623354425554894
15,KL001,1,582.0,0,0.0,0,0.0,0,0.0,37.41716380638438
16,KL001,1,1554.0,0,0.0,0,0.0,0,0.0,37.244950918204346
17,KL001,1,864.0,0,0.0,0,0.0,0,0.0,37.37258504289359
18,KL001,1,1161.0,1,41.0,0,0.0,0,0.0,-1.4307399005587342
19,KL001,1,1743.0,0,0.0,0,0.0,0,0.0,37.240847251639025
20,KL001,1,751.0,0,0.0,0,0.0,0,0.0,37.39050782157675
21,KL001,1,997.0,1,18.0,0,0.0,0,0.0,20.371425526525265
22,KL001,1,1116.0,0,0.0,0,0.0,0,0.0,37.3678192642745
23,KL001,1,1488.0,0,0.0,0,0.0,0,0.0,37.28991131124297
24,KL001,1,1874.0,0,0.0,0,0.0,0,0.0,37.26486736723984
25,KL001,1,633.0,0,0.0,0,0.0,0,0.0,37.409979376136775
26,KL001,1,1282.0,0,0.0,0,0.0,0,0.0,37.30852966718154
27,KL001,1,865.0,0,0.0,0,0.0,0,0.0,37.375886309899116
28,KL001,1,1207.0,1,55.0,0,0.0,0,0.0,-14.65476253724242
29,KL001,1,978.0,0,0.0,0,0.0,0,0.0,37.376421379570985
30,KL001,1,749.0,0,0.0,0,0.0,0,0.0,37.408081891247356
31,KL001,1,728.0,0,0.0,0,0.0,0,0.0,37.40471115656284
32,KL001,1,788.0,0,0.0,0,0.0,0,0.0,37.37063850287635
33,KL001,1,2932.0,1,26.0,0,0.0,0,0.0,12.482327008485665
34,KL001,1,2282.0,1,37.0,0,0.0,0,0.0,2.2181822561492766
35,KL001,1,1932.0,0,0.0,0,0.0,0,0.0,37.24344514403085
36,KL001,1,849.0,0,0.0,0,0.0,0,0.0,37.365319329495556
37,KL001,1,700.0,0,0.0,0,0.0,0,0.0,37.39101342824979
38,KL001,1,752.0,1,7.0,0,0.0,0,0.0,30.79625643172828
39,KL001,1,704.0,0,0.0,0,0.0,0,0.0,37.39960488063969
40,KL001,1,988.0,0,0.0,0,0.0,0,0.0,37.352529009086375
41,KL001,1,712.0,0,0.0,0,0.0,0,0.0,37.41295075205453
42,KL001,1,588.0,0,0.0,0,0.0,0,0.0,37.41012991209397
43,KL001,1,829.0,1,68.0,0,0.0,0,0.0,-26.915530206573628
44,KL001,1,1424.0,0,0.0,0,0.0,0,0.0,37.30446295874699
45,KL001,1,985.0,1,50.0,0,0.0,0,0.0,-9.931802812029524
46,KL001,1,859.0,0,0.0,0,0.0,0,0.0,37.40124592501014
47,KL001,1,1360.0,0,0.0,0,0.0,0,0.0,37.29985005762756
48,KL001,1,886.0,0,0.0,0,0.0,0,0.0,37.40780144239949
49,KL001,1,1050.0,1,16.0,0,0.0,0,0.0,22.250293071908082
50,KL001,1,1274.0,0,0.0,0,0.0,0,0.0,37.35824705195371
51,KL001,1,886.0,0,0.0,0,0.0,0,0.0,37.40090759454742
52,KL001,1,1705.0,1,129.0,0,0.0,0,0.0,-84.71746343178458
53,KL001,1,1245.0,0,0.0,0,0.0,0,0.0,37.32932271786453
54,KL001,1,1311.0,0,0.0,0,0.0,0,0.0,37.32198700208905
55,KL001,1,1053.0,0,0.0,0,0.0,0,0.0,37.3618476266358
56,KL001,1,1320.0,1,48.0,0,0.0,0,0.0,-8.063848059213825
57,KL001,1,1030.0,0,0.0,0,0.0,0,0.0,37.35594708544954
58,KL001,1,1217.0,1,57.0,0,0.0,0,0.0,-16.585755627162428
59,KL001,1,866.0,0,0.0,0,0.0,0,0.0,37.38652059666064
60,KL001,1,2412.0,2,279.0,0,0.0,1,8.0,-227.7831040495494
61,KL001,1,843.0,0,0.0,0,0.0,0,0.0,37.37796880933725
62,KL001,1,1171.0,0,0.0,0,0.0,0,0.0,37.356907782696226
63,KL001,1,975.0,0,0.0,0,0.0,0,0.0,37.39929927818329
64,KL001,1,2180.0,0,0.0,0,0.0,0,0.0,37.20859889228636
65,KL001,1,721.0,0,0.0,0,0.0,0,0.0,37.4156786251354
66,KL001,1,1215.0,0,0.0,0,0.0,0,0.0,37.3356757561521
67,KL001,1,2294.0,1,56.0,0,0.0,0,0.0,-15.797519238344265
68,KL001,1,1046.0,0,0.0,0,0.0,0,0.0,37.385062601066004
69,KL001,1,704.0,1,39.0,0,0.0,0,0.0,0.5033415351281363
70,KL001,1,1024.0,0,0.0,0,0.0,0,0.0,37.39252309451597
71,KL001,1,723.0,0,0.0,0,0.0,0,0.0,37.41716380488483
72,KL001,1,831.0,0,0.0,0,0.0,0,0.0,37.38066737378576
73,KL001,1,783.0,0,0.0,0,0.0,0,0.0,37.39200973808417
74,KL001,1,628.0,0,0.0,0,0.0,0,0.0,37.417163782984645
75,KL001,1,964.0,0,0.0,0,0.0,0,0.0,37.39511816912985
76,KL001,1,1062.0,0,0.0,0,0.0,0,0.0,37.38603495574857
77,KL001,1,1166.0,0,0.0,0,0.0,0,0.0,37.37010611182169
78,KL001,1,987.0,0,0.0,0,0.0,0,0.0,37.399779417318484
79,KL001,1,1159.0,1,54.0,0,0.0,0,0.0,-13.718593697564188
