episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,858.0,0,0.0,0,0.0,0,0.0,249.97552675146616
1,KL001,1,1559.0,0,0.0,0,0.0,0,0.0,249.86570235221114
2,KL001,1,1156.0,0,0.0,0,0.0,0,0.0,249.91544088707195
3,KL001,1,1700.0,1,42.0,0,0.0,0,0.0,210.12866890757422
4,KL001,1,1004.0,0,0.0,0,0.0,0,0.0,249.92894241011885
5,KL001,1,644.0,0,0.0,0,0.0,0,0.0,249.9943818777801
6,KL001,1,841.0,1,14.0,0,0.0,0,0.0,236.73663218682532
7,KL001,1,1994.0,2,130.0,0,0.0,0,0.0,126.85489919527866
8,KL001,1,2024.0,0,0.0,0,0.0,0,0.0,249.77958372402037
9,KL001,1,2517.0,1,26.0,0,0.0,0,0.0,225.13335748352114
10,KL001,1,943.0,0,0.0,0,0.0,0,0.0,249.96678489984495
11,KL001,1,1091.0,0,0.0,0,0.0,0,0.0,249.933801727164
12,KL001,1,1296.0,1,75.0,0,0.0,0,0.0,178.99241437245138
13,KL001,1,1051.0,0,0.0,0,0.0,0,0.0,249.9464409977626
14,KL001,1,1694.0,1,22.0,0,0.0,0,0.0,229.0043018699754
15,KL001,1,590.0,0,0.0,0,0.0,0,0.0,249.99095550165822
16,KL001,1,1612.0,0,0.0,0,0.0,0,0.0,249.83650494237213
17,KL001,1,700.0,1,10.0,0,0.0,0,0.0,240.51715305318234
18,KL001,1,1180.0,1,41.0,0,0.0,0,0.0,211.1428238329196
19,KL001,1,2328.0,0,0.0,0,0.0,0,0.0,249.72277137725197
20,KL001,1,762.0,0,0.0,0,0.0,0,0.0,249.96866964781077
21,KL001,1,1004.0,1,21.0,0,0.0,0,0.0,230.1115815583702
22,KL001,1,1250.0,0,0.0,0,0.0,0,0.0,249.93583727663702
23,KL001,1,897.0,0,0.0,0,0.0,0,0.0,249.95786060903737
24,KL001,1,1947.0,0,0.0,0,0.0,0,0.0,249.82937383984196
25,KL001,1,784.0,0,0.0,0,0.0,0,0.0,249.97904722577053
26,KL001,1,1449.0,0,0.0,0,0.0,0,0.0,249.86766258323382
27,KL001,1,873.0,0,0.0,0,0.0,0,0.0,249.9512539317204
28,KL001,1,1693.0,1,55.0,0,0.0,0,0.0,197.84128020934702
29,KL001,1,1000.0,0,0.0,0,0.0,0,0.0,249.95274579584637
30,KL001,1,736.0,0,0.0,0,0.0,0,0.0,249.9879784228979
31,KL001,1,861.0,0,0.0,0,0.0,0,0.0,249.97876572965419
32,KL001,1,1168.0,0,0.0,0,0.0,0,0.0,249.9225763692044
33,KL001,1,2922.0,1,26.0,0,0.0,0,0.0,225.06485200522232
34,KL001,1,2376.0,0,0.0,0,0.0,0,0.0,249.76353498191446
35,KL001,1,1953.0,0,0.0,0,0.0,0,0.0,249.81357949979028
36,KL001,1,1330.0,0,0.0,0,0.0,0,0.0,249.92165530796586
37,KL001,1,741.0,0,0.0,0,0.0,0,0.0,249.96858465789433
38,KL001,1,819.0,1,7.0,0,0.0,0,0.0,243.35794084498082
39,KL001,1,699.0,0,0.0,0,0.0,0,0.0,249.97718069995923
40,KL001,1,990.0,0,0.0,0,0.0,0,0.0,249.9320425089613
41,KL001,1,745.0,0,0.0,0,0.0,0,0.0,249.97987187341548
42,KL001,1,663.0,0,0.0,0,0.0,0,0.0,249.9855491802015
43,KL001,1,758.0,0,0.0,0,0.0,0,0.0,249.98334952260623
44,KL001,1,1356.0,0,0.0,0,0.0,0,0.0,249.8895681540122
45,KL001,1,1161.0,1,51.0,0,0.0,0,0.0,201.6919214339564
46,KL001,1,879.0,0,0.0,0,0.0,0,0.0,249.9756277327518
47,KL001,1,866.0,0,0.0,0,0.0,0,0.0,249.9748493926158
48,KL001,1,932.0,0,0.0,0,0.0,0,0.0,249.9797934188557
49,KL001,1,1290.0,1,36.0,0,0.0,0,0.0,215.90919065121298
50,KL001,1,1570.0,0,0.0,0,0.0,0,0.0,249.93673662385288
51,KL001,1,941.0,0,0.0,0,0.0,0,0.0,249.96841231378556
52,KL001,1,1740.0,1,127.0,0,0.0,0,0.0,129.74822378762804
53,KL001,1,1246.0,0,0.0,0,0.0,0,0.0,249.903462607542
54,KL001,1,1543.0,0,0.0,0,0.0,0,0.0,249.87975571526096
55,KL001,1,1623.0,2,127.0,1,8.0,0,0.0,125.73244256659305
56,KL001,1,863.0,0,0.0,0,0.0,0,0.0,249.97479790766403
57,KL001,1,1120.0,0,0.0,0,0.0,0,0.0,249.9276353768147
58,KL001,1,1201.0,1,57.0,0,0.0,0,0.0,195.99570056556013
59,KL001,1,901.0,0,0.0,0,0.0,0,0.0,249.959512366706
60,KL001,1,976.0,1,123.0,0,0.0,0,0.0,133.62067707176368
61,KL001,1,845.0,0,0.0,0,0.0,0,0.0,249.95795782303583
62,KL001,1,1184.0,0,0.0,0,0.0,0,0.0,249.93283087418774
63,KL001,1,986.0,0,0.0,0,0.0,0,0.0,249.9801163162344
64,KL001,1,2231.0,0,0.0,0,0.0,0,0.0,249.76439948284948
65,KL001,1,743.0,0,0.0,0,0.0,0,0.0,249.9799961506151
66,KL001,1,1626.0,0,0.0,0,0.0,0,0.0,249.85926514540765
67,KL001,1,2295.0,1,56.0,0,0.0,0,0.0,196.76924446252534
68,KL001,1,1051.0,0,0.0,0,0.0,0,0.0,249.96311015820567
69,KL001,1,705.0,1,41.0,0,0.0,0,0.0,211.19386468625055
