episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL007,1.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40778732770697
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL006,1.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,37.415176889879284
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL009,1.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38606927616704
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL008,1.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40873443244534
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL003,1.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,37.322716371658814
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL0010,1.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35043809568834
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL005,1.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,37.276853487161304
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL004,1.0,1131.0,0.0,0.0,0.0,0.0,0.0,0.0,37.241442943893865
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL001,1.0,1463.0,0.0,0.0,0.0,0.0,0.0,0.0,37.146224662759266
0,a07123a5af16d04392aa69616acd90414218397d9e3f0b4c8da6312ddf325e7b,KL002,1.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,37.185559138936455
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL005,1.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716378611487
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL002,1.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41202773615423
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL001,1.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716377776217
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL006,1.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163766528596
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL003,1.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,37.372220942735225
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL007,1.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716377821984
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL009,1.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40710684224556
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL0010,1.0,839.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163741082575
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL008,1.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30942973752666
1,3d4beb9c57dd75b620b22483c8046003f8f2edcd37e1fe47cf13ed3cff334a72,KL004,1.0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,37.205744971541
2,2ca40acea1bb4978404a2b276c0431f49b84841ef36f15ecb27e86efcb6aacd8,KL007,1.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4171637990574
2,2ca40acea1bb4978404a2b276c0431f49b84841ef36f15ecb27e86efcb6aacd8,KL001,1.0,835.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41437886245427
2,2ca40acea1bb4978404a2b276c0431f49b84841ef36f15ecb27e86efcb6aacd8,KL002,1.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,37.415538122578766
2,2ca40acea1bb4978404a2b276c0431f49b84841ef36f15ecb27e86efcb6aacd8,KL006,1.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163805325565
2,2ca40acea1bb4978404a2b276c0431f49b84841ef36f15ecb27e86efcb6aacd8,KL009,1.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36523596092575
