episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,37.353989913350894
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,37.280983803839476
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1104.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32647598278013
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25347865059161
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,37.22250511021164
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17721900243685
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,37.183420020720945
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,1363.0,1.0,32.0,0.0,0.0,0.0,0.0,6.889367021854422
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1677.0,0.0,0.0,0.0,0.0,0.0,0.0,37.142549454247785
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1703.0,1.0,32.0,0.0,0.0,0.0,0.0,6.854607006968596
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27192423076848
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,37.266369187688554
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24274973651454
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17448470172581
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,1351.0,0.0,0.0,0.0,0.0,0.0,0.0,37.148403027531124
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,1360.0,1.0,71.0,0.0,0.0,0.0,0.0,-30.010686890753334
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,1402.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.603878335534844
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,1474.0,2.0,397.0,0.0,0.0,0.0,0.0,-338.34112735884634
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,1757.0,1.0,326.0,0.0,0.0,0.0,0.0,-271.2396677900567
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,1826.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.70115707596065
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL006,1.0,708.0,1.0,38.0,0.0,0.0,0.0,0.0,1.4077986488111591
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL004,1.0,1296.0,1.0,64.0,0.0,0.0,0.0,0.0,-23.369764048021295
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL002,1.0,1330.0,2.0,90.0,0.0,0.0,0.0,0.0,-47.97081970363989
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL007,1.0,1449.0,3.0,103.0,0.0,0.0,0.0,0.0,-60.30156325397845
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL0010,1.0,1496.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.70986002740966
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL005,1.0,2092.0,2.0,121.0,0.0,0.0,0.0,0.0,-77.41669487660133
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL003,1.0,2526.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86728820343813
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL009,1.0,2576.0,1.0,19.0,0.0,0.0,0.0,0.0,18.83281402843907
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL008,1.0,2870.0,1.0,19.0,1.0,4.0,0.0,0.0,16.792276831804177
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL001,0.0,3000.0,4.0,279.0,0.0,0.0,0.0,0.0,-264.8568678234395
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL003,1.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3062751063905
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL006,1.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30621236301828
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL0010,1.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,37.19560144371958
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL008,1.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,37.21111027404091
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL005,1.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,37.18843438276422
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL009,1.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,37.131952640820366
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL002,1.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,37.15980269438213
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL007,1.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,37.166222735931086
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL001,1.0,1655.0,0.0,0.0,0.0,0.0,0.0,0.0,37.071649905767
3,0a5997db5ebb5494ffb5d848d6af1c6e5c584da3cf9000a49ec350f57d26398e,KL004,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7577662157324099
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL004,1.0,671.0,0.0,0.0,1.0,8.0,0.0,0.0,33.39648996720899
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL003,1.0,857.0,1.0,47.0,0.0,0.0,0.0,0.0,-7.101271764171045
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL001,1.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,37.343526012998815
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL006,1.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31485385078278
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL0010,1.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,37.296677179570665
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL008,1.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,37.281007742280686
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL007,1.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,37.277996870894576
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL005,1.0,1491.0,0.0,0.0,0.0,0.0,0.0,0.0,37.20120145013844
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL002,0.0,3000.0,1.0,2159.0,0.0,0.0,0.0,0.0,-2042.8467397919492
4,d46ac064805525f914d87a00b0dd1b99da09e909b7cd766db7ee9c83f10827d6,KL009,0.0,3000.0,2.0,2206.0,0.0,0.0,0.0,0.0,-2087.0761991226864
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL003,1.0,1337.0,2.0,101.0,0.0,0.0,0.0,0.0,-58.32470815539017
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL006,1.0,1614.0,2.0,390.0,0.0,0.0,0.0,0.0,-331.7226830898295
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL008,1.0,1767.0,2.0,57.0,0.0,0.0,0.0,0.0,-16.868638737656383
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL009,1.0,1772.0,1.0,31.0,0.0,0.0,0.0,0.0,7.755099202405731
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL007,1.0,1872.0,2.0,332.0,0.0,0.0,0.0,0.0,-276.90277378666605
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL002,1.0,1948.0,3.0,376.0,0.0,0.0,0.0,0.0,-318.6248560445131
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL005,1.0,2217.0,2.0,416.0,1.0,56.0,0.0,0.0,-384.5510295098669
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL001,1.0,2248.0,1.0,18.0,1.0,146.0,0.0,0.0,-53.088008794018506
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL0010,1.0,2526.0,1.0,26.0,1.0,151.0,0.0,0.0,-63.21633405533175
5,e0daf81b610b3b33dc5672fc371af5dd35f6ccbdd34756d95f2d4c6bda18ec00,KL004,0.0,3000.0,2.0,101.0,0.0,0.0,0.0,0.0,-96.26309841247767
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL001,1.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31807359027236
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL005,1.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,37.26903012171182
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL008,1.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,37.199784862658355
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL009,1.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1626031113853
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL007,1.0,1410.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.366179427739034
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL0010,1.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,37.13001410327579
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL006,1.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,37.10711254464991
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL004,1.0,1812.0,4.0,240.0,0.0,0.0,0.0,0.0,-189.90361955118289
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL002,1.0,1854.0,5.0,285.0,0.0,0.0,0.0,0.0,-232.53877217719645
6,8d915d2753481bf9c39320e6a985ac23ab4477110d38da24ae410f875d250876,KL003,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9399479022392454
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL0010,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,37.242862516071604
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL007,1.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25298085194448
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL005,1.0,1318.0,0.0,0.0,0.0,0.0,0.0,0.0,37.236750555163
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL009,1.0,1386.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14854509044004
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL008,1.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,37.165414315792496
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL006,1.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,37.201331343385824
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL004,1.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,37.11207129855749
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL002,1.0,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,37.057392394341605
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL001,1.0,2825.0,1.0,24.0,0.0,0.0,0.0,0.0,13.962856042401562
7,b03e4b74439428fe825d98c3965ed8c90b492a0bb5769a86382ed1e73f59a1f9,KL003,0.0,3000.0,1.0,24.0,0.0,0.0,0.0,0.0,-23.5948277938076
8,665ded0efdf7ac7c9ea693633328eda67f72339beeb54e04c5a817bca4ecbfc0,KL001,1.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,37.087430167250574
