time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl
2560,0.1790703390467025,1,116,162.5,22,,,,,,,,,,,
5120,0.10292859968399035,1,175,169.47368421052633,14,-0.016097508571110666,0.04999874532222748,3e-05,0.0151690524071455,0.13301265984773636,0.1287943720817566,0.2,0.06284946590662002,10,3.1535320186614992,0.012152285
7680,-0.03858984817036948,1,149,176.20833333333334,17,-0.015628303711613018,0.0500069186091423,3e-05,0.017577236518263817,0.10477134939283132,0.3862535357475281,0.2,0.04174861032515764,20,3.1535017410914103,0.013237841
10240,-0.10260324494643526,1,208,189.53333333333333,12,-0.01065271814877633,0.05002175271511078,3e-05,0.02726145274937153,0.10226821675896644,0.5133395195007324,0.2,0.05117053929716349,30,3.1529905796051025,0.01073646
12800,-0.4846514904889506,1,167,191.925,15,-0.012904110671176265,0.0500127375125885,3e-05,0.06153435260057449,0.08577514166633288,0.7429770231246948,0.2,0.07021964229643345,40,3.152822756767273,0.0068116165
15360,-0.4851309713219172,1,146,187.06,17,-0.017358474925276823,0.05003415420651436,3e-05,0.009844878688454628,0.12696419302374123,0.7657879590988159,0.2,0.054099271446466445,50,3.1527685940265657,0.011382254
17920,-0.44236386924466997,1,178,189.0,14,-0.013397911242282134,0.05002249777317047,3e-05,0.027482282370328903,0.06660156266298145,0.7064220905303955,0.2,0.05563241355121136,60,3.152402478456497,0.00776239
20480,-0.45313771796841523,1,124,191.046875,20,-0.0150880609289743,0.050031647086143494,3e-05,0.033097706735134125,0.09560546875,0.7589110732078552,0.2,0.02861491485964507,70,3.1525828182697295,0.012360247
23040,-0.6616533459572662,1,233,205.8,10,-0.013523192815482617,0.05002405494451523,3e-05,0.0543256439268589,0.11307164661586284,0.6668591499328613,0.2,0.08649234600365162,80,3.15239764213562,0.014764482
25600,-0.6027713155219396,1,146,205.55,17,-0.01289014471306776,0.05000023543834686,3e-05,0.012200579047203064,0.09485012808193763,0.8725662231445312,0.2,0.014462975909312566,90,3.153040623664856,0.009174843
