waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39772890766206
1.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3973641663568
1.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,37.393227470455166
1.0,763.0,1.0,13.0,0.0,0.0,0.0,0.0,25.102074726846496
1.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39261388049386
1.0,794.0,2.0,88.0,0.0,0.0,0.0,0.0,-45.84053472646966
1.0,809.0,2.0,57.0,0.0,0.0,0.0,0.0,-16.519228508554882
1.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,37.379384313541536
1.0,962.0,2.0,15.0,0.0,0.0,0.0,0.0,23.189662575891326
1.0,997.0,1.0,33.0,0.0,0.0,0.0,0.0,6.178046240479826
1.0,598.0,2.0,79.0,0.0,0.0,0.0,0.0,-37.310818795301095
1.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36449477415032
1.0,792.0,3.0,150.0,0.0,0.0,0.0,0.0,-104.52433672828394
1.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,37.350318260763714
1.0,857.0,2.0,61.0,0.0,0.0,0.0,0.0,-20.330986559180687
1.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,37.339757234401446
1.0,962.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.050409169519106
1.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36067199026849
1.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29530934557997
1.0,1829.0,2.0,38.0,0.0,0.0,0.0,0.0,1.15540895402426
1.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38908251445286
1.0,805.0,2.0,58.0,0.0,0.0,0.0,0.0,-17.478741770541404
1.0,852.0,1.0,358.0,0.0,0.0,0.0,0.0,-301.2184513191343
1.0,878.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.027273387269823
1.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,37.326077477847726
1.0,1037.0,1.0,32.0,0.0,0.0,0.0,0.0,7.0915405546107735
1.0,1091.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.120970687578158
1.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31586373815553
1.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,37.264329833741506
1.0,1859.0,2.0,384.0,0.0,0.0,0.0,0.0,-326.0709401471964
1.0,668.0,1.0,488.0,0.0,0.0,0.0,0.0,-424.13513424473973
1.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,37.33686237429105
1.0,772.0,2.0,281.0,0.0,0.0,0.0,0.0,-228.40257065078032
1.0,805.0,1.0,488.0,0.0,0.0,0.0,0.0,-424.13926149596426
1.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38405688138314
1.0,993.0,3.0,142.0,1.0,138.0,0.0,0.0,-165.91229352202305
1.0,1009.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.67915058829786
1.0,1194.0,3.0,162.0,0.0,0.0,0.0,0.0,-115.93247635443697
1.0,1366.0,2.0,270.0,0.0,0.0,0.0,0.0,-218.16358814454844
1.0,1470.0,2.0,104.0,0.0,0.0,0.0,0.0,-61.15267137138029
1.0,610.0,1.0,76.0,0.0,0.0,0.0,0.0,-34.48360671638927
1.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40496587194759
1.0,672.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.115738248559239
1.0,709.0,1.0,258.0,0.0,0.0,0.0,0.0,-206.62146840769591
1.0,728.0,1.0,76.0,0.0,0.0,0.0,0.0,-34.516826539229584
1.0,745.0,1.0,258.0,0.0,0.0,0.0,0.0,-206.64438645276357
1.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34358673296905
1.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36299334769905
1.0,1154.0,1.0,75.0,0.0,0.0,0.0,0.0,-33.607178779658334
1.0,1250.0,2.0,121.0,0.0,0.0,0.0,0.0,-77.17123546210308
1.0,643.0,1.0,33.0,0.0,0.0,0.0,0.0,6.180914726584046
1.0,847.0,2.0,90.0,0.0,0.0,0.0,0.0,-47.76065462116513
1.0,871.0,2.0,105.0,0.0,0.0,0.0,0.0,-61.967680518554644
1.0,964.0,2.0,81.0,0.0,0.0,0.0,0.0,-39.29838531467499
1.0,969.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.647712923483489
1.0,1012.0,2.0,78.0,0.0,0.0,0.0,0.0,-36.39007025473293
1.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30268992942449
1.0,1297.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.705573050574756
1.0,1340.0,1.0,51.0,0.0,0.0,0.0,0.0,-11.00549990678973
1.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16120246100595
1.0,879.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.084165260429394
1.0,908.0,2.0,387.0,0.0,0.0,0.0,0.0,-328.6913265917326
1.0,915.0,1.0,52.0,0.0,0.0,0.0,0.0,-11.821235307134259
1.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30095824398582
1.0,1245.0,2.0,762.0,0.0,0.0,0.0,0.0,-683.4069943051023
1.0,1397.0,4.0,471.0,0.0,0.0,0.0,0.0,-408.205747917559
1.0,1491.0,0.0,0.0,0.0,0.0,0.0,0.0,37.156669951979865
1.0,2142.0,2.0,67.0,0.0,0.0,0.0,0.0,-26.425682645472357
1.0,2294.0,1.0,747.0,0.0,0.0,0.0,0.0,-669.5345110595069
1.0,2313.0,1.0,19.0,0.0,0.0,0.0,0.0,18.92423927265531
1.0,776.0,2.0,59.0,0.0,0.0,0.0,0.0,-18.42246493934148
1.0,802.0,3.0,135.0,0.0,0.0,0.0,0.0,-90.33693341748469
1.0,853.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.3351836307928338
1.0,904.0,2.0,51.0,0.0,0.0,0.0,0.0,-10.863498582801974
1.0,971.0,2.0,40.0,0.0,0.0,0.0,0.0,-0.45183016040607527
1.0,1050.0,2.0,53.0,0.0,0.0,0.0,0.0,-12.846494463126994
1.0,1152.0,2.0,73.0,0.0,0.0,0.0,0.0,-31.780895923940918
1.0,1163.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.721008626619458
1.0,1240.0,2.0,41.0,0.0,0.0,0.0,0.0,-1.510642753284742
1.0,1257.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.328149976855542
1.0,757.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.232780642032203
1.0,800.0,3.0,166.0,0.0,0.0,0.0,0.0,-119.60430972452232
1.0,850.0,2.0,83.0,0.0,0.0,0.0,0.0,-41.16024201029419
1.0,945.0,2.0,90.0,0.0,0.0,0.0,0.0,-47.75675250890956
1.0,993.0,3.0,82.0,0.0,0.0,0.0,0.0,-40.25109194476058
1.0,1008.0,3.0,151.0,0.0,0.0,0.0,0.0,-105.44174754812626
1.0,1044.0,2.0,97.0,0.0,0.0,0.0,0.0,-54.369672829830805
1.0,1078.0,2.0,840.0,0.0,0.0,0.0,0.0,-757.0676048127275
1.0,1077.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.15644812852147
1.0,1114.0,3.0,893.0,0.0,0.0,0.0,0.0,-807.2120452710419
1.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,37.387624504176635
1.0,695.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.907024113331758
1.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,37.330108324957415
1.0,960.0,2.0,210.0,0.0,0.0,0.0,0.0,-161.29917007694917
1.0,989.0,1.0,152.0,0.0,0.0,0.0,0.0,-106.4677331115073
1.0,1060.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.568777574221905
1.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,37.227720613071604
1.0,1157.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.960703045010767
1.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,37.243097893252056
1.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,37.26807108196954
1.0,663.0,1.0,42.0,0.0,0.0,0.0,0.0,-2.35851737472931
1.0,732.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.2843113582848105
1.0,819.0,1.0,42.0,0.0,0.0,0.0,0.0,-2.331348959796891
1.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,37.366981412272665
1.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39582847612642
1.0,1122.0,2.0,95.0,0.0,0.0,0.0,0.0,-52.52478761549072
1.0,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,37.318111333862326
1.0,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23998056256724
1.0,1327.0,1.0,35.0,0.0,0.0,0.0,0.0,4.106672655385246
1.0,1408.0,2.0,87.0,0.0,0.0,0.0,0.0,-45.04977478134627
1.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,37.386544629998056
1.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,37.383293361064595
1.0,696.0,1.0,257.0,0.0,0.0,0.0,0.0,-205.6657676553576
1.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39899563785285
1.0,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25890295302768
1.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24479636836774
1.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,37.20374264701895
1.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29622540044502
1.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,37.283627934228875
1.0,1233.0,1.0,257.0,0.0,0.0,0.0,0.0,-205.7672595809235
1.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,37.392109830544015
1.0,691.0,1.0,400.0,0.0,0.0,0.0,0.0,-340.8981283129184
1.0,747.0,4.0,141.0,0.0,0.0,0.0,0.0,-95.96882017206576
1.0,798.0,3.0,180.0,0.0,0.0,0.0,0.0,-132.8521981164225
1.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,37.33152561801636
1.0,905.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.782954687186638
1.0,989.0,2.0,411.0,0.0,0.0,0.0,0.0,-351.3094954073855
1.0,1045.0,3.0,157.0,0.0,0.0,0.0,0.0,-111.14879419855191
1.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29428767202595
1.0,1223.0,2.0,89.0,0.0,0.0,0.0,0.0,-46.92742237815907
1.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38523924945572
1.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3906333663751
1.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40042040869093
1.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,37.382260879822894
1.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3839881289737
1.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32819375560448
1.0,974.0,2.0,107.0,0.0,0.0,0.0,0.0,-63.83390636242045
1.0,1078.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.744846764423883
1.0,1137.0,1.0,52.0,0.0,0.0,0.0,0.0,-11.834045032925793
0.0,3000.0,0.0,0.0,1.0,139.0,0.0,0.0,-70.35141543019633
1.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,37.390745109086005
1.0,649.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.396990478566494
1.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,37.383735290855256
1.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,37.361571596503865
1.0,799.0,1.0,69.0,0.0,0.0,0.0,0.0,-27.8769588844835
1.0,803.0,2.0,62.0,0.0,0.0,0.0,0.0,-21.2514130410009
1.0,840.0,2.0,60.0,0.0,0.0,0.0,0.0,-19.418053718040014
1.0,982.0,1.0,69.0,0.0,0.0,0.0,0.0,-27.88722595229728
1.0,1033.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.715015431950434
1.0,1304.0,2.0,112.0,0.0,0.0,0.0,0.0,-68.67004891533345
1.0,620.0,2.0,36.0,0.0,0.0,0.0,0.0,3.3416331985913956
1.0,709.0,2.0,101.0,0.0,0.0,0.0,0.0,-58.13000191783916
1.0,778.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.40729334176431
1.0,776.0,3.0,130.0,0.0,0.0,0.0,0.0,-85.60751070887659
1.0,896.0,3.0,207.0,0.0,0.0,0.0,0.0,-158.37452926067016
1.0,938.0,0.0,0.0,0.0,0.0,0.0,0.0,37.309239950555636
1.0,973.0,3.0,156.0,0.0,0.0,0.0,0.0,-110.17169104395708
1.0,976.0,3.0,109.0,0.0,0.0,0.0,0.0,-65.732880939599
1.0,1024.0,1.0,21.0,0.0,0.0,0.0,0.0,17.474154401421433
1.0,1608.0,6.0,275.0,0.0,0.0,0.0,0.0,-222.99452582941976
1.0,734.0,2.0,59.0,0.0,0.0,0.0,0.0,-18.42086648525934
1.0,956.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.39101800985611
1.0,1095.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.424797211754225
1.0,1100.0,3.0,105.0,0.0,0.0,0.0,0.0,-62.024410780345114
1.0,1247.0,3.0,150.0,1.0,129.0,0.0,0.0,-169.08614837827375
1.0,1272.0,3.0,236.0,0.0,0.0,0.0,0.0,-185.93567694277888
1.0,1359.0,2.0,172.0,0.0,0.0,0.0,0.0,-125.45864332544926
1.0,1678.0,3.0,152.0,0.0,0.0,0.0,0.0,-106.59572776856555
1.0,1681.0,2.0,58.0,0.0,0.0,0.0,0.0,-17.732704288980543
1.0,1783.0,3.0,155.0,0.0,0.0,0.0,0.0,-109.48761758970802
1.0,620.0,1.0,30.0,0.0,0.0,0.0,0.0,9.020122143120961
1.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40206085000493
1.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,37.391504128077656
1.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39607785380035
1.0,816.0,2.0,83.0,0.0,0.0,0.0,0.0,-41.13034731097178
1.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38842886839002
1.0,897.0,1.0,7.0,0.0,0.0,0.0,0.0,30.73078992715534
1.0,926.0,3.0,103.0,0.0,0.0,0.0,0.0,-60.04628230458931
1.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,37.374021235328364
1.0,963.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.3521842779636586
1.0,601.0,2.0,109.0,0.0,0.0,0.0,0.0,-65.69335929004575
1.0,677.0,1.0,48.0,0.0,0.0,0.0,0.0,-8.013218281787047
1.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40000701957542
1.0,838.0,1.0,33.0,0.0,0.0,0.0,0.0,6.108450278953974
