episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37116471764986
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38031383018548
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37238105977554
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,766.0,2.0,153.0,0.0,0.0,0.0,0.0,-107.34278564735928
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,884.0,2.0,150.0,0.0,0.0,0.0,0.0,-104.50189649261782
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,905.0,1.0,37.0,0.0,0.0,0.0,0.0,2.3289628401595834
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,1014.0,1.0,22.0,0.0,0.0,0.0,0.0,16.43274931184576
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1087.0,1.0,37.0,0.0,0.0,0.0,0.0,2.3336574201098514
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1154.0,1.0,25.0,0.0,0.0,0.0,0.0,13.651998260104566
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2995304373298
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362979566060176
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0,37.320573400218166
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,833.0,2.0,122.0,0.0,0.0,0.0,0.0,-78.05800881406532
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,37.342744260060336
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31143899686737
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,847.0,2.0,429.0,0.0,0.0,0.0,0.0,-368.3216906187668
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,913.0,2.0,122.0,0.0,0.0,0.0,0.0,-78.07855504715315
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,927.0,2.0,410.0,0.0,0.0,0.0,0.0,-350.40606545012645
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,984.0,2.0,115.0,0.0,0.0,0.0,0.0,-71.42559584287261
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34509041281154
