rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,2185,375,2560,1,10,1,1,41.88581459999841,52.165632228150166,0.1790703390467025,17.907033904670254,1.0,0.15117921773344278,0.1426066942512989,0.33742401003837585,0.439453125,2185,0.06459334235364321,0.10663881900360422,-0.4910561319222,0.43157894736842106
2,4005,1115,5120,2,20,2,2,56.56455019999703,70.80406342558011,-0.0008299647424580669,-0.08299647424580776,1.0,0.05417496617883444,0.09385669603943825,0.11824097484350204,0.3740234375,1820,0.06655719692630638,0.06574815886023702,0.021359467611869798,0.3269230769230769
3,6034,1646,7680,3,30,3,3,74.25136769999517,81.26449635755857,-0.3697721178483924,-36.977211784839234,1.0,0.04093365464359522,0.10939019918441772,0.05802144855260849,0.3037109375,2029,0.10357247336637738,0.12449978718926072,-0.07568810980037455,0.29620502710694924
4,7478,2762,10240,3,39,4,4,85.24630109999998,87.72228124276938,-0.5695498891369922,-56.95498891369923,1.0,0.05209557805210352,0.10833975300192833,0.07660219073295593,0.3515625,1444,0.12947241123768502,0.11907865650709198,0.12476555348446716,0.3587257617728532
5,9159,3641,12800,4,48,5,5,98.29577939999581,93.17795795411732,-0.5645659599237302,-56.456595992373,1.0,0.044879627879709005,0.1193847730755806,0.1319579780101776,0.3876953125,1681,0.14347219156206836,0.11865312396779548,0.17332075353232657,0.4033313503866746
6,11194,4166,15360,5,58,6,6,113.17691959999502,98.90709200748111,-0.5590829353134222,-55.90829353134223,1.0,0.06360774021595716,0.06772397831082344,0.170695498585701,0.40234375,2035,0.10839580687608188,0.06326289675162398,0.4485667838094851,0.6014742014742015
7,12543,5377,17920,6,60,7,7,123.40169709999464,101.64365883749701,-0.5369088466394625,-53.69088466394625,1.0,0.08352877153083682,0.04350956715643406,0.20176385343074799,0.4033203125,1349,0.12536787940658367,0.04538950766648796,0.65424140266622,0.6375092661230541
8,14048,6432,20480,6,67,8,8,133.79244389999803,104.99845574612608,-0.536709284192752,-53.67092841927521,1.0,0.07766065513715148,0.10942396149039268,0.207996666431427,0.4345703125,1505,0.22824794243738913,0.11243659120867121,0.5116727075249912,0.7029900332225913
9,14703,8337,23040,7,70,9,9,140.02074609999545,105.00586812685522,-0.5955027895214183,-59.55027895214185,0.9857142857142858,0.06629376555792987,0.023624438792467117,0.15007029473781586,0.3881118893623352,655,0.13138881843714015,0.028524815813626037,0.7880137116645435,0.9083969465648855
10,16624,8976,25600,7,79,10,10,151.83400789999723,109.48798776983547,-0.48518097127474696,-48.5180971274747,0.9873417721518988,0.01605802495032549,0.050183119252324104,0.02689589187502861,0.2587890625,1921,0.12728713472826272,0.056362244684450905,0.7324612591857461,0.8230088495575221
11,16880,11280,28160,7,79,11,12,156.03335789999983,108.18199535780175,-0.48518097127474696,-48.5180971274747,0.9873417721518988,0.02572633558884263,0.00623672641813755,0.09103381633758545,0.30859375,256,0.010562242202085485,0.003418688199601086,0.692393967218401,0.9921875
12,18864,11856,30720,8,80,12,13,170.26824789999955,110.7898873257863,-0.47924824825793627,-47.924824825793635,0.975,0.0514874174259603,0.10336592048406601,0.09883932024240494,0.376953125,1984,0.1658163609003807,0.10194143674993275,0.42545825541643023,0.7600806451612904
13,19848,13432,33280,8,88,16,16,178.15566099999705,111.4081915140509,-0.46940569444197117,-46.94056944419712,0.9772727272727273,0.024682344123721122,0.3023050665855408,0.05869341269135475,0.28025688529014586,984,0.3386786449702862,0.40490717910161916,0.11891026109990244,0.7317073170731707
14,21192,14648,35840,9,90,21,18,188.88811539999733,112.19340060184803,-0.9726860534897284,-97.26860534897286,0.9555555555555556,0.012820527190342546,0.08491106455524762,0.032863542437553406,0.22486979266007742,1344,0.06212169005832439,0.16191413712394614,-1.4271931849029205,0.7172619047619048
15,22924,15476,38400,9,98,22,19,200.375286399998,114.40532618497721,-0.942911825251276,-94.29118252512761,0.9591836734693877,0.02598845330066979,0.0740099810063839,0.03027769923210144,0.259765625,1732,0.2860784516271188,0.07933694362150255,0.7250895708202267,0.8146651270207852
16,23564,17396,40960,10,100,23,20,206.24147399999492,114.25442003968891,-0.94192564289223,-94.19256428922299,0.94,0.03755524009466171,0.03118238039314747,0.03211841359734535,0.22265625,640,0.11297972654587651,0.03172569772043558,0.7192147727358453,0.903125
17,25694,17826,43520,10,107,28,22,220.12079829999857,116.72681635917985,-0.9270462134065974,-92.70462134065978,0.94,0.01504885959244954,0.049719540402293205,0.07497993856668472,0.28049574544032413,2130,0.13119425160684547,0.046342431133050796,0.6717381636358069,0.8539906103286385
18,26018,20062,46080,10,109,32,27,224.68598719999864,115.79716351799334,-0.9409095433551532,-94.09095433551535,0.94,-0.008711321215020006,0.057469861954450606,0.04945702478289604,0.23765432238578796,324,0.3933903218627098,0.05880203192611841,0.8518321105694519,0.941358024691358
19,27930,20710,48640,11,110,36,29,238.68122539999604,117.01800153402624,-0.9568323319128901,-95.68323319128903,0.93,0.009308851044625043,0.04279198870062828,0.05163112282752991,0.27760139554739,1912,0.04405478621253024,0.0489177576649966,0.056830812949682286,0.7855648535564853
20,29311,21889,51200,11,118,37,30,248.01970939999592,118.18012395429604,-0.9452899957763343,-94.52899957763346,0.93,0.03000431600958109,0.09378498792648315,0.04415958747267723,0.3076171875,1381,0.13636650572880266,0.09426790218258156,0.32575507006474647,0.7168718320057929
21,30511,23249,53760,12,120,38,31,257.281336,118.59002473463524,-0.9349521996575727,-93.49521996575727,0.92,0.04035672917962074,0.09214599058032036,0.06964609026908875,0.34375,1200,0.2791154806421315,0.0968596293537424,0.6600817541583055,0.7291666666666666
22,31643,24677,56320,12,129,39,32,265.747037299996,119.07188249959269,-0.8950731118506019,-89.5073111850602,0.92,0.033288818784058094,0.07557377591729164,0.062156423926353455,0.3115234375,1132,0.16658939359314523,0.08614155971196759,0.6176715322654007,0.6996466431095406
23,31971,26909,58880,13,130,40,34,270.5083091999986,118.18860608959129,-0.8692032807018758,-86.9203280701876,0.91,0.014316498642649833,0.03377379663288593,0.08125914633274078,0.3231707215309143,328,0.05769265735772279,0.04151461170078252,0.5290568195432238,0.7987804878048781
