time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/std,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/policy_gradient_loss
148,17,162.5,2560,0.1790703390467025,1,,,,,,,,,,,
175,14,173.75,5120,-0.0008299647424580669,1,0.1287943720817566,0.439453125,0.2,3.153586745262146,0.05000004172325134,0.0003,0.1426066942512989,1,0.337424,0.4318467974662781,0.15117921773344278
145,17,181.46666666666667,7680,-0.3697721178483924,1,0.0665711760520935,0.3740234375,0.2,3.153687834739685,0.049994952976703644,0.0003,0.09385669603943825,2,0.118240975,0.20042356848716736,0.05417496617883444
233,10,183.66666666666666,10240,-0.5695498891369922,1,-0.0885545015335083,0.3037109375,0.2,3.153900146484375,0.04998944699764252,0.0003,0.10939019918441772,3,0.05802145,0.16187748312950134,0.04093365464359522
196,13,181.72916666666666,12800,-0.5645659599237302,1,0.2070544958114624,0.3515625,0.2,3.154193639755249,0.04998030513525009,0.0003,0.10833975300192833,4,0.07660219,0.18414288759231567,0.05209557805210352
172,14,184.75862068965517,15360,-0.5590829353134222,1,0.35879451036453247,0.3876953125,0.2,3.1544233560562134,0.04997795820236206,0.0003,0.1193847730755806,5,0.13195798,0.18139301240444183,0.044879627879709005
251,10,190.38333333333333,17920,-0.5369088466394625,1,0.5867319703102112,0.40234375,0.2,3.15460205078125,0.049971356987953186,0.0003,0.06772397831082344,6,0.1706955,0.1949755847454071,0.06360774021595716
247,10,193.19402985074626,20480,-0.536709284192752,1,0.7819235920906067,0.4033203125,0.2,3.1548739671707153,0.04996436834335327,0.0003,0.04350956715643406,7,0.20176385,0.22069081664085388,0.08352877153083682
412,6,206.61428571428573,23040,-0.5955027895214183,1,0.612650990486145,0.4345703125,0.2,3.1551589965820312,0.049957115203142166,0.0003,0.10942396149039268,8,0.20799667,0.242864191532135,0.07766065513715148
217,11,206.8860759493671,25600,-0.48518097127474696,1,0.8779155611991882,0.3881118893623352,0.2,3.155423402786255,0.04995116591453552,0.0003,0.023624438792467117,9,0.1500703,0.17260518670082092,0.06629376555792987
613,4,206.8860759493671,28160,-0.48518097127474696,1,0.7671176791191101,0.2587890625,0.2,3.1556683778762817,0.049944862723350525,0.0003,0.050183119252324104,10,0.026895892,0.08129401504993439,0.01605802495032549
180,14,211.8,30720,-0.47924824825793627,1,0.7208009958267212,0.30859375,0.2,3.1559438705444336,0.0499374121427536,0.0003,0.00623672641813755,12,0.09103382,0.08754105120897293,0.02572633558884263
327,7,215.36363636363637,33280,-0.46940569444197117,1,0.6805845499038696,0.376953125,0.2,3.1562347412109375,0.04993033409118652,0.0003,0.10336592048406601,13,0.09883932,0.1863033026456833,0.0514874174259603
240,10,223.9111111111111,35840,-0.9726860534897284,1,0.155600905418396,0.28025688529014586,0.2,3.156788635253906,0.049912065267562866,0.0003,0.3023050665855408,16,0.058693413,0.16178728640079498,0.024682344123721122
223,11,226.57142857142858,38400,-0.942911825251276,1,0.5572951436042786,0.22486979266007742,0.2,3.157116651535034,0.049914561212062836,0.0003,0.08491106455524762,18,0.032863542,0.09059968590736389,0.012820527190342546
437,5,234.04,40960,-0.94192564289223,1,0.7583580017089844,0.259765625,0.2,3.1569337844848633,0.04991830140352249,0.0003,0.0740099810063839,19,0.0302777,0.12069626897573471,0.02598845330066979
185,13,238.23,43520,-0.9270462134065974,1,0.7656533122062683,0.22265625,0.2,3.1568031311035156,0.04992107301950455,0.0003,0.03118238039314747,20,0.032118414,0.1216561496257782,0.03755524009466171
569,4,240.65,46080,-0.9409095433551532,1,0.7068046927452087,0.28049574544032413,0.2,3.156649947166443,0.04992283135652542,0.0003,0.049719540402293205,22,0.07497994,0.0768895298242569,0.01504885959244954
183,13,244.65,48640,-0.9568323319128901,1,0.940977156162262,0.23765432238578796,0.2,3.1564749240875245,0.049934402108192444,0.0003,0.057469861954450606,27,0.049457025,0.04196114093065262,-0.008711321215020006
274,9,254.5,51200,-0.9452899957763343,1,0.7521575689315796,0.27760139554739,0.2,3.1559462547302246,0.04994621500372887,0.0003,0.04279198870062828,29,0.051631123,0.07960765063762665,0.009308851044625043
277,9,260.76,53760,-0.9349521996575727,1,0.4491659998893738,0.3076171875,0.2,3.1557140350341797,0.049947530031204224,0.0003,0.09378498792648315,30,0.044159587,0.14132720232009888,0.03000431600958109
303,8,260.97,56320,-0.8950731118506019,1,0.8290429711341858,0.34375,0.2,3.1556330919265747,0.04995027929544449,0.0003,0.09214599058032036,31,0.06964609,0.15589958429336548,0.04035672917962074
540,4,264.47,58880,-0.8692032807018758,1,0.6352643966674805,0.3115234375,0.2,3.1555169820785522,0.049953341484069824,0.0003,0.07557377591729164,32,0.062156424,0.1301727145910263,0.033288818784058094
175,14,264.29,61440,-0.7521642948136781,1,0.952627956867218,0.3231707215309143,0.2,3.1553882360458374,0.04995668679475784,0.0003,0.03377379663288593,34,0.08125915,0.07320286333560944,0.014316498642649833
445,5,264.29,64000,-0.7521642948136781,1,0.7916138172149658,0.3193359375,0.2,3.1552865505218506,0.04995843395590782,0.0003,0.05460375361144543,35,0.062362604,0.11008085310459137,0.02577060484327376
211,12,267.33,66560,-0.6967334853341849,1,0.9759494066238403,0.302734375,0.2,3.1552228927612305,0.04995988681912422,0.0003,0.02310737781226635,37,0.06838668,0.07086701691150665,0.013566900976002216
670,3,266.99,69120,-0.6818862392915149,1,0.6066705584526062,0.3671875,0.2,3.1551382541656494,0.049962662160396576,0.0003,0.046078236773610115,38,0.09669253,0.15515123307704926,0.049724673852324486
334,7,270.64,71680,-0.6664161176227553,1,0.7821480631828308,0.27483442425727844,0.2,3.1550742387771606,0.0499630831182003,0.0003,0.04989416524767876,40,0.06245642,0.10171906650066376,0.022206444984043117
167,15,265.34,74240,-0.6349500475701647,1,0.8113479614257812,0.26953125,0.2,3.155051589012146,0.04996383935213089,0.0003,0.045674096792936325,41,0.028081847,0.08313927054405212,0.011751079000532627
258,9,264.74,76800,-0.8048052476881626,1,0.5443688631057739,0.2470703125,0.2,3.1550220251083374,0.04996456205844879,0.0003,0.08327029272913933,42,0.026140176,0.12222939729690552,0.022825261927209795
