episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,652.0,0,0.0,0,0.0,0,0.0,37.37116471794417
1,1,654.0,0,0.0,0,0.0,0,0.0,37.38031383042024
2,1,752.0,0,0.0,0,0.0,0,0.0,37.372381058580515
3,1,766.0,2,153.0,0,0.0,0,0.0,-107.34278564702981
4,1,884.0,2,150.0,0,0.0,0,0.0,-104.5018964889957
5,1,905.0,1,37.0,0,0.0,0,0.0,2.3289628425329667
6,1,1014.0,1,22.0,0,0.0,0,0.0,16.432749307142995
7,1,1087.0,1,37.0,0,0.0,0,0.0,2.333657421746942
8,1,1154.0,1,25.0,0,0.0,0,0.0,13.651998262856736
9,1,1186.0,0,0.0,0,0.0,0,0.0,37.29953043825971
10,1,704.0,0,0.0,0,0.0,0,0.0,37.362979566060176
11,1,793.0,0,0.0,0,0.0,0,0.0,37.320573400218166
12,1,833.0,2,122.0,0,0.0,0,0.0,-78.05800881406532
13,1,841.0,0,0.0,0,0.0,0,0.0,37.342744260060336
14,1,846.0,0,0.0,0,0.0,0,0.0,37.31143899686737
15,1,847.0,2,429.0,0,0.0,0,0.0,-368.3216906187668
16,1,913.0,2,122.0,0,0.0,0,0.0,-78.07855504715315
17,1,927.0,2,410.0,0,0.0,0,0.0,-350.40606545012645
18,1,984.0,2,115.0,0,0.0,0,0.0,-71.42559584287261
19,1,1057.0,0,0.0,0,0.0,0,0.0,37.34509041281154
