waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,677.0,0.0,0.0,1.0,279.0,0.0,0.0,-102.09054708592626
1.0,695.0,1.0,250.0,0.0,0.0,0.0,0.0,-199.01563617203988
1.0,830.0,0.0,0.0,1.0,88.0,0.0,0.0,-6.5927519205548535
1.0,945.0,0.0,0.0,2.0,555.0,0.0,0.0,-240.09425965991488
1.0,968.0,0.0,0.0,2.0,380.0,0.0,0.0,-152.593339589689
1.0,1003.0,0.0,0.0,3.0,590.0,0.0,0.0,-257.59377847953306
1.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,37.405895272303
1.0,1049.0,1.0,213.0,0.0,0.0,0.0,0.0,-164.0275790369365
1.0,1073.0,1.0,250.0,0.0,0.0,0.0,0.0,-199.01966099757237
1.0,1079.0,1.0,213.0,0.0,0.0,0.0,0.0,-164.02949579768813
