completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-102.09054708592626,-102.09054708592626,-1.0209054708592626,0.0
1,-199.01563617203988,-199.01563617203988,-1.9901563617203988,0.0
2,-6.5927519205548535,-6.5927519205548535,-0.06592751920554854,0.0
3,-240.09425965991488,-240.09425965991488,-2.400942596599149,0.0
4,-152.593339589689,-152.593339589689,-1.5259333958968901,0.0
5,-257.59377847953306,-257.59377847953306,-2.5759377847953306,0.0
6,37.405895272303,37.405895272303,0.37405895272303,0.0
7,-164.0275790369365,-164.0275790369365,-1.640275790369365,0.0
8,-199.01966099757237,-199.01966099757237,-1.9901966099757238,0.0
9,-164.02949579768813,-164.02949579768813,-1.6402949579768813,0.0
