episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,605.0,0,0.0,0,0.0,0,0.0,37.41716378702808
1,1,616.0,0,0.0,0,0.0,0,0.0,37.41716376835974
2,1,648.0,0,0.0,0,0.0,0,0.0,37.417163794500894
3,1,714.0,0,0.0,0,0.0,0,0.0,37.41716378726569
4,1,802.0,0,0.0,0,0.0,0,0.0,37.41227233041076
5,1,868.0,0,0.0,0,0.0,0,0.0,37.292804928357036
6,1,1008.0,0,0.0,0,0.0,0,0.0,37.27335147704902
7,1,1031.0,0,0.0,0,0.0,0,0.0,37.354959157712884
8,1,1099.0,0,0.0,0,0.0,0,0.0,37.31499028827371
9,1,1224.0,0,0.0,0,0.0,0,0.0,37.294154869854914
10,1,656.0,0,0.0,0,0.0,0,0.0,37.404849909814246
11,1,672.0,0,0.0,0,0.0,0,0.0,37.3979129285247
12,1,698.0,0,0.0,0,0.0,0,0.0,37.38796270847456
13,1,770.0,0,0.0,0,0.0,0,0.0,37.40123869714017
14,1,791.0,0,0.0,0,0.0,0,0.0,37.40460087820614
15,1,837.0,0,0.0,0,0.0,0,0.0,37.386012890659636
16,1,841.0,0,0.0,0,0.0,0,0.0,37.31608519732198
17,1,885.0,0,0.0,0,0.0,0,0.0,37.38619873438946
18,1,999.0,0,0.0,0,0.0,0,0.0,37.399645096398515
19,1,1723.0,0,0.0,0,0.0,0,0.0,37.04134766145303
