rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,5120,0,5120,0,0,50,10,40.9428083000239,125.05248693448836,,,,-0.006361688799224794,199.32620239257812,0.003823627484962344,0.03130859375
2,10240,0,10240,0,0,100,20,62.593362500017975,163.59562086151,,,,-0.0019300766405649483,428.55419677734375,0.0023817424662411213,0.0054296875
3,15360,0,15360,2,20,150,30,85.74657850002404,179.13251197534015,-348.1215268413098,-348.1215268413098,0.0,-0.0007731337612494827,1199.8138757324218,0.001047469675540924,0.000234375
4,20480,0,20480,2,20,200,40,108.71423809998669,188.38378815812635,-348.1215268413098,-348.1215268413098,0.0,-0.0016814621211960912,475.8650836181641,0.003661357332020998,0.0045703125
5,25600,0,25600,4,40,250,50,130.46264450001763,196.22475152262103,-492.8067418147949,-492.8067418147949,0.0,-0.0038113599247299136,233.9227865600586,0.0036695499438792467,0.0305859375
6,30547,173,30720,4,42,300,60,151.2637270000414,201.94530840821898,-483.727900888457,-483.727900888457,0.047619047619047616,-0.0016343791736289858,566.7480224609375,0.0026788520626723766,0.0019266166584566236
7,35079,761,35840,4,43,350,70,170.52775970002403,205.70844337430802,-487.3307866338702,-487.3307866338702,0.06976744186046512,-0.00318571923795389,289.92009674072267,0.0018700368236750364,0.0035786984022706746
8,40070,890,40960,6,61,400,80,194.207569900027,206.32563406579357,-473.25406447013125,-473.25406447013125,0.06557377049180328,-0.002193039495614357,640.4056774902343,0.0036282078363001347,0.008939136741682887
9,44934,1146,46080,6,61,450,90,218.1274671999854,205.99881609042498,-473.25406447013125,-473.25406447013125,0.06557377049180328,-0.002677753654133994,380.3946466064453,0.0022948789410293102,0.012695312462747098
10,49906,1294,51200,8,80,500,100,238.01466300000902,209.67615764075052,-466.113113255568,-466.113113255568,0.0625,-0.00589187717589084,381.51384216308594,0.005340213887393475,0.0349789525475353
11,54898,1422,56320,8,81,550,110,258.4530441000243,212.40995706266028,-462.1635937961263,-462.1635937961263,0.07407407407407407,-0.0030923502682708203,228.7553805541992,0.002909665461629629,0.013816964323632419
12,59834,1606,61440,10,100,600,120,282.1657594999997,212.0526604859016,-438.909150807892,-438.909150807892,0.06,-0.007309856560605113,187.35555923461914,0.006594905164092779,0.08516536496579646
13,64954,1606,66560,10,100,650,130,301.62293469998986,215.34834565749017,-438.909150807892,-438.909150807892,0.06,-0.0020589814451523127,388.61037292480466,0.003066588193178177,0.006171875
14,70074,1606,71680,10,100,700,140,322.7285395000363,217.1298519447863,-438.909150807892,-438.909150807892,0.06,-0.0014865311770699918,249.43361633300782,0.0012873753439635038,0.00021484375
15,75194,1606,76800,12,120,750,150,344.9666903000325,217.97466861104914,-462.4325123816718,-462.4325123816718,0.06,-0.001673686366993934,554.1657623291015,0.002471364103257656,0.00287109375
16,80314,1606,81920,12,120,800,160,368.0215704999864,218.23177345525448,-462.4325123816718,-462.4325123816718,0.06,-0.0029251986532472076,196.55388092041017,0.003602378536015749,0.02
17,85384,1656,87040,14,140,850,170,389.68210229999386,219.1119363605459,-415.2498958593419,-415.2498958593419,0.07,-0.00418477142098709,449.18687927246094,0.018919585272669792,0.0709678196720779
18,90504,1656,92160,14,140,900,180,410.77297430002363,220.3260819537192,-415.2498958593419,-415.2498958593419,0.07,-0.0008175113145262003,491.17447265625,0.004221726208925247,0.08505859375
19,95624,1656,97280,16,160,950,190,431.0945324000204,221.81677755835875,-397.5276350008878,-397.5276350008878,0.04,-0.004781830189749599,331.19240600585937,0.005299537908285856,0.03033203125
20,100744,1656,102400,16,160,1000,200,453.84316200000467,221.97976842052535,-397.5276350008878,-397.5276350008878,0.04,-0.005431870371103287,88.66523071289062,0.0037679981905966997,0.026484375
