time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/n_updates,train/loss,train/std,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
5120,21,241,1,,,,,,,,,,,,,
10240,18,281,1,0.03130859375,10,92.31864929199219,0.6103260517120361,0.0003,-1.844816358089447,199.32620239257812,-0.006361688799224794,0.0038236275,0.2,0.0018052458763122559,,
15360,19,259,1,0.0054296875,20,179.93948364257812,0.6116647124290466,0.0003,-1.852846941947937,428.55419677734375,-0.0019300766405649483,0.0023817425,0.2,0.0059105753898620605,600.0,-348.1215268413098
20480,19,268,1,0.000234375,30,563.5536499023438,0.6123197674751282,0.0003,-1.8557176971435547,1199.8138757324218,-0.0007731337612494827,0.0010474697,0.2,0.03963041305541992,600.0,-348.1215268413098
25600,18,283,1,0.0045703125,40,206.83827209472656,0.6126968860626221,0.0003,-1.857654333114624,475.8650836181641,-0.0016814621211960912,0.0036613573,0.2,-0.003930449485778809,600.0,-492.8067418147949
30720,17,287,1,0.0305859375,50,104.95743560791016,0.6142876148223877,0.0003,-1.8604223656654357,233.9227865600586,-0.0038113599247299136,0.00366955,0.2,-0.0008367300033569336,583.3095238095239,-483.727900888457
35840,16,315,1,0.0019266166584566236,60,262.091796875,0.6155278086662292,0.0003,-1.8656091499328613,566.7480224609375,-0.0016343791736289858,0.002678852,0.2,-0.0002371072769165039,581.7441860465116,-487.3307866338702
40960,18,279,1,0.0035786984022706746,70,104.8191146850586,0.6149718761444092,0.0003,-1.866676926612854,289.92009674072267,-0.00318571923795389,0.0018700368,0.2,7.87973403930664e-05,579.639344262295,-473.25406447013125
46080,20,250,1,0.008939136741682887,80,303.9977111816406,0.6145521402359009,0.0003,-1.8648984479904174,640.4056774902343,-0.002193039495614357,0.0036282078,0.2,0.00021821260452270508,579.639344262295,-473.25406447013125
51200,16,302,1,0.012695312462747098,90,174.5465545654297,0.6146656274795532,0.0003,-1.863991413116455,380.3946466064453,-0.002677753654133994,0.002294879,0.2,0.00013399124145507812,583.825,-466.113113255568
56320,17,297,1,0.0349789525475353,100,178.4049835205078,0.6163992285728455,0.0003,-1.8676366782188416,381.51384216308594,-0.00589187717589084,0.005340214,0.2,0.0001551508903503418,580.1728395061729,-462.1635937961263
61440,20,252,1,0.013816964323632419,110,111.83991241455078,0.6158275008201599,0.0003,-1.8699120330810546,228.7553805541992,-0.0030923502682708203,0.0029096655,0.2,0.00436633825302124,583.94,-438.909150807892
66560,16,316,1,0.08516536496579646,120,70.86890411376953,0.6183935403823853,0.0003,-1.872617223262787,187.35555923461914,-0.007309856560605113,0.006594905,0.2,0.0004851818084716797,583.94,-438.909150807892
71680,17,288,1,0.006171875,130,175.23977661132812,0.6188732385635376,0.0003,-1.8775154232978821,388.61037292480466,-0.0020589814451523127,0.0030665882,0.2,0.001814424991607666,583.94,-438.909150807892
76800,18,271,1,0.00021484375,140,105.11860656738281,0.6188861131668091,0.0003,-1.8781891107559203,249.43361633300782,-0.0014865311770699918,0.0012873753,0.2,0.00014191865921020508,583.94,-462.4325123816718
81920,19,264,1,0.00287109375,150,249.1624755859375,0.6194195747375488,0.0003,-1.8789856672286986,554.1657623291015,-0.001673686366993934,0.002471364,0.2,3.904104232788086e-05,583.94,-462.4325123816718
87040,18,275,1,0.02,160,86.55549621582031,0.6204243898391724,0.0003,-1.8812227106094361,196.55388092041017,-0.0029251986532472076,0.0036023785,0.2,7.575750350952148e-05,583.44,-415.2498958593419
92160,18,283,1,0.0709678196720779,170,239.39251708984375,0.617401123046875,0.0003,-1.881424903869629,449.18687927246094,-0.00418477142098709,0.018919585,0.2,-6.401538848876953e-05,583.44,-415.2498958593419
97280,17,299,1,0.08505859375,180,250.8600616455078,0.616041898727417,0.0003,-1.8703092002868653,491.17447265625,-0.0008175113145262003,0.004221726,0.2,-3.063678741455078e-05,591.29,-397.5276350008878
102400,19,267,1,0.03033203125,190,134.60389709472656,0.6165769100189209,0.0003,-1.869893410205841,331.19240600585937,-0.004781830189749599,0.005299538,0.2,-2.8967857360839844e-05,591.29,-397.5276350008878
