waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0.0,3000.0,5.0,915.0,0.0,0.0,1.0,104.0,-880.3213821979883
0.0,3000.0,0.0,0.0,1.0,273.0,1.0,1235.0,-303.37671410217405
0.0,3000.0,1.0,163.0,0.0,0.0,2.0,1248.0,-322.83230974975186
0.0,3000.0,1.0,84.0,2.0,424.0,1.0,314.0,-334.8023561159959
0.0,3000.0,3.0,501.0,0.0,0.0,2.0,301.0,-515.2466053388547
0.0,3000.0,3.0,278.0,0.0,0.0,0.0,0.0,-264.00983771130836
0.0,3000.0,0.0,0.0,2.0,137.0,0.0,0.0,-69.65405797763364
0.0,3000.0,3.0,210.0,0.0,0.0,1.0,732.0,-297.7348235651078
0.0,3000.0,1.0,84.0,2.0,367.0,2.0,653.0,-351.5771163363398
0.0,3000.0,5.0,685.0,0.0,0.0,1.0,108.0,-663.3218177489364
0.0,3000.0,1.0,91.0,0.0,0.0,2.0,329.0,-131.01303368247562
0.0,3000.0,0.0,0.0,1.0,348.0,0.0,0.0,-174.72972864107174
0.0,3000.0,0.0,0.0,3.0,595.0,1.0,719.0,-394.88958318039636
0.0,3000.0,2.0,103.0,0.0,0.0,1.0,2309.0,-408.3875959053629
0.0,3000.0,1.0,86.0,1.0,32.0,1.0,777.0,-202.60361928600088
0.0,3000.0,1.0,86.0,0.0,0.0,1.0,1819.0,-326.6554084526743
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2659.0,-357.9733577701072
0.0,3000.0,1.0,30.0,1.0,234.0,1.0,1062.0,-288.9271772789725
0.0,3000.0,0.0,0.0,2.0,326.0,1.0,1585.0,-377.0259596171587
0.0,3000.0,2.0,164.0,0.0,0.0,1.0,1051.0,-297.3480521678846
0.0,3000.0,2.0,93.0,2.0,300.0,1.0,425.0,-296.0172982717043
0.0,3000.0,0.0,0.0,2.0,365.0,1.0,1926.0,-442.18774904250796
0.0,3000.0,0.0,0.0,7.0,756.0,0.0,0.0,-378.98709537433444
0.0,3000.0,1.0,58.0,4.0,249.0,1.0,730.0,-278.69538946765186
0.0,3000.0,4.0,401.0,1.0,135.0,1.0,1191.0,-607.6090935115487
0.0,3000.0,1.0,61.0,2.0,1003.0,1.0,131.0,-577.5581973395422
0.0,3000.0,1.0,61.0,4.0,791.0,1.0,965.0,-584.038304978696
0.0,3000.0,3.0,168.0,2.0,460.0,0.0,0.0,-389.64106513334616
0.0,3000.0,2.0,68.0,0.0,0.0,1.0,1311.0,-241.3653821610131
0.0,3000.0,4.0,336.0,3.0,820.0,1.0,260.0,-763.8055956116757
0.0,3000.0,3.0,418.0,9.0,1600.0,1.0,187.0,-1221.4936143127413
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1668.0,-225.15454668052897
0.0,3000.0,2.0,355.0,4.0,690.0,1.0,1293.0,-855.2525891950179
0.0,3000.0,1.0,60.0,2.0,482.0,1.0,1214.0,-462.0662059868894
0.0,3000.0,3.0,371.0,5.0,1569.0,0.0,0.0,-1136.3827759401827
0.0,3000.0,2.0,279.0,2.0,473.0,1.0,724.0,-598.9574527313072
0.0,3000.0,4.0,258.0,7.0,1362.0,1.0,586.0,-1004.800728354818
0.0,3000.0,1.0,66.0,4.0,719.0,1.0,1316.0,-599.9498622169702
0.0,3000.0,3.0,193.0,4.0,1624.0,1.0,521.0,-1065.503436113317
0.0,3000.0,3.0,196.0,4.0,1668.0,0.0,0.0,-1020.3727533418083
1.0,1116.0,1.0,50.0,1.0,14.0,0.0,0.0,-17.011784072875507
1.0,1373.0,3.0,276.0,4.0,727.0,0.0,0.0,-587.2903806505246
1.0,2576.0,2.0,93.0,6.0,1175.0,0.0,0.0,-638.6519879412266
0.0,3000.0,1.0,29.0,0.0,0.0,1.0,792.0,-134.87070516180165
0.0,3000.0,2.0,95.0,0.0,0.0,1.0,2135.0,-378.01611485389674
0.0,3000.0,1.0,66.0,2.0,606.0,1.0,384.0,-417.9435712040546
0.0,3000.0,2.0,140.0,1.0,28.0,1.0,130.0,-164.5826508080774
0.0,3000.0,1.0,70.0,3.0,285.0,1.0,1412.0,-399.572545094112
0.0,3000.0,0.0,0.0,4.0,433.0,0.0,0.0,-217.6119208725345
0.0,3000.0,1.0,70.0,2.0,145.0,0.0,0.0,-139.66503667143718
0.0,3000.0,1.0,43.0,1.0,453.0,1.0,1354.0,-449.99950067993814
0.0,3000.0,3.0,266.0,7.0,1400.0,0.0,0.0,-952.4087496942383
0.0,3000.0,1.0,59.0,3.0,818.0,1.0,1249.0,-633.8543771024889
0.0,3000.0,3.0,166.0,6.0,1359.0,1.0,302.0,-878.2297349475947
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2621.0,-352.8989484588088
0.0,3000.0,4.0,340.0,9.0,1251.0,0.0,0.0,-947.9964742983731
0.0,3000.0,4.0,344.0,3.0,537.0,0.0,0.0,-594.8169610964349
0.0,3000.0,1.0,68.0,1.0,63.0,1.0,1691.0,-324.11131961758366
0.0,3000.0,1.0,27.0,1.0,80.0,1.0,1489.0,-266.5628903625271
0.0,3000.0,0.0,0.0,5.0,863.0,1.0,1435.0,-625.2730919343624
1.0,711.0,1.0,60.0,1.0,31.0,0.0,0.0,-34.85951456331518
1.0,2740.0,4.0,255.0,1.0,65.0,0.0,0.0,-236.8825642517654
0.0,3000.0,2.0,268.0,0.0,0.0,1.0,180.0,-278.5074931130134
0.0,3000.0,3.0,789.0,0.0,0.0,0.0,0.0,-746.982743703846
0.0,3000.0,3.0,226.0,2.0,174.0,1.0,1975.0,-567.0138715389835
0.0,3000.0,3.0,486.0,3.0,2247.0,0.0,0.0,-1583.994441784909
0.0,3000.0,2.0,146.0,1.0,321.0,2.0,491.0,-365.3922340280802
0.0,3000.0,3.0,409.0,2.0,585.0,1.0,113.0,-695.7292927590478
0.0,3000.0,3.0,800.0,0.0,0.0,0.0,0.0,-757.5713293053952
0.0,3000.0,1.0,60.0,3.0,519.0,0.0,0.0,-317.26330231635205
0.0,3000.0,1.0,72.0,3.0,594.0,0.0,0.0,-366.0848771770825
0.0,3000.0,1.0,78.0,1.0,238.0,0.0,0.0,-193.67495108692466
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0986793435802953
0.0,3000.0,4.0,316.0,0.0,0.0,0.0,0.0,-299.70428115299677
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1914.0,-258.2933600512574
0.0,3000.0,2.0,153.0,1.0,219.0,1.0,1093.0,-401.9145932781776
0.0,3000.0,2.0,194.0,1.0,474.0,1.0,1172.0,-579.2683694182755
0.0,3000.0,3.0,227.0,2.0,230.0,1.0,197.0,-356.93744919306204
0.0,3000.0,1.0,12.0,0.0,0.0,1.0,1417.0,-202.62360702295206
0.0,3000.0,3.0,223.0,0.0,0.0,0.0,0.0,-211.61368724173536
1.0,1437.0,0.0,0.0,2.0,367.0,0.0,0.0,-146.20203704078898
0.0,3000.0,1.0,82.0,1.0,21.0,1.0,2006.0,-358.4827263036484
0.0,3000.0,1.0,80.0,4.0,79.0,0.0,0.0,-116.04332778883544
0.0,3000.0,3.0,230.0,1.0,121.0,1.0,2284.0,-586.1154661851257
0.0,3000.0,4.0,269.0,2.0,185.0,2.0,349.0,-394.9678730956425
0.0,3000.0,2.0,95.0,0.0,0.0,1.0,1276.0,-262.3072202377172
0.0,3000.0,0.0,0.0,3.0,86.0,0.0,0.0,-43.632814562979014
0.0,3000.0,3.0,221.0,2.0,217.0,2.0,758.0,-420.22023525355223
0.0,3000.0,0.0,0.0,1.0,117.0,1.0,1551.0,-267.6232075306664
0.0,3000.0,2.0,164.0,0.0,0.0,1.0,868.0,-272.5797858223687
0.0,3000.0,2.0,143.0,1.0,12.0,0.0,0.0,-142.29259463441227
0.0,3000.0,3.0,219.0,3.0,378.0,0.0,0.0,-397.1909852840551
0.0,3000.0,1.0,263.0,0.0,0.0,0.0,0.0,-249.7437870987733
0.0,3000.0,2.0,161.0,4.0,853.0,0.0,0.0,-580.0840829062361
0.0,3000.0,0.0,0.0,6.0,1436.0,0.0,0.0,-718.8722780232017
0.0,3000.0,0.0,0.0,1.0,78.0,1.0,2277.0,-346.0109715359647
0.0,3000.0,1.0,263.0,2.0,594.0,0.0,0.0,-546.5915488435919
0.0,3000.0,1.0,58.0,3.0,337.0,1.0,294.0,-263.83442499468055
0.0,3000.0,0.0,0.0,2.0,238.0,1.0,310.0,-162.00900721064383
0.0,3000.0,0.0,0.0,1.0,32.0,1.0,2305.0,-327.061645990869
0.0,3000.0,2.0,186.0,1.0,69.0,2.0,1881.0,-464.1234801094865
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1928.0,-259.89796308638387
0.0,3000.0,3.0,236.0,2.0,1311.0,1.0,343.0,-925.8888717724051
0.0,3000.0,3.0,225.0,2.0,446.0,1.0,937.0,-562.6154488198828
0.0,3000.0,0.0,0.0,2.0,1285.0,2.0,720.0,-740.1785062074853
0.0,3000.0,1.0,62.0,4.0,641.0,0.0,0.0,-380.17196896186226
0.0,3000.0,1.0,62.0,3.0,1172.0,0.0,0.0,-645.7805779130508
0.0,3000.0,3.0,236.0,5.0,979.0,2.0,216.0,-742.8123564364546
0.0,3000.0,3.0,221.0,3.0,1018.0,1.0,510.0,-787.6119829036332
0.0,3000.0,0.0,0.0,1.0,362.0,1.0,297.0,-221.8607667113493
0.0,3000.0,0.0,0.0,3.0,324.0,2.0,1326.0,-341.1750898424021
0.0,3000.0,1.0,60.0,1.0,52.0,1.0,1212.0,-246.59196595297945
0.0,3000.0,1.0,71.0,9.0,1058.0,1.0,185.0,-621.9632461246132
0.0,3000.0,2.0,131.0,2.0,94.0,1.0,146.0,-191.46544178582073
0.0,3000.0,1.0,48.0,0.0,0.0,2.0,1325.0,-224.18269369001789
0.0,3000.0,0.0,0.0,1.0,70.0,1.0,1868.0,-286.991665026066
0.0,3000.0,1.0,98.0,2.0,390.0,1.0,1739.0,-522.0588800179714
0.0,3000.0,1.0,98.0,7.0,776.0,1.0,477.0,-545.5640270546535
