completion_index,native_return,learning_return,shaping_return
0,-880.3213821979883,-880.3213821979883,0.0
1,-303.37671410217405,-303.37671410217405,0.0
2,-322.83230974975186,-322.83230974975186,0.0
3,-334.8023561159959,-334.8023561159959,0.0
4,-515.2466053388547,-515.2466053388547,0.0
5,-264.00983771130836,-264.00983771130836,0.0
6,-69.65405797763364,-69.65405797763364,0.0
7,-297.7348235651078,-297.7348235651078,0.0
8,-351.5771163363398,-351.5771163363398,0.0
9,-663.3218177489364,-663.3218177489364,0.0
10,-131.01303368247562,-131.01303368247562,0.0
11,-174.72972864107174,-174.72972864107174,0.0
12,-394.88958318039636,-394.88958318039636,0.0
13,-408.3875959053629,-408.3875959053629,0.0
14,-202.60361928600088,-202.60361928600088,0.0
15,-326.6554084526743,-326.6554084526743,0.0
16,-357.9733577701072,-357.9733577701072,0.0
17,-288.9271772789725,-288.9271772789725,0.0
18,-377.0259596171587,-377.0259596171587,0.0
19,-297.3480521678846,-297.3480521678846,0.0
20,-296.0172982717043,-296.0172982717043,0.0
21,-442.18774904250796,-442.18774904250796,0.0
22,-378.98709537433444,-378.98709537433444,0.0
23,-278.69538946765186,-278.69538946765186,0.0
24,-607.6090935115487,-607.6090935115487,0.0
25,-577.5581973395422,-577.5581973395422,0.0
26,-584.038304978696,-584.038304978696,0.0
27,-389.64106513334616,-389.64106513334616,0.0
28,-241.3653821610131,-241.3653821610131,0.0
29,-763.8055956116757,-763.8055956116757,0.0
30,-1221.4936143127413,-1221.4936143127413,0.0
31,-225.15454668052897,-225.15454668052897,0.0
32,-855.2525891950179,-855.2525891950179,0.0
33,-462.0662059868894,-462.0662059868894,0.0
34,-1136.3827759401827,-1136.3827759401827,0.0
35,-598.9574527313072,-598.9574527313072,0.0
36,-1004.800728354818,-1004.800728354818,0.0
37,-599.9498622169702,-599.9498622169702,0.0
38,-1065.503436113317,-1065.503436113317,0.0
39,-1020.3727533418083,-1020.3727533418083,0.0
40,-17.011784072875507,-17.011784072875507,0.0
41,-587.2903806505246,-587.2903806505246,0.0
42,-638.6519879412266,-638.6519879412266,0.0
43,-134.87070516180165,-134.87070516180165,0.0
44,-378.01611485389674,-378.01611485389674,0.0
45,-417.9435712040546,-417.9435712040546,0.0
46,-164.5826508080774,-164.5826508080774,0.0
47,-399.572545094112,-399.572545094112,0.0
48,-217.6119208725345,-217.6119208725345,0.0
49,-139.66503667143718,-139.66503667143718,0.0
50,-449.99950067993814,-449.99950067993814,0.0
51,-952.4087496942383,-952.4087496942383,0.0
52,-633.8543771024889,-633.8543771024889,0.0
53,-878.2297349475947,-878.2297349475947,0.0
54,-352.8989484588088,-352.8989484588088,0.0
55,-947.9964742983731,-947.9964742983731,0.0
