rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,4343,777,5120,2,20,1,1,61.23599380000087,70.92234044873031,-1.1933689630781614,-119.33689630781615,1.0,0.02417189022526145,0.743522584438324,0.024454588070511818,0.26171875
2,8740,1500,10240,4,40,51,11,84.51177439999992,103.41754225432531,-1.0410850209154678,-104.10850209154678,1.0,-0.005133021385408938,0.16272744975984096,0.010256327688694,0.16783560007810594
3,12880,2480,15360,6,70,101,21,108.75801930000125,118.42804864321258,-0.9722510849475309,-97.22510849475307,1.0,-0.009327340208692476,0.04662757847458124,0.01982882060110569,0.1739417614042759
4,16677,3803,20480,9,99,141,31,132.83977730000151,125.5422158856616,-0.8866605136605211,-88.66605136605212,1.0,-0.00847687838413549,0.037308275885879996,0.014021703973412514,0.1698577924631536
5,20993,4607,25600,12,120,191,41,154.81082440000137,135.6042129570871,-0.7782921560743371,-77.82921560743371,1.0,-0.011161072383401915,0.024235724359750747,0.011035892181098461,0.15742365077137946
6,25348,5372,30720,14,144,241,51,177.70904549999977,142.63764643314136,-0.6966337642231831,-69.66337642231832,1.0,-0.007248739004135132,0.03771765105426311,0.011264433152973652,0.1239045911282301
7,29616,6224,35840,17,172,291,61,200.1710593000007,147.95345592698223,-0.7255231414744379,-72.55231414744377,1.0,-0.010702342689037324,0.024727597571909427,0.012123632244765759,0.15974064275622368
8,33738,7222,40960,20,200,341,71,220.32274850000067,153.1298979778291,-0.6540291867762262,-65.40291867762261,1.0,-0.009038222818635405,0.014530109642073512,0.014849933795630932,0.16795823372900487
9,38291,7789,46080,22,220,391,81,246.89088980000088,155.09280245625274,-0.683303290979508,-68.3303290979508,1.0,-0.009305247697047889,0.02727738328278065,0.011438671499490738,0.1354294741153717
10,42425,8775,51200,24,243,441,91,273.3376074000007,155.21098762643186,-0.7247888203695849,-72.47888203695848,1.0,-0.008495596279390156,0.02053159451112151,0.009964515455067158,0.16565686665475368
11,46671,9649,56320,27,272,491,101,302.7802158000013,154.14151111784693,-0.6164513031303602,-61.645130313036034,1.0,-0.011711422754451632,0.015112590864300729,0.012728409841656685,0.1370872400701046
12,51029,10411,61440,29,293,541,111,335.65150770000037,152.0297058984429,-0.9440445135731816,-94.40445135731815,1.0,-0.00824818473542109,0.053213278129696846,0.012560436502099037,0.14046889945864677
13,55077,11483,66560,32,320,581,121,363.84743620000154,151.37388509651333,-1.0414715048850973,-104.14715048850974,1.0,-0.009321458463091403,0.032852437999099496,0.011286988854408264,0.14388687945902348
14,59161,12519,71680,34,344,621,131,383.8335315000004,154.13192216115684,-1.076275130095026,-107.6275130095026,1.0,-0.011090496578253806,0.02791117571759969,0.011974508874118328,0.12263299385085702
15,63217,13583,76800,36,368,661,141,409.57070270000077,154.34941899715105,-1.1013743763850883,-110.13743763850881,1.0,-0.015413823541894089,0.015590204251930117,0.012919838540256023,0.1562619091011584
16,67328,14592,81920,39,393,711,151,436.35006430000067,154.2981324134983,-0.8062428677999072,-80.62428677999071,1.0,-0.010906459190882742,0.01868094561621547,0.015749190002679825,0.1625520844757557
17,71429,15611,87040,41,419,715,152,464.44963700000153,153.7927781823194,-0.7233319644990552,-72.33319644990554,1.0,0.0047345410101115705,0.042226772755384445,0.018960077315568924,0.18406250476837158
18,75379,16781,92160,44,442,755,162,495.79191340000034,152.03757456040822,-0.5927526189917078,-59.27526189917079,1.0,-0.013689233979675919,0.016996407089754938,0.012531021609902382,0.1473140638321638
19,79541,17739,97280,46,465,805,172,522.3852832000011,152.2650092911343,-0.7523402525754402,-75.23402525754403,1.0,-0.00830175566719845,0.028228974733501673,0.01738470233976841,0.15323271870613098
20,83746,18654,102400,49,492,855,182,550.0504756999999,152.25148181796223,-0.8048866769188673,-80.48866769188675,1.0,-0.013229039781726896,0.021624835096299647,0.014766889624297619,0.17616578221321105
21,87940,19580,107520,51,519,905,192,575.6918925999998,152.75532125845336,-0.9320535990463149,-93.20535990463151,1.0,-0.0009996164951007814,0.0199088803678751,0.029104402288794518,0.19855389073491098
22,92127,20513,112640,54,540,955,202,603.9157027000001,152.5494362675395,-0.9697503606877979,-96.97503606877981,1.0,-0.010910664647817613,0.02433949114754796,0.023770267143845558,0.19336280971765518
23,95903,21857,117760,56,561,995,212,628.6411820000012,152.5560251953074,-1.0401013520459954,-104.01013520459952,1.0,-0.010870152339339256,0.024233149201609194,0.010671354830265045,0.14056729357689618
