waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,632.0,3.0,248.0,0.0,0.0,0.0,0.0,-197.12334362666488
1.0,646.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.092702205180366
1.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41016712727195
1.0,683.0,0.0,0.0,1.0,329.0,0.0,0.0,-127.09108209207517
1.0,690.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.38820542610174
1.0,706.0,6.0,350.0,0.0,0.0,0.0,0.0,-293.58559911998697
1.0,719.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.388245164692954
1.0,744.0,2.0,151.0,0.0,0.0,0.0,0.0,-105.39222297133043
1.0,769.0,3.0,271.0,0.0,0.0,0.0,0.0,-218.8750334794964
1.0,782.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.094475230961315
1.0,783.0,0.0,0.0,1.0,180.0,0.0,0.0,-52.591835175743874
1.0,804.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.388188661654148
1.0,847.0,0.0,0.0,1.0,276.0,0.0,0.0,-100.59305619155803
1.0,857.0,0.0,0.0,1.0,30.0,0.0,0.0,22.406934752611757
1.0,886.0,3.0,606.0,0.0,0.0,0.0,0.0,-535.6861511553578
1.0,891.0,4.0,552.0,0.0,0.0,0.0,0.0,-484.61867489943984
1.0,899.0,2.0,207.0,0.0,0.0,0.0,0.0,-158.3526556276611
1.0,899.0,2.0,230.0,0.0,0.0,0.0,0.0,-180.10326298675045
1.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40533035307515
1.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40437562537391
1.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40984139073936
1.0,701.0,0.0,0.0,1.0,179.0,0.0,0.0,-52.09136914821036
1.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40868267880681
1.0,732.0,1.0,42.0,2.0,297.0,0.0,0.0,-150.81137805225177
1.0,804.0,0.0,0.0,1.0,2.0,0.0,0.0,36.407496151631776
1.0,627.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.659255562494323
1.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,37.408303276484844
1.0,719.0,1.0,54.0,1.0,33.0,0.0,0.0,-30.15897793762082
1.0,749.0,0.0,0.0,1.0,194.0,0.0,0.0,-59.59232111314814
1.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40507320396102
1.0,774.0,0.0,0.0,1.0,343.0,0.0,0.0,-134.09255015703712
1.0,961.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.335319020256506
1.0,795.0,0.0,0.0,1.0,275.0,0.0,0.0,-100.0921138152359
1.0,989.0,2.0,111.0,1.0,19.0,0.0,0.0,-77.06696163910698
1.0,992.0,1.0,42.0,1.0,160.0,0.0,0.0,-82.31425318395569
1.0,1023.0,1.0,51.0,2.0,473.0,0.0,0.0,-247.32557072110205
1.0,994.0,0.0,0.0,3.0,612.0,0.0,0.0,-268.5945529115262
1.0,992.0,1.0,44.0,3.0,531.0,0.0,0.0,-269.70609716756667
1.0,1019.0,1.0,44.0,4.0,437.0,0.0,0.0,-222.70610792888152
1.0,1029.0,0.0,0.0,2.0,547.0,0.0,0.0,-236.09472584877832
1.0,656.0,1.0,37.0,1.0,36.0,0.0,0.0,-15.581221480609493
1.0,687.0,2.0,73.0,1.0,21.0,0.0,0.0,-42.1271345069136
1.0,786.0,5.0,411.0,1.0,18.0,0.0,0.0,-360.27467322933353
1.0,794.0,1.0,36.0,1.0,30.0,0.0,0.0,-11.638302519161272
1.0,818.0,1.0,54.0,1.0,22.0,0.0,0.0,-24.660564458001986
1.0,632.0,0.0,0.0,1.0,48.0,0.0,0.0,13.409371954898734
1.0,653.0,3.0,367.0,1.0,131.0,0.0,0.0,-375.16218335414516
1.0,862.0,1.0,90.0,2.0,451.0,0.0,0.0,-273.2061717009945
1.0,871.0,2.0,263.0,1.0,18.0,0.0,0.0,-220.310994007495
1.0,891.0,1.0,36.0,1.0,17.0,0.0,0.0,-5.139549676277248
1.0,909.0,2.0,145.0,0.0,0.0,0.0,0.0,-99.71877585025524
1.0,786.0,3.0,361.0,1.0,148.0,0.0,0.0,-377.988836056787
1.0,1003.0,2.0,115.0,1.0,17.0,0.0,0.0,-79.84991127463363
1.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,37.408220866873386
1.0,829.0,2.0,110.0,1.0,151.0,0.0,0.0,-142.11873523075678
1.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40601306939578
1.0,881.0,1.0,56.0,2.0,191.0,0.0,0.0,-111.05352000464848
1.0,964.0,1.0,60.0,1.0,95.0,0.0,0.0,-66.83628010464389
1.0,969.0,2.0,118.0,1.0,162.0,0.0,0.0,-155.18615871964937
