episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,653.0,0,0.0,0,0.0,0,0.0,37.40295452539732
1,1,690.0,0,0.0,0,0.0,0,0.0,37.398536928114076
2,1,695.0,0,0.0,0,0.0,0,0.0,37.400632705800895
3,1,749.0,0,0.0,0,0.0,0,0.0,37.405277194103235
4,1,902.0,0,0.0,0,0.0,0,0.0,37.40210946614255
5,1,951.0,0,0.0,0,0.0,0,0.0,37.27820118615057
6,1,1040.0,0,0.0,0,0.0,0,0.0,37.2720256174811
7,1,1063.0,0,0.0,0,0.0,0,0.0,37.34092052545389
8,1,1111.0,0,0.0,0,0.0,0,0.0,37.312899643922364
9,1,1271.0,0,0.0,0,0.0,0,0.0,37.30226425299755
10,1,695.0,0,0.0,0,0.0,0,0.0,37.40060987309031
11,1,707.0,0,0.0,0,0.0,0,0.0,37.40009737232383
12,1,714.0,0,0.0,0,0.0,0,0.0,37.38292799180332
13,1,824.0,0,0.0,0,0.0,0,0.0,37.396146282243535
14,1,833.0,0,0.0,0,0.0,0,0.0,37.39745661787875
15,1,865.0,0,0.0,0,0.0,0,0.0,37.31095401109541
16,1,871.0,0,0.0,0,0.0,0,0.0,37.36992723295172
17,1,916.0,0,0.0,0,0.0,0,0.0,37.37527512519417
18,1,1041.0,0,0.0,0,0.0,0,0.0,37.37332847012013
19,1,1047.0,0,0.0,0,0.0,0,0.0,37.25995847359309
