episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,642.0,1,44.0,0,0.0,0,0.0,-4.195834530311025
1,1,651.0,0,0.0,0,0.0,0,0.0,37.41527460826397
2,1,690.0,0,0.0,0,0.0,0,0.0,37.41359402032708
3,1,754.0,0,0.0,0,0.0,0,0.0,37.413181752812655
4,1,848.0,1,24.0,0,0.0,0,0.0,14.71618011316361
5,1,894.0,0,0.0,0,0.0,0,0.0,37.29225600350187
6,1,897.0,2,102.0,0,0.0,0,0.0,-59.13749744219443
7,1,1073.0,2,119.0,0,0.0,0,0.0,-75.18773763640328
8,1,1130.0,3,123.0,0,0.0,0,0.0,-79.00316015626552
9,1,1209.0,3,160.0,0,0.0,0,0.0,-113.99263390597652
10,1,681.0,2,88.0,0,0.0,0,0.0,-45.80613486895573
11,1,684.0,2,118.0,0,0.0,0,0.0,-74.17738567961842
12,1,688.0,4,209.0,0,0.0,0,0.0,-160.23591719173464
13,1,692.0,4,214.0,0,0.0,0,0.0,-164.97158943153056
14,1,785.0,4,203.0,0,0.0,0,0.0,-154.56194741705232
15,1,818.0,3,158.0,0,0.0,0,0.0,-112.00512461529618
16,1,827.0,5,395.0,0,0.0,0,0.0,-336.1378054328728
17,1,865.0,2,275.0,0,0.0,0,0.0,-222.65404763135533
18,1,868.0,0,0.0,0,0.0,0,0.0,37.31969220560411
19,1,1035.0,4,202.0,0,0.0,0,0.0,-153.61824031363966
