episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,623.0,0,0.0,1,295.0,0,0.0,-110.0979897360346
1,1,685.0,0,0.0,0,0.0,0,0.0,37.39934391769726
2,1,688.0,0,0.0,0,0.0,0,0.0,37.388819051863955
3,1,729.0,0,0.0,0,0.0,0,0.0,37.35418632643089
4,1,762.0,0,0.0,0,0.0,0,0.0,37.38840694619339
5,1,774.0,0,0.0,0,0.0,0,0.0,37.37699759073944
6,1,996.0,0,0.0,0,0.0,0,0.0,37.34550309035352
7,1,1019.0,0,0.0,0,0.0,0,0.0,37.35974153152236
8,1,1027.0,1,27.0,0,0.0,0,0.0,11.828154414649472
9,1,1043.0,1,27.0,2,19.0,0,0.0,2.3268619565578064
10,1,660.0,2,99.0,0,0.0,0,0.0,-56.21973678085363
11,1,664.0,1,56.0,0,0.0,0,0.0,-15.565139758914185
12,1,678.0,3,144.0,0,0.0,0,0.0,-98.78877753499486
13,1,701.0,1,55.0,0,0.0,0,0.0,-14.618136483667456
14,1,754.0,2,73.0,0,0.0,0,0.0,-31.636544225786537
15,1,800.0,3,132.0,0,0.0,0,0.0,-87.44065962276267
16,1,824.0,0,0.0,1,383.0,0,0.0,-154.10785431928304
17,1,828.0,5,334.0,0,0.0,0,0.0,-278.48936876936807
18,1,868.0,1,185.0,0,0.0,0,0.0,-137.5801117824436
19,1,1015.0,4,212.0,0,0.0,0,0.0,-163.1089484372293
