episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,652.0,1,43.0,0,0.0,0,0.0,-3.2493485618336635
1,1,655.0,0,0.0,0,0.0,0,0.0,37.415416041564995
2,1,702.0,0,0.0,0,0.0,0,0.0,37.41566804536034
3,1,765.0,0,0.0,0,0.0,0,0.0,37.41515149088086
4,1,868.0,1,36.0,0,0.0,0,0.0,3.369939174338633
5,1,901.0,0,0.0,0,0.0,0,0.0,37.291422652705435
6,1,913.0,2,103.0,0,0.0,0,0.0,-60.08382370902961
7,1,1099.0,2,122.0,0,0.0,0,0.0,-78.02664825508684
8,1,1152.0,3,137.0,0,0.0,0,0.0,-92.24322983499586
9,1,1236.0,3,163.0,0,0.0,0,0.0,-116.83019694418822
10,1,689.0,3,98.0,0,0.0,0,0.0,-55.26279216700634
11,1,692.0,2,121.0,0,0.0,0,0.0,-77.01349513558759
12,1,698.0,4,186.0,0,0.0,0,0.0,-138.4840649830713
13,1,707.0,4,211.0,0,0.0,0,0.0,-162.1338122406168
14,1,795.0,4,201.0,0,0.0,0,0.0,-152.66933970387254
15,1,829.0,3,170.0,0,0.0,0,0.0,-123.35342725416905
16,1,852.0,5,427.0,0,0.0,0,0.0,-366.39751718016805
17,1,892.0,2,290.0,0,0.0,0,0.0,-236.83707503066438
18,1,895.0,0,0.0,0,0.0,0,0.0,37.30882552835365
19,1,1065.0,5,200.0,0,0.0,0,0.0,-151.7243062295316
