episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,655.0,1,38.0,0,0.0,0,0.0,1.4797120784901878
1,1,667.0,0,0.0,0,0.0,0,0.0,37.41424471673501
2,1,708.0,0,0.0,0,0.0,0,0.0,37.416003355083575
3,1,788.0,0,0.0,0,0.0,0,0.0,37.416198051381095
4,1,890.0,1,46.0,0,0.0,0,0.0,-6.0863566440321435
5,1,938.0,2,113.0,0,0.0,0,0.0,-69.54399945526711
6,1,982.0,0,0.0,0,0.0,0,0.0,37.270944506535
7,1,1120.0,2,126.0,0,0.0,0,0.0,-81.81056208404378
8,1,1182.0,3,153.0,0,0.0,0,0.0,-107.37961869618559
9,1,1258.0,3,158.0,0,0.0,0,0.0,-112.10260001930621
10,1,697.0,2,119.0,0,0.0,0,0.0,-75.12137278575166
11,1,701.0,3,140.0,0,0.0,0,0.0,-94.98171148890435
12,1,705.0,4,202.0,0,0.0,0,0.0,-153.6231012264334
13,1,711.0,4,157.0,0,0.0,0,0.0,-111.05874259752838
14,1,807.0,3,171.0,0,0.0,0,0.0,-124.29791141705982
15,1,848.0,3,183.0,0,0.0,0,0.0,-135.64675428394605
16,1,854.0,5,436.0,0,0.0,0,0.0,-374.9081967443731
17,1,891.0,2,290.0,0,0.0,0,0.0,-236.8379348730636
18,1,920.0,0,0.0,0,0.0,0,0.0,37.306457476333186
19,1,1071.0,4,180.0,0,0.0,0,0.0,-132.8112893123803
