episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL002,1,675.0,0,0.0,1,36.0,0,0.0,-35.01501018001034
0,KL009,1,699.0,1,197.0,2,103.0,0,0.0,-299.0050335890602
0,KL007,1,767.0,0,0.0,1,138.0,0,0.0,-137.00287204038096
0,KL001,1,772.0,0,0.0,1,77.0,0,0.0,-76.01377951798732
0,KL004,1,801.0,1,56.0,1,405.0,0,0.0,-460.018651330683
0,KL008,1,875.0,2,246.0,1,433.0,0,0.0,-678.0174922746107
0,KL005,1,913.0,1,190.0,2,277.0,0,0.0,-466.01644961771876
0,KL006,1,957.0,0,0.0,0,0.0,0,0.0,0.9942804349796251
0,KL0010,1,1013.0,0,0.0,0,0.0,0,0.0,0.9981105091177672
0,KL003,1,1043.0,1,197.0,3,641.0,0,0.0,-837.0004035754507
1,KL009,1,657.0,1,60.0,1,253.0,0,0.0,-312.00159472955073
1,KL006,1,680.0,0,0.0,0,0.0,0,0.0,0.9962189670024296
1,KL004,1,742.0,0,0.0,0,0.0,0,0.0,0.9995069670285401
1,KL002,1,751.0,0,0.0,2,157.0,0,0.0,-156.00247916698856
1,KL003,1,792.0,1,60.0,1,230.0,0,0.0,-289.0040876170687
1,KL007,1,891.0,0,0.0,1,279.0,0,0.0,-278.00746513494516
1,KL005,1,937.0,0,0.0,1,628.0,0,0.0,-627.0030402498194
1,KL001,1,951.0,0,0.0,1,50.0,0,0.0,-49.02574644182776
1,KL0010,1,982.0,0,0.0,1,362.0,0,0.0,-361.0165212883004
1,KL008,1,1071.0,0,0.0,1,215.0,0,0.0,-214.00187909987585
2,KL006,1,626.0,1,55.0,0,0.0,0,0.0,-54.002491082931016
2,KL004,1,633.0,0,0.0,0,0.0,0,0.0,0.9978852257512941
2,KL008,1,653.0,0,0.0,1,182.0,0,0.0,-181.00270580382136
2,KL005,1,707.0,1,19.0,1,48.0,0,0.0,-66.00011332486541
2,KL003,1,736.0,1,19.0,1,109.0,0,0.0,-127.00217672502674
2,KL007,1,775.0,1,55.0,0,0.0,0,0.0,-54.002456993581205
2,KL002,1,784.0,0,0.0,2,404.0,0,0.0,-403.00126263176816
2,KL009,1,807.0,1,305.0,0,0.0,0,0.0,-304.00300599525224
2,KL0010,1,858.0,1,305.0,0,0.0,0,0.0,-304.0042541628738
2,KL001,1,1047.0,0,0.0,0,0.0,0,0.0,0.9997028383408595
3,KL003,1,686.0,1,33.0,0,0.0,0,0.0,-32.0023007734225
3,KL009,1,713.0,1,56.0,1,252.0,0,0.0,-307.0000114624892
3,KL002,1,833.0,1,59.0,0,0.0,0,0.0,-58.00611253323941
3,KL005,1,845.0,0,0.0,0,0.0,0,0.0,0.9985344482239482
3,KL006,1,865.0,1,33.0,0,0.0,0,0.0,-32.00777386039528
3,KL007,1,873.0,1,21.0,0,0.0,0,0.0,-20.008838570373495
3,KL008,1,913.0,1,21.0,1,186.0,0,0.0,-206.00047428360938
3,KL001,1,988.0,0,0.0,1,199.0,0,0.0,-198.00101387800277
3,KL0010,1,1023.0,1,229.0,2,343.0,0,0.0,-571.0023978447144
3,KL004,1,1052.0,3,344.0,0,0.0,0,0.0,-343.0118687034454
4,KL003,1,697.0,0,0.0,0,0.0,0,0.0,0.9990558759105499
4,KL007,1,718.0,0,0.0,0,0.0,0,0.0,0.9977940187577621
4,KL009,1,719.0,0,0.0,1,283.0,0,0.0,-282.0114340386015
4,KL005,1,737.0,0,0.0,1,95.0,0,0.0,-94.0146635059398
4,KL008,1,751.0,0,0.0,0,0.0,0,0.0,0.999711795200391
4,KL002,1,792.0,0,0.0,2,405.0,0,0.0,-404.0012468428564
4,KL004,1,874.0,0,0.0,2,428.0,0,0.0,-427.019726484782
4,KL006,1,983.0,1,113.0,0,0.0,0,0.0,-112.00687663518936
4,KL0010,1,984.0,1,113.0,2,327.0,0,0.0,-439.0231561787922
4,KL001,1,1005.0,0,0.0,1,264.0,0,0.0,-263.0063922169488
5,KL0010,1,689.0,2,105.0,0,0.0,0,0.0,-104.00726400630695
5,KL005,1,777.0,1,60.0,0,0.0,0,0.0,-59.003748573314525
