episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL002,1,675.0,0,0.0,1,36.0,0,0.0,19.415611435346023
0,KL009,1,699.0,1,197.0,2,103.0,0,0.0,-200.3858222078893
0,KL007,1,767.0,0,0.0,1,138.0,0,0.0,-31.58313322080442
0,KL001,1,772.0,0,0.0,1,77.0,0,0.0,-1.0842612878184212
0,KL004,1,801.0,1,56.0,1,405.0,0,0.0,-218.0438416069819
0,KL008,1,875.0,2,246.0,1,433.0,0,0.0,-411.72630261368863
0,KL005,1,913.0,1,190.0,2,277.0,0,0.0,-280.76711831132286
0,KL006,1,957.0,0,0.0,0,0.0,0,0.0,37.416572284103935
0,KL0010,1,1013.0,0,0.0,0,0.0,0,0.0,37.4169683958772
0,KL003,1,1043.0,1,197.0,3,641.0,0,0.0,-469.3853433652259
1,KL009,1,657.0,1,60.0,1,253.0,0,0.0,-145.82486876515114
1,KL006,1,680.0,0,0.0,0,0.0,0,0.0,37.41677276987245
1,KL004,1,742.0,0,0.0,0,0.0,0,0.0,37.417112819561794
1,KL002,1,751.0,0,0.0,2,157.0,0,0.0,-41.083092589273356
1,KL003,1,792.0,1,60.0,1,230.0,0,0.0,-134.32512658316193
1,KL007,1,891.0,0,0.0,1,279.0,0,0.0,-102.08360824524704
1,KL005,1,937.0,0,0.0,1,628.0,0,0.0,-276.58315061726614
1,KL001,1,951.0,0,0.0,1,50.0,0,0.0,12.414501075715037
1,KL0010,1,982.0,0,0.0,1,362.0,0,0.0,-143.5845448456457
1,KL008,1,1071.0,0,0.0,1,215.0,0,0.0,-70.08303052947005
2,KL006,1,626.0,1,55.0,0,0.0,0,0.0,-14.59647249683389
2,KL004,1,633.0,0,0.0,0,0.0,0,0.0,37.41694509674758
2,KL008,1,653.0,0,0.0,1,182.0,0,0.0,-53.58311602838045
2,KL005,1,707.0,1,19.0,1,48.0,0,0.0,-4.55110599827519
2,KL003,1,736.0,1,19.0,1,109.0,0,0.0,-35.05131939808615
2,KL007,1,775.0,1,55.0,0,0.0,0,0.0,-14.596468971264322
2,KL002,1,784.0,0,0.0,2,404.0,0,0.0,-164.582966773452
2,KL009,1,807.0,1,305.0,0,0.0,0,0.0,-251.02097427342704
2,KL0010,1,858.0,1,305.0,0,0.0,0,0.0,-251.02110336071686
2,KL001,1,1047.0,0,0.0,0,0.0,0,0.0,37.41713307685449
3,KL003,1,686.0,1,33.0,0,0.0,0,0.0,6.208898655327705
3,KL009,1,713.0,1,56.0,1,252.0,0,0.0,-141.54191384501772
3,KL002,1,833.0,1,59.0,0,0.0,0,0.0,-18.379638208808693
3,KL005,1,845.0,0,0.0,0,0.0,0,0.0,37.41701224026898
3,KL006,1,865.0,1,33.0,0,0.0,0,0.0,6.208332620805184
3,KL007,1,873.0,1,21.0,0,0.0,0,0.0,17.55659603610248
3,KL008,1,913.0,1,21.0,1,186.0,0,0.0,-75.44253891733644
3,KL001,1,988.0,0,0.0,1,199.0,0,0.0,-62.08294104698007
3,KL0010,1,1023.0,1,229.0,2,343.0,0,0.0,-350.64787902644366
3,KL004,1,1052.0,3,344.0,0,0.0,0,0.0,-287.90410483713384
4,KL003,1,697.0,0,0.0,0,0.0,0,0.0,37.41706616706991
4,KL007,1,718.0,0,0.0,0,0.0,0,0.0,37.41693566398919
4,KL009,1,719.0,0,0.0,1,283.0,0,0.0,-104.08401871496866
4,KL005,1,737.0,0,0.0,1,95.0,0,0.0,-10.084352711123252
4,KL008,1,751.0,0,0.0,0,0.0,0,0.0,37.41713400318578
4,KL002,1,792.0,0,0.0,2,405.0,0,0.0,-165.08296514054015
4,KL004,1,874.0,0,0.0,2,428.0,0,0.0,-176.58487633167337
4,KL006,1,983.0,1,113.0,0,0.0,0,0.0,-69.44739811443287
4,KL0010,1,984.0,1,113.0,2,327.0,0,0.0,-232.9490817682348
4,KL001,1,1005.0,0,0.0,1,264.0,0,0.0,-94.58349728252549
5,KL0010,1,689.0,2,105.0,0,0.0,0,0.0,-61.881855824154854
5,KL005,1,777.0,1,60.0,0,0.0,0,0.0,-19.325091518769426
5,KL006,1,782.0,3,181.0,0,0.0,0,0.0,-133.75474175045102
5,KL007,1,797.0,0,0.0,0,0.0,0,0.0,37.41478340464509
5,KL003,1,798.0,0,0.0,0,0.0,0,0.0,37.41692441415147
5,KL009,1,880.0,0,0.0,1,125.0,0,0.0,-25.08298813075355
5,KL008,1,894.0,0,0.0,0,0.0,0,0.0,37.415945092402005
5,KL004,1,1004.0,0,0.0,0,0.0,0,0.0,37.41568580594646
5,KL002,1,1015.0,2,71.0,0,0.0,0,0.0,-29.728643643624693
5,KL001,1,1026.0,2,87.0,0,0.0,0,0.0,-44.85860178711951
6,KL004,1,641.0,0,0.0,1,64.0,0,0.0,5.416673749503815
6,KL008,1,678.0,1,65.0,1,175.0,0,0.0,-111.55340696679367
6,KL0010,1,826.0,1,65.0,1,3.0,0,0.0,-25.553881370467124
6,KL006,1,855.0,0,0.0,1,31.0,0,0.0,21.916470176323728
6,KL003,1,857.0,2,197.0,1,105.0,0,0.0,-201.38532715228334
6,KL001,1,895.0,2,148.0,0,0.0,0,0.0,-102.54639673390255
6,KL005,1,896.0,0,0.0,2,123.0,0,0.0,-24.083015617348607
6,KL007,1,971.0,2,106.0,0,0.0,0,0.0,-62.827502876384486
6,KL009,1,998.0,2,155.0,0,0.0,0,0.0,-109.16632518209981
