episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,772.0,1,36.0,1,77.0,0,0.0,-112.0137795179873
1,KL001,1,690.0,2,174.0,1,247.0,0,0.0,-420.0006379208333
2,KL001,1,784.0,1,55.0,0,0.0,0,0.0,-54.000059996426124
3,KL001,1,774.0,0,0.0,2,101.0,0,0.0,-100.000496946234
4,KL001,1,827.0,2,371.0,1,132.0,0,0.0,-502.0157427412916
5,KL001,1,668.0,0,0.0,3,270.0,0,0.0,-269.0135888113849
6,KL001,1,864.0,3,144.0,0,0.0,0,0.0,-143.01378558670646
7,KL001,1,948.0,0,0.0,1,15.0,0,0.0,-14.004105253103251
8,KL001,1,985.0,2,137.0,1,133.0,0,0.0,-269.0096250565951
9,KL001,1,908.0,0,0.0,1,379.0,0,0.0,-378.00858523851736
10,KL001,1,967.0,0,0.0,3,443.0,0,0.0,-442.0039628176235
11,KL001,1,797.0,0,0.0,0,0.0,0,0.0,0.9999912593392665
12,KL001,1,1020.0,2,129.0,0,0.0,0,0.0,-128.0133748923658
13,KL001,1,694.0,3,95.0,0,0.0,0,0.0,-94.02132200846359
14,KL001,1,770.0,0,0.0,1,92.0,0,0.0,-91.00721038934377
15,KL001,1,710.0,2,113.0,0,0.0,0,0.0,-112.00294874079059
16,KL001,1,765.0,2,138.0,0,0.0,0,0.0,-137.00947613450944
17,KL001,1,824.0,1,23.0,1,44.0,0,0.0,-66.00308870952134
18,KL001,1,706.0,1,61.0,0,0.0,0,0.0,-60.02353419587196
19,KL001,1,633.0,1,57.0,0,0.0,0,0.0,-56.01397222368503
