episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,0.0,3000.0,1.0,100.0,0.0,0.0,1.0,2222.0,-394.1134395212757
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,0.0,3000.0,3.0,312.0,0.0,0.0,1.0,2752.0,-665.8551745395835
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,0.0,3000.0,0.0,0.0,3.0,638.0,1.0,311.0,-361.7653059973948
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,0.0,3000.0,1.0,100.0,0.0,0.0,1.0,2516.0,-433.6325117188868
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2585.0,-348.32616230893984
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,0.0,3000.0,2.0,740.0,0.0,0.0,1.0,2199.0,-996.3839595265911
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2179.0,-293.99773735441687
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,0.0,3000.0,2.0,85.0,0.0,0.0,1.0,2374.0,-400.3796137659834
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,0.0,3000.0,3.0,779.0,0.0,0.0,1.0,2610.0,-1088.409757660827
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,0.0,3000.0,2.0,246.0,0.0,0.0,1.0,2285.0,-540.5585546502855
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,0.0,3000.0,0.0,0.0,5.0,917.0,1.0,812.0,-568.6800499432173
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,0.0,3000.0,1.0,358.0,0.0,0.0,1.0,1955.0,-602.3871646783097
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,0.0,3000.0,1.0,59.0,0.0,0.0,1.0,1816.0,-300.9209733350282
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,0.0,3000.0,1.0,649.0,4.0,549.0,1.0,1967.0,-1153.6569357024114
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,0.0,3000.0,1.0,59.0,4.0,1097.0,1.0,1182.0,-764.0574589665274
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2583.0,-348.1075736983417
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,0.0,3000.0,1.0,358.0,1.0,121.0,1.0,1984.0,-666.6591530344982
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,0.0,3000.0,0.0,0.0,1.0,168.0,2.0,2034.0,-358.1898123993328
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1901.0,-256.4894297980134
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,0.0,3000.0,1.0,649.0,4.0,479.0,1.0,2000.0,-1123.0769764640308
