episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,657.0,1,41.0,0,0.0,0,0.0,-1.356445770408385
1,1,669.0,0,0.0,0,0.0,0,0.0,37.417163769762766
2,1,704.0,0,0.0,0,0.0,0,0.0,37.417163794679766
3,1,775.0,0,0.0,0,0.0,0,0.0,37.41716378756016
4,1,868.0,1,42.0,0,0.0,0,0.0,-2.3021435753407005
5,1,928.0,2,107.0,0,0.0,0,0.0,-63.868130194294984
6,1,942.0,0,0.0,0,0.0,0,0.0,37.28321477263889
7,1,1122.0,2,125.0,0,0.0,0,0.0,-80.8645068076975
8,1,1180.0,3,146.0,0,0.0,0,0.0,-100.75922644048023
9,1,1257.0,3,163.0,0,0.0,0,0.0,-116.83043763707784
10,1,698.0,3,141.0,0,0.0,0,0.0,-95.92622520311457
11,1,702.0,2,121.0,0,0.0,0,0.0,-77.01226932111479
12,1,704.0,4,205.0,0,0.0,0,0.0,-156.45902452930034
13,1,705.0,4,188.0,0,0.0,0,0.0,-140.37402152807576
14,1,806.0,4,187.0,0,0.0,0,0.0,-139.42832374226694
15,1,842.0,3,176.0,0,0.0,0,0.0,-129.02564798761347
16,1,848.0,5,430.0,0,0.0,0,0.0,-369.23288769009065
17,1,890.0,2,288.0,0,0.0,0,0.0,-234.94380089199768
18,1,913.0,0,0.0,0,0.0,0,0.0,37.307435691482524
19,1,1065.0,5,198.0,0,0.0,0,0.0,-149.83099945701116
