episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,639.0,1,44.0,0,0.0,0,0.0,-4.19449231688742
1,1,659.0,0,0.0,0,0.0,0,0.0,37.414832811172026
2,1,701.0,0,0.0,0,0.0,0,0.0,37.41247027254317
3,1,770.0,0,0.0,0,0.0,0,0.0,37.411413260895266
4,1,859.0,1,23.0,0,0.0,0,0.0,15.661024582616449
5,1,907.0,0,0.0,0,0.0,0,0.0,37.28836169800516
6,1,925.0,2,115.0,0,0.0,0,0.0,-71.43417215087138
7,1,1081.0,2,124.0,0,0.0,0,0.0,-79.91613383224649
8,1,1139.0,3,134.0,0,0.0,0,0.0,-89.40346607044322
9,1,1256.0,3,164.0,0,0.0,0,0.0,-117.77706835005962
10,1,688.0,2,92.0,0,0.0,0,0.0,-49.58931736024477
11,1,692.0,2,120.0,0,0.0,0,0.0,-76.0685938114084
12,1,694.0,4,213.0,0,0.0,0,0.0,-164.01854630915616
13,1,695.0,4,215.0,0,0.0,0,0.0,-165.91824736860835
14,1,792.0,4,206.0,0,0.0,0,0.0,-157.39870444615838
15,1,829.0,3,157.0,0,0.0,0,0.0,-111.05975144282138
16,1,837.0,5,398.0,0,0.0,0,0.0,-338.9751772166043
17,1,878.0,2,278.0,0,0.0,0,0.0,-225.4920693920079
18,1,896.0,0,0.0,0,0.0,0,0.0,37.31547177440737
19,1,1043.0,4,203.0,0,0.0,0,0.0,-154.5646614815455
