episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,615.0,2.0,88.0,0.0,0.0,0.0,0.0,-45.81596428907599
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,37.386224304814924
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,37.397703753362116
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,37.395871880979094
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38988547324576
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,858.0,2.0,63.0,0.0,0.0,0.0,0.0,-22.258543931523796
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,892.0,0.0,0.0,1.0,178.0,0.0,0.0,-51.70810681941505
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36915717441417
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1109.0,2.0,83.0,0.0,0.0,0.0,0.0,-41.17159001627324
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1180.0,2.0,108.0,0.0,0.0,0.0,0.0,-64.82275080444211
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,665.0,3.0,176.0,0.0,0.0,0.0,0.0,-129.04872637157382
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,670.0,2.0,74.0,0.0,0.0,0.0,0.0,-32.5877010511555
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,677.0,4.0,168.0,0.0,0.0,0.0,0.0,-121.4939637532373
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,683.0,1.0,17.0,0.0,0.0,0.0,0.0,21.295750520639334
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,759.0,2.0,105.0,0.0,0.0,0.0,0.0,-61.90492395062137
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,794.0,2.0,240.0,0.0,0.0,0.0,0.0,-189.57415939227798
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,809.0,0.0,0.0,1.0,77.0,0.0,0.0,-1.167069591210435
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37274885998727
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,839.0,1.0,218.0,0.0,0.0,0.0,0.0,-168.7766522303687
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,996.0,3.0,132.0,0.0,0.0,0.0,0.0,-87.43689533076412
