episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,611.0,1.0,38.0,0.0,0.0,0.0,0.0,1.4806476113743017
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716376850426
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716379439206
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716378725715
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,804.0,1.0,40.0,0.0,0.0,0.0,0.0,-0.4107479878397555
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,861.0,2.0,96.0,0.0,0.0,0.0,0.0,-53.45897656150336
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,37.276938091801966
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1044.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.62032587690878
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1098.0,3.0,116.0,0.0,0.0,0.0,0.0,-72.38170465773365
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1161.0,3.0,129.0,0.0,0.0,0.0,0.0,-84.65629005901513
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,651.0,3.0,132.0,0.0,0.0,0.0,0.0,-87.41494505795944
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,656.0,4.0,190.0,0.0,0.0,0.0,0.0,-142.27305015958538
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,657.0,4.0,174.0,0.0,0.0,0.0,0.0,-127.1342524124992
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,660.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.5552913817515
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,750.0,4.0,172.0,0.0,0.0,0.0,0.0,-125.24285683275966
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,785.0,5.0,395.0,0.0,0.0,0.0,0.0,-336.1334648972481
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,788.0,3.0,163.0,0.0,0.0,0.0,0.0,-116.73157666543736
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,824.0,2.0,264.0,0.0,0.0,0.0,0.0,-212.24705383374737
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31537007143331
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,990.0,5.0,183.0,0.0,0.0,0.0,0.0,-135.64553254559596
