rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,2018,542,2560,0,9,40,10,47.63171820000207,42.366726968079696,-1.421761706560062,-142.1761706560062,1.0,-0.011025528353638948,0.06259099943563343,0.017928123474121094,0.19996434226632118,2018,0.20949109165635577,0.1442466657763196,0.3590902513339582,0.0
2,3787,1333,5120,1,16,80,20,64.97236429999975,58.28631974225408,-0.9702569493033226,-97.02569493033225,1.0,-0.014479736000066624,0.021531211026012898,0.018610872328281403,0.17224236358888448,1769,0.10723562628961376,0.05304931835815607,0.506070351633547,0.0
3,5736,1944,7680,2,26,120,30,90.2424353000024,63.562114441295975,-1.2006816003269518,-120.06816003269518,1.0,-0.012503215493052267,0.12046640971675515,0.013644709251821041,0.1581343162804842,1949,0.2844728659953862,0.244495085376189,0.2875874091877467,0.0
4,7633,2607,10240,3,39,160,40,114.33608820000154,66.75932437576517,-1.2298589636738886,-122.98589636738885,1.0,-0.010053317662095652,0.02711151309777051,0.01601465791463852,0.14806838128715755,1897,0.2701723964219855,0.04603265162636446,0.8314494019445018,0.0
5,9730,3070,12800,4,44,210,50,142.20251180000196,68.4235452442962,-1.1168285855724176,-111.68285855724176,1.0,0.00023493615444749593,0.05718433279544115,0.011452650651335716,0.20304687544703484,2097,0.1770408469057743,0.15138755681133204,0.2421344546362726,0.0
6,11060,4300,15360,4,46,240,60,155.87868720000188,70.95261192320245,-1.075425658223217,-107.54256582232166,1.0,-0.011724186486875017,0.05600952419141928,0.014473098330199718,0.17276688565810522,1330,0.21714849715274964,0.15671908140410537,0.3506464423573018,0.0
7,12984,4936,17920,5,58,280,70,176.0777315000014,73.74015947042058,-1.5871788611936504,-158.7178861193651,1.0,-0.010301726395846344,0.07576351948082446,0.012565284967422485,0.1407105742022395,1924,0.6254303354340834,0.1594553127091602,0.773491929587283,0.0
8,14993,5487,20480,6,66,320,80,203.0245032999992,73.84822893936891,-1.6141892837239114,-161.41892837239112,1.0,-0.009885666665650206,0.05168891861103475,0.012049417942762375,0.16515148114413022,2009,0.22301547964390037,0.11343740834326847,0.49866904529539147,0.0
9,16472,6568,23040,7,70,350,90,218.22624350000115,75.48129746365686,-1.613098194277241,-161.30981942772405,1.0,-0.008822134521324188,0.015394598959634702,0.01789240725338459,0.20689446137597164,1479,0.18962664211462257,0.028730045487647134,0.8578412728804419,0.0
10,17591,8009,25600,7,78,358,93,230.809827699999,76.21425905167415,-1.4344597581059302,-143.445975810593,1.0,-0.0078454968396626,0.06587694585323334,0.03896031156182289,0.15717288065287802,1119,0.2569725682134341,0.10349104483681516,0.6240801992204221,0.0
11,19293,8867,28160,9,90,398,103,249.3392786000004,77.3764972303083,-1.4736700341857047,-147.36700341857048,1.0,-0.011187422333023278,0.06664520045742392,0.014883788302540779,0.19477892089635135,1702,0.24053626481559623,0.16834119245810406,0.38089093040280386,0.0
12,21091,9629,30720,9,99,438,113,264.8759754999992,79.62594553993465,-1.4610503871346956,-146.10503871346953,1.0,-0.012692948553012683,0.07066996842622757,0.011163212358951569,0.13916313834488392,1798,0.42813050398862224,0.15297638016510737,0.6497835264440495,0.0
13,22907,10373,33280,11,110,478,123,281.2961181999999,81.43375794369567,-1.394156260846581,-139.41562608465807,1.0,-0.015740393893793225,0.041198394168168305,0.01828104443848133,0.18108677435666323,1816,0.32200360848279214,0.07946878055440294,0.7692864760001765,0.0
14,25248,10592,35840,11,115,528,133,295.5215508000001,85.43539356656622,-1.4317580378776247,-143.1758037877625,1.0,-0.009365863497951068,0.10178283371031284,0.009957859292626381,0.13461084149777888,2341,0.6184584323251018,0.2811167912931565,0.588416514475078,0.0
