time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/std
2560,1,195.77777777777777,17,150,-1.421761706560062,,,,,,,,,,,
5120,1,191.9375,16,155,-0.9702569493033226,0.06259099943563343,0.0003,-0.011025528353638948,0.4039667844772339,0.03483413904905319,0.017928123,3.1492952048778533,0.2,10,0.19996434226632118,0.05018327757716179
7680,1,188.92307692307693,23,107,-1.2006816003269518,0.021531211026012898,0.0003,-0.014479736000066624,0.577153205871582,0.019474245607852936,0.018610872,3.1446128368377684,0.2,20,0.17224236358888448,0.0502496063709259
10240,1,189.76923076923077,22,112,-1.2298589636738886,0.12046640971675515,0.0003,-0.012503215493052267,0.34638988971710205,0.04419306665658951,0.013644709,3.144134759902954,0.2,30,0.1581343162804842,0.05027373135089874
12800,1,188.13636363636363,26,95,-1.1168285855724176,0.02711151309777051,0.0003,-0.010053317662095652,0.8330132961273193,0.03720041736960411,0.016014658,3.1411651134490968,0.2,40,0.14806838128715755,0.05034463107585907
15360,1,197.1304347826087,13,196,-1.075425658223217,0.05718433279544115,0.0003,0.00023493615444749593,0.2487446665763855,0.019499070942401886,0.011452651,3.137158203125,0.2,50,0.20304687544703484,0.05049334466457367
17920,1,216.72413793103448,19,132,-1.5871788611936504,0.05600952419141928,0.0003,-0.011724186486875017,0.3639122247695923,0.029962416738271713,0.014473098,3.1308242321014403,0.2,60,0.17276688565810522,0.05069351941347122
20480,1,213.28787878787878,25,98,-1.6141892837239114,0.07576351948082446,0.0003,-0.010301726395846344,0.7933553457260132,0.026447296142578125,0.012565285,3.1240991711616517,0.2,70,0.1407105742022395,0.05073332041501999
23040,1,218.02857142857144,14,176,-1.613098194277241,0.05168891861103475,0.0003,-0.009885666665650206,0.6758284568786621,0.03645067662000656,0.012049418,3.1239647805690764,0.2,80,0.16515148114413022,0.05079132318496704
25600,1,215.85897435897436,12,207,-1.4344597581059302,0.015394598959634702,0.0003,-0.008822134521324188,0.903046727180481,0.01439101342111826,0.017892407,3.1201114098231,0.2,90,0.20689446137597164,0.050877656787633896
28160,1,214.25555555555556,17,144,-1.4736700341857047,0.06587694585323334,0.0003,-0.0078454968396626,0.6622536182403564,0.028933163732290268,0.03896031,3.1187584665086536,0.2,93,0.15717288065287802,0.05088139325380325
30720,1,210.44444444444446,14,175,-1.4610503871346956,0.06664520045742392,0.0003,-0.011187422333023278,0.5480323433876038,0.035389840602874756,0.014883788,3.117466115951538,0.2,103,0.19477892089635135,0.050939541310071945
33280,1,207.92,15,161,-1.394156260846581,0.07066996842622757,0.0003,-0.012692948553012683,0.6926006078720093,0.0346810445189476,0.011163212,3.1172623693943025,0.2,113,0.13916313834488392,0.05087004601955414
35840,1,210.61,13,191,-1.4317580378776247,0.041198394168168305,0.0003,-0.015740393893793225,0.8218886852264404,0.016949811950325966,0.018281044,3.121685516834259,0.2,123,0.18108677435666323,0.05070388317108154
38400,1,215.24,10,242,-1.6430079353588525,0.10178283371031284,0.0003,-0.009365863497951068,0.6210170984268188,0.04265204071998596,0.009957859,3.128180241584778,0.2,133,0.13461084149777888,0.050638966262340546
40960,1,215.73,12,198,-1.451330852636486,0.02991627757437527,0.0003,-0.01122687011375092,0.8935781717300415,0.015227816998958588,0.016871605,3.128949999809265,0.2,143,0.17942064898088575,0.05059270188212395
43520,1,217.55,11,215,-1.453997742190902,0.022443896010518074,0.0003,-0.01577598446048796,0.8858513832092285,0.020584339275956154,0.026834909,3.130808463096619,0.2,153,0.22490579172968864,0.05055835470557213
46080,1,204.71,8,304,-1.2208065252175544,0.025499180867336692,0.0003,-0.011137957370374351,0.8557194471359253,0.016255272552371025,0.013539693,3.1318629562854765,0.2,163,0.13673238940536975,0.050521500408649445
48640,1,206.74,13,183,-1.1930328043597942,0.02872070837765932,0.0003,-0.013439991092309356,0.7532443404197693,-0.0025895964354276657,0.021468522,3.128952892621358,0.2,173,0.19264695147673289,0.05077117681503296
51200,1,219.03,13,196,-1.2560303116846214,0.05338969446718693,0.0003,-0.01112057237420231,0.37727123498916626,0.02303755283355713,0.014076328,3.1200418186187746,0.2,183,0.16005340695381165,0.05085782706737518
53760,1,217.44,13,193,-1.1803343204907841,0.012974525010213256,0.0003,-0.012269926886074246,0.863193154335022,0.01913631148636341,0.016322907,3.122821402549744,0.2,193,0.17563601844012738,0.05064139887690544
56320,1,212.13,8,306,-1.3463059125114192,0.03212197158485651,0.0003,-0.013381600975990296,0.6846665143966675,0.04631803557276726,0.014258334,3.1320815181732176,0.2,203,0.1634107594192028,0.0504874512553215
58880,1,214.06,9,269,-1.1749840055153433,0.03759325118735433,0.0003,-0.004606866708490998,0.7340207695960999,0.05669054016470909,0.044904526,3.133921444416046,0.2,210,0.19674624605104327,0.05053064227104187
61440,1,214.87,10,244,-1.0770232283023555,0.03003548225387931,0.0003,-0.013840145501308142,0.6623386144638062,0.005059678107500076,0.018931746,3.1336125254631044,0.2,220,0.18314127773046493,0.05047329515218735
64000,1,215.28,11,223,-1.0584247153917763,0.01860905666835606,0.0003,-0.012791109140380286,0.7703342437744141,0.021400347352027893,0.014359312,3.1355917692184447,0.2,230,0.14408482145518064,0.05046634376049042
66560,1,209.34,11,230,-0.8116899580973741,0.01745087979361415,0.0003,-0.011304816692427267,0.761549174785614,0.02573128044605255,0.018993177,3.1351970016956328,0.2,240,0.19997282000258565,0.05049947276711464
69120,1,214.14,12,206,-0.8359745595698928,0.03609761723782867,0.0003,-0.016427163759362883,0.624897301197052,0.010111096315085888,0.015314482,3.132986789941788,0.2,250,0.16048029139637948,0.050552062690258026
71680,1,209.83,10,247,-0.868262998039551,0.017951804911717772,0.0003,-0.01681373853934929,0.7986555695533752,-0.0021369177848100662,0.015352713,3.1333118855953215,0.2,260,0.18579080197960138,0.050499457865953445
