waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,738.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.306909714996642
1.0,871.0,1.0,140.0,0.0,0.0,0.0,0.0,-94.99049556535863
1.0,895.0,1.0,153.0,0.0,0.0,0.0,0.0,-107.3232341340235
1.0,908.0,3.0,198.0,0.0,0.0,0.0,0.0,-149.92458669229262
1.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31144937133002
1.0,944.0,2.0,133.0,0.0,0.0,0.0,0.0,-88.46402074775456
1.0,974.0,2.0,214.0,0.0,0.0,0.0,0.0,-165.01366915408516
1.0,1004.0,2.0,115.0,0.0,0.0,0.0,0.0,-71.37012933528666
1.0,1129.0,2.0,198.0,0.0,0.0,0.0,0.0,-149.9117856310674
1.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29258350981729
1.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40869603242139
1.0,682.0,2.0,122.0,0.0,0.0,0.0,0.0,-77.96658799665721
1.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40828186847408
1.0,740.0,2.0,189.0,0.0,0.0,0.0,0.0,-141.32781440594604
1.0,751.0,2.0,95.0,0.0,0.0,0.0,0.0,-52.43319376828034
1.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35493151878452
1.0,813.0,2.0,176.0,0.0,0.0,0.0,0.0,-129.03518677258685
1.0,861.0,3.0,470.0,0.0,0.0,0.0,0.0,-407.0865831429759
1.0,1048.0,3.0,488.0,0.0,0.0,0.0,0.0,-424.17820375186835
1.0,1611.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.49847368075024
1.0,630.0,2.0,110.0,0.0,0.0,0.0,0.0,-66.61768100016977
1.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40958967011738
1.0,787.0,1.0,30.0,0.0,0.0,0.0,0.0,9.03437116455028
1.0,822.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35355640025464
1.0,907.0,1.0,30.0,0.0,0.0,0.0,0.0,9.033466660844507
1.0,1001.0,2.0,613.0,0.0,0.0,0.0,0.0,-542.3711953320611
1.0,1023.0,1.0,21.0,0.0,0.0,0.0,0.0,17.5437603382898
1.0,1038.0,2.0,579.0,0.0,0.0,0.0,0.0,-510.1808117172788
1.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,37.26799853222576
1.0,1150.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.658781155428251
1.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35102607679374
1.0,869.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.35830423431216
1.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34322238520102
1.0,975.0,2.0,98.0,0.0,0.0,0.0,0.0,-55.27207263406573
1.0,1012.0,0.0,0.0,0.0,0.0,1.0,71.0,27.765270678442427
1.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3243545233304
1.0,1208.0,3.0,166.0,0.0,0.0,0.0,0.0,-119.74558971919612
1.0,1282.0,1.0,41.0,0.0,0.0,0.0,0.0,-1.5493283145039172
1.0,1292.0,0.0,0.0,0.0,0.0,1.0,61.0,29.088067239277933
1.0,1506.0,2.0,107.0,0.0,0.0,0.0,0.0,-63.99980958305461
1.0,625.0,1.0,171.0,0.0,0.0,0.0,0.0,-124.30463494901264
1.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4087289582134
1.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40692224241573
1.0,823.0,3.0,325.0,0.0,0.0,0.0,0.0,-269.9457367981547
1.0,910.0,1.0,108.0,0.0,0.0,0.0,0.0,-64.72946473639514
1.0,937.0,2.0,104.0,0.0,0.0,0.0,0.0,-60.95244495181122
1.0,997.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.120351329280325
1.0,1146.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.59940711123827
1.0,1264.0,1.0,47.0,0.0,0.0,0.0,0.0,-7.160008245072788
1.0,1306.0,0.0,0.0,0.0,0.0,0.0,0.0,37.268825374699034
1.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4083630396717
1.0,879.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.288744443809442
1.0,905.0,2.0,101.0,0.0,0.0,0.0,0.0,-58.11005131823038
1.0,1120.0,2.0,124.0,0.0,0.0,0.0,0.0,-79.94613689399685
1.0,1159.0,2.0,269.0,0.0,0.0,0.0,0.0,-217.1177353018338
1.0,1332.0,5.0,260.0,0.0,0.0,0.0,0.0,-208.66463516301184
1.0,1414.0,1.0,39.0,0.0,0.0,0.0,0.0,0.3772151232819141
1.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.0,37.208212530894905
1.0,1782.0,2.0,249.0,0.0,0.0,0.0,0.0,-198.35214004135597
1.0,1813.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.915966642983122
1.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,37.390661955806635
1.0,819.0,4.0,236.0,0.0,0.0,0.0,0.0,-185.7808515191789
1.0,840.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.714661395625079
1.0,898.0,1.0,49.0,0.0,0.0,0.0,0.0,-9.030716018792049
1.0,937.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.530731686444533
1.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,37.28498893665125
1.0,1022.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.485313530265792
1.0,1149.0,1.0,49.0,0.0,0.0,0.0,0.0,-9.022861394849805
1.0,1155.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.199904969364674
1.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,37.187378211895634
1.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,37.407277450688404
1.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40554185288886
1.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38613902518265
1.0,967.0,2.0,105.0,0.0,0.0,0.0,0.0,-62.002639031271286
1.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,37.334460521658606
1.0,1098.0,2.0,413.0,0.0,0.0,0.0,0.0,-353.2679823088856
1.0,1158.0,1.0,526.0,0.0,0.0,0.0,0.0,-460.1041254830495
1.0,1286.0,1.0,526.0,0.0,0.0,0.0,0.0,-460.20981433472656
1.0,1500.0,2.0,406.0,0.0,0.0,0.0,0.0,-346.73426018058825
1.0,1601.0,0.0,0.0,0.0,0.0,0.0,0.0,37.124053579284855
1.0,658.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.2559908338963197
1.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,37.367591583034944
1.0,831.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.868067348480281
1.0,864.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.390469590233522
