rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,2362,198,2560,0,8,50,10,44.76350000000093,52.766204608664445,-1.3622751976923002,-136.22751976923,1.0,-0.008260153657756746,0.04266070336103439,0.01271758507937193,0.1888903258740902,2362,0.14582406466155812,0.1093239289118681,0.3348442542769339,0.0
2,4252,868,5120,1,19,90,20,61.621757900000375,69.00160178650103,-0.8052850082214601,-80.528500822146,1.0,-0.010998737533009261,0.01596639056224376,0.013404891826212406,0.17055002003908157,1890,0.056824142831560384,0.03123433194424564,0.4868732153499645,0.0
3,6219,1461,7680,3,30,130,30,75.25872650000383,82.63493536526536,-0.681987183872692,-68.1987183872692,1.0,-0.01097486432408914,0.01991549674421549,0.012312655337154865,0.16003650184720755,1967,0.18401406611231502,0.054302096286304356,0.7049640569946664,0.0
4,8142,2098,10240,3,39,170,40,85.40365410000231,95.33549923363033,-0.6810930422007672,-68.10930422007674,1.0,-0.008861872657143976,0.01420036656782031,0.020154379308223724,0.1667716411873698,1923,0.12668317014056385,0.026143866202214722,0.7980423812087438,0.0
5,9844,2956,12800,4,44,210,50,95.33947050000279,103.25209431491139,-0.7824142826601931,-78.24142826601931,1.0,-0.006035020120907575,0.05381126045249403,0.012572500854730606,0.2226715452969074,1702,0.3690474798629944,0.1428844113313872,0.692169269238321,0.0
6,11444,3916,15360,5,50,225,54,104.08140180000191,109.9524007371679,-1.0667383785965172,-106.6738378596517,1.0,-0.0015985741192707792,0.05390539241489023,0.023676011711359024,0.200927734375,1600,0.48182257254678945,0.09067674347108554,0.8607331734860094,0.0
7,13509,4411,17920,6,64,241,58,114.77630289999797,117.6985114407291,-1.0144460425972468,-101.44460425972468,1.0,-0.0010005713111775763,0.03830425112563021,0.0463084876537323,0.18706071639762206,2065,0.2113117695999597,0.0506692852190966,0.780823817875548,0.0
8,15500,4980,20480,7,73,281,68,126.55402219999814,122.47733995767246,-0.9205216297677709,-92.0521629767771,1.0,-0.012473639083327725,0.057857959112152454,0.016575295478105545,0.16111306753009558,1991,0.6274471587363523,0.151644538276548,0.7720847821135823,0.0
9,17548,5492,23040,8,87,321,78,138.23288760000287,126.94518869328485,-1.2411854718711355,-124.11854718711353,1.0,-0.013260838855057955,0.07935395929962397,0.015659276396036148,0.16376953125,2048,0.9071164483627401,0.22550369494590647,0.7770620970020277,0.0
10,19350,6250,25600,9,99,361,88,149.8700428000011,129.1118601055064,-1.2521693168308212,-125.21693168308211,1.0,-0.007671341969398782,0.03013204983435571,0.022428732365369797,0.20417205058038235,1802,0.34996235540185344,0.05905827936526803,0.8323500261613777,0.0
11,21261,6899,28160,10,108,401,98,161.62851370000135,131.5423839104438,-1.2394486480829339,-123.9448648082934,1.0,-0.010826929440372623,0.061081497371196745,0.02061915211379528,0.19545052163302898,1911,0.5759932326059684,0.13765222159013452,0.7658683101306303,0.0
12,23158,7562,30720,11,116,441,108,174.07470610000018,133.03483612775133,-1.2951847986339815,-129.51847986339808,1.0,-0.007966143587691477,0.02573032754007727,0.018506858497858047,0.1772474467754364,1897,0.18922818993970922,0.0449544820036978,0.7627114942570159,0.0
13,24692,8588,33280,12,120,471,118,184.64316179999878,133.7282126198955,-1.3238108967787,-132.38108967786997,1.0,-0.01535847478856643,0.015391605099042256,0.023805266246199608,0.1681239809220036,1534,0.1277034126743171,0.024429999574428627,0.8202863405892948,0.0
14,26592,9248,35840,13,130,511,128,197.2809888999982,134.79251167723766,-1.2609966577315732,-126.09966577315728,1.0,-0.015221216878853739,0.07239705384708942,0.016106264665722847,0.15743850991129876,1900,0.9890846257673002,0.20882273469275578,0.8489736389850154,0.0
15,28347,10053,38400,14,140,551,138,209.71766110000317,135.16744298651523,-1.525486421703925,-152.54864217039255,1.0,-0.013692751484813925,0.038571018259972334,0.02186444401741028,0.23083997778594495,1755,0.3704552595297566,0.08635046409230955,0.7749149792352364,0.0
16,30056,10904,40960,15,150,591,148,220.77995329999976,136.13554831746598,-1.352609490921557,-135.2609490921557,1.0,-0.01728927050717175,0.018105002189986407,0.01667042076587677,0.19617164861410857,1709,0.1853153001620897,0.035914969082131744,0.8089519990774205,0.0
17,32183,11337,43520,16,160,641,158,234.26605479999853,137.37799113693958,-1.3055772107881127,-130.55772107881126,1.0,-0.013768103742040693,0.01859905378893018,0.01828751526772976,0.18830597251653672,2127,0.32986111331842743,0.031121001378133208,0.9080977810271614,0.0
