case,episode,agent,decision,critic_value,discounted_realized_return,future_intrusion_delay_seconds,advantage_lambda_0.95,advantage_lambda_0.99,advantage_lambda_1.0
initial,0,KL001,0,0.2259432077407837,-0.3751785310733039,735,-0.18578895380512914,-0.2728593123904215,-0.6011217388140879
initial,0,KL001,1,0.19585444033145905,-0.37649151448837426,730,-0.16374520176897883,-0.24538724673577725,-0.5723459548198336
initial,0,KL001,2,0.19320148229599,-0.37780789716078717,725,-0.1694494586609868,-0.24535867188543256,-0.5710093794567774
initial,0,KL001,3,0.18529167771339417,-0.3791288728251745,720,-0.16995121945323008,-0.24002913099637443,-0.564420550538569
initial,0,KL001,4,0.22714456915855408,-0.3804544596844456,715,-0.22289217921012236,-0.2849202204729971,-0.607599028843
initial,0,KL001,5,0.22474807500839233,-0.3817846736786483,710,-0.2320820810303502,-0.28557914128299033,-0.606532748687041
initial,0,KL001,6,0.09446051716804504,-0.3831195307997164,705,-0.10717620366174702,-0.1570726210244064,-0.4775800479677617
initial,0,KL001,7,0.10253435373306274,-0.3844590470915563,700,-0.12135973557983991,-0.1670333246897236,-0.48699340082461934
initial,0,KL001,8,0.11281436681747437,-0.3858032386501323,695,-0.13863457482899522,-0.17932976230547887,-0.49861760546760686
initial,0,KL001,9,0.11687067151069641,-0.387152121623548,690,-0.15029312300149103,-0.18547095016932613,-0.5040227931342447
initial,0,KL001,10,0.12135562300682068,-0.3885057122121265,685,-0.1630445049920566,-0.19211450678854994,-0.5098613352189475
initial,0,KL001,11,-0.28467053174972534,-0.38986402666848635,680,0.2556194733590537,0.21582489238779695,-0.10519349491876134
initial,0,KL001,12,-0.2892813980579376,-0.3912270812976159,675,0.27382261956643766,0.22242169372720166,-0.10194568323967865
initial,0,KL001,13,-0.2935807406902313,-0.3925948924569438,670,0.2927060574259361,0.22877750706383015,-0.09901415176671281
initial,0,KL001,14,-0.29756665229797363,-0.3939674765564066,665,0.31230724228155415,0.23488822145579052,-0.09640082425843331
initial,0,KL001,15,-0.3012382984161377,-0.39534485005851344,660,0.33266687534395245,0.24075076036345366,-0.09410655164237602
initial,0,KL001,16,-0.3045990467071533,-0.3967270294784068,655,0.35383237648089566,0.24636625281426805,-0.09212798277125377
initial,0,KL001,17,-0.30765384435653687,-0.39811403138392026,650,0.37585548647613565,0.2517374268002138,-0.09046018702738368
initial,0,KL001,18,-0.3104114234447479,-0.3995058723956321,645,0.3987948260009701,0.256870853146238,-0.08909444895088446
