case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.2259432077407837,-0.00015482543818180552,0.0,-0.0,-0.0,-0.0,-0.00015482543818180552,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.13189396262168884,-2.6648345130287353e-10,0.0,-0.0,-0.0,-0.0,-2.6648345130287353e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.772476077079773,-0.0001522607157878415,0.0,-0.0,-0.0,-0.0,-0.0001522607157878415,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.45409148931503296,-0.00015450774942534453,0.0,-0.0,-0.0,-0.0,-0.00015450774942534453,0.0,0.0,0,
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,-0.07569270581007004,-3.445518184846208e-10,0.0,-0.0,-0.0,-0.0,-3.445518184846208e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.7288234233856201,-0.0001563921773469595,0.0,-0.0,-0.0,-0.0,-0.0001563921773469595,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.06401269137859344,-2.9283200136478135e-10,0.0,-0.0,-0.0,-0.0,-2.9283200136478135e-10,0.0,0.0,0,
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.5421406030654907,-0.00015492028408413842,0.0,-0.0,-0.0,-0.0,-0.00015492028408413842,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,-0.17107927799224854,-1.9385794042606286e-10,0.0,-0.0,-0.0,-0.0,-1.9385794042606286e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0,0.0,0.7886326909065247,-3.678765552700288e-10,0.0,-0.0,-0.0,-0.0,-3.678765552700288e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.19585444033145905,-0.00027451875120917854,0.0,-0.0,-0.0,-0.0,-0.00027451875120917854,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.1513371467590332,-2.6445459985572054e-10,0.0,-0.0,-0.0,-0.0,-2.6445459985572054e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.616403341293335,-0.0003092056376154241,0.0,-0.0,-0.0,-0.0,-0.0003092056376154241,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.5790221691131592,-0.0003107828422024576,0.0,-0.0,-0.0,-0.0,-0.0003107828422024576,0.0,0.0,0,
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,-0.2487826645374298,-3.421089757351227e-10,0.0,-0.0,-0.0,-0.0,-3.421089757351227e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.7826023101806641,-0.0003127052356255641,0.0,-0.0,-0.0,-0.0,-0.0003127052356255641,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.07190017402172089,-2.9002635741375984e-10,0.0,-0.0,-0.0,-0.0,-2.9002635741375984e-10,0.0,0.0,0,
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.6005969047546387,-0.00030416967977002713,0.0,-0.0,-0.0,-0.0,-0.00030416967977002713,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,-0.21037381887435913,-1.9211288388948969e-10,0.0,-0.0,-0.0,-0.0,-1.9211288388948969e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,0.0,0.0,0.8294594883918762,-3.6588021777863674e-10,0.0,-0.0,-0.0,-0.0,-3.6588021777863674e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.19320148229599,-0.0002764422582916275,0.0,-0.0,-0.0,-0.0,-0.0002764422582916275,0.0,0.0,0,
