case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.2784823775291443,0.004861132241785526,-0.5591853857040405,-0.00015480822632732134,0.0,-0.0,-0.0,-0.0,-0.00015480822632732134,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.12134217470884323,-0.2847216725349426,-0.5686953067779541,-0.00015708283750227376,0.0,-0.0,-0.0,-0.0,-0.00015708283750227376,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.3384670317173004,-0.1793225109577179,-0.7481201887130737,-0.00015289840458959886,0.0,-0.0,-0.0,-0.0,-0.00015289840458959886,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.29438093304634094,-0.22230608761310577,-0.6073748469352722,-0.0001552989885047729,0.0,-0.0,-0.0,-0.0,-0.0001552989885047729,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.17271022498607635,0.0179007388651371,-1.0223252773284912,-0.00015924754002086245,0.0,-0.0,-0.0,-0.0,-0.00015924754002086245,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.13480357825756073,-0.28004297614097595,-0.6689183712005615,-0.00015739018454832655,0.0,-0.0,-0.0,-0.0,-0.00015739018454832655,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.21671946346759796,-0.20189180970191956,-0.7027546167373657,-0.00015583573214759253,0.0,-0.0,-0.0,-0.0,-0.00015583573214759253,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.22640708088874817,-0.45197975635528564,-1.0488332509994507,-6.710696380850179e-05,0.0,-0.0,-0.0,-0.0,-6.710696380850179e-05,0.0,0.0,0,
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.1940857172012329,0.056796833872795105,-0.934105634689331,-0.0001569494923414278,0.0,-0.0,-0.0,-0.0,-0.0001569494923414278,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.3380196690559387,-0.328122079372406,-0.8968530297279358,-0.00015928624726392515,0.0,-0.0,-0.0,-0.0,-0.00015928624726392515,0.0,0.0,0,
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1,5,0,-0.3541223704814911,-0.027956929057836533,-0.5429269075393677,-0.00031158387868536827,0.0,-0.0,-0.0,-0.0,-0.00031158387868536827,0.0,0.0,0,
