rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,1864,696,2560,0,9,1,1,48.44442439999693,38.47708014051908,0.08138899555876454,8.138899555876455,1.0,0.020422400906682014,0.18114255368709564,0.024263471364974976,0.2451171875,1864,0.13560933276847165,0.222021051101711,0.08356947287015615,0.0
2,3928,1192,5120,1,14,22,6,72.07072499999776,54.50201867679452,-0.059469505090594746,-5.946950509059476,1.0,-0.0003937302919274027,0.5880703208121386,0.042191002517938614,0.23872514204545456,2064,1.1638578186919506,1.2678952450266334,0.1424437316477244,0.0
3,4574,3106,7680,1,19,42,16,79.70361659999617,57.38760918410094,-1.072327641505798,-107.23276415057978,1.0,-0.005860305385431275,0.0754453020170331,0.01518670842051506,0.1837380471872166,646,0.21783480856383083,0.1588116529298657,0.33953259756717646,0.0
4,6637,3603,10240,2,25,64,21,99.23353240000142,66.88263371747013,-0.8839598833885214,-88.3959883388521,1.0,-0.0019544525800839715,0.22296264378920846,0.038292497396469116,0.1593353728885236,2063,0.40949444417707503,0.4139934858695893,-0.007563809175064051,0.0
5,7655,5145,12800,3,30,84,31,109.60177449999901,69.84375969204832,-0.9581451095651161,-95.8145109565116,1.0,-0.00874865148907702,0.13895030356943608,0.013562606647610664,0.1198828898370266,1018,0.1837586341328127,0.34877713722619713,-0.7516870062087453,0.0
6,9548,5812,15360,4,40,124,41,129.31222010000056,73.8367958775766,-0.8209075431955093,-82.09075431955091,1.0,-0.011156478064367547,0.05321932164952159,0.01661626063287258,0.18761872071772814,1893,0.14475490852388975,0.12394451458682133,0.40888095359634846,0.0
7,11290,6630,17920,5,50,164,51,145.629051099997,77.52574032943232,-0.6503833179006532,-65.0383317900653,1.0,-0.00823170401272364,0.08854285683482885,0.013822980225086212,0.18744263853877782,1742,0.56240789858883,0.20429592283646447,0.6687715031825539,0.0
8,13218,7262,20480,6,60,204,61,163.21006179999677,80.98765391191257,-0.9411655455607544,-94.11655455607544,1.0,-0.010353027586825192,0.09830535817891359,0.014354047365486622,0.1297791774617508,1928,0.5620772971204803,0.23474487360708804,0.5849072212745229,0.0
9,14791,8249,23040,6,67,244,71,178.85711739999533,82.69729611554382,-0.9686758337128414,-96.86758337128411,1.0,-0.006296552860294469,0.31954247746616604,0.01549450308084488,0.17647012160159647,1573,0.9967213142561115,0.6726756462055844,0.47609516207051794,0.0
10,15480,10120,25600,6,69,264,81,187.03053240000008,82.76723485389594,-1.0728790939293507,-107.28790939293503,1.0,-0.007219739092397504,0.014208873827010393,0.02302173711359501,0.15371259339153767,689,0.01427668354363451,0.03540139728055361,-1.2101679248745252,0.0
